,Length of C_r [um],C_r [pF],f_r [MHz],C_1 [pF],Length of C_1 [um]
1,1346.0,19.03571330375,364.9663379485362,0.3399491680802009,314.68743736599714
2,1462.0,20.67623540125,350.18831739214494,0.3616935109458625,334.8159512030668
3,1598.0,22.59960613625,334.9553758285045,0.3866453300009773,357.9135926546314
4,1750.0,24.74925578125,320.07836171490493,0.4139126736326595,383.15469131561633
5,1930.0,27.294893518749998,304.7871727227149,0.44544918589217974,412.3477153269841
