R 50.00000
Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
Spacing = 2.0
0.160000000000000,1.5688779928e-6,2.0862184305e-4,-1.375799838e-6,-1.825620247e-4,-1.375799838e-6,-1.825620247e-4,1.5881656670e-6,2.1118633077e-4
0.162000000000000,1.5784926408e-6,2.1122971265e-4,-1.384253627e-6,-1.848441467e-4,-1.384253627e-6,-1.848441467e-4,1.5978986727e-6,2.1382625776e-4
0.164000000000000,1.5881076353e-6,2.1383758484e-4,-1.392704237e-6,-1.871262470e-4,-1.392704237e-6,-1.871262470e-4,1.6076320263e-6,2.1646618736e-4
0.166000000000000,1.5977229871e-6,2.1644545967e-4,-1.401151722e-6,-1.894083260e-4,-1.401151722e-6,-1.894083260e-4,1.6173657383e-6,2.1910611963e-4
0.168000000000000,1.6073387062e-6,2.1905333720e-4,-1.409596133e-6,-1.916903841e-4,-1.409596133e-6,-1.916903841e-4,1.6270998189e-6,2.2174605464e-4
0.170000000000000,1.6169548027e-6,2.2166121748e-4,-1.418037522e-6,-1.939724217e-4,-1.418037522e-6,-1.939724217e-4,1.6368342780e-6,2.2438599243e-4
0.172000000000000,1.6265712861e-6,2.2426910057e-4,-1.426475941e-6,-1.962544392e-4,-1.426475941e-6,-1.962544392e-4,1.6465691252e-6,2.2702593306e-4
0.174000000000000,1.6361881656e-6,2.2687698653e-4,-1.434911442e-6,-1.985364370e-4,-1.434911442e-6,-1.985364370e-4,1.6563043697e-6,2.2966587660e-4
0.176000000000000,1.6458054504e-6,2.2948487541e-4,-1.443344076e-6,-2.008184155e-4,-1.443344076e-6,-2.008184155e-4,1.6660400205e-6,2.3230582309e-4
0.178000000000000,1.6554231489e-6,2.3209276726e-4,-1.451773894e-6,-2.031003752e-4,-1.451773894e-6,-2.031003752e-4,1.6757760861e-6,2.3494577260e-4
0.180000000000000,1.6650412695e-6,2.3470066215e-4,-1.460200948e-6,-2.053823164e-4,-1.460200948e-6,-2.053823164e-4,1.6855125749e-6,2.3758572518e-4
0.182000000000000,1.6746598202e-6,2.3730856013e-4,-1.468625289e-6,-2.076642396e-4,-1.468625289e-6,-2.076642396e-4,1.6952494947e-6,2.4022568089e-4
0.184000000000000,1.6842788087e-6,2.3991646126e-4,-1.477046968e-6,-2.099461452e-4,-1.477046968e-6,-2.099461452e-4,1.7049868534e-6,2.4286563979e-4
0.186000000000000,1.6938982423e-6,2.4252436559e-4,-1.485466036e-6,-2.122280335e-4,-1.485466036e-6,-2.122280335e-4,1.7147246582e-6,2.4550560193e-4
