# Frequency	NEF		NEP
  23.72265    3.25467   42.55070
  23.84186    3.18588   41.65025
  23.96107    3.14487   41.11183
  24.08028    3.29079   43.02011
  24.19949    3.30269   43.17848
  24.31870    3.25387   42.53839
  24.43790    3.31639   43.35508
  24.55711    3.41529   44.64772
  24.67632    3.33240   43.56277
  24.79553    3.25411   42.54163
  24.91474    3.33543   43.60454
  25.03395    3.56805   46.64688
  25.15316    3.45033   45.10753
  25.27237    3.31504   43.33612
  25.39158    3.40403   44.49857
  25.51079    3.37384   44.10663
  25.63000    3.32475   43.46364
  25.74921    3.28330   42.92024
  25.86842    3.16004   41.30966
  25.98763    3.21905   42.08149
  26.10683    3.35484   43.85547
  26.22604    3.38918   44.30609
  26.34525    3.43937   44.96319
  26.46446    3.27270   42.78319
  26.58367    3.27534   42.81738
  26.70288    3.35244   43.82718
  26.82209    3.18799   41.67694
  26.94130    3.21955   42.09085
  27.06051    3.28281   42.91882
  27.17972    3.26716   42.71228
  27.29893    3.06492   40.06616
  27.41814    3.22326   42.13601
  27.53735    3.47929   45.48801
  27.65656    3.33302   43.57501
  27.77576    3.12539   40.85862
  27.89497    3.16781   41.41462
  28.01418    3.23224   42.25781
  28.13339    3.15513   41.24918
  28.25260    3.25041   42.49301
  28.37181    3.24184   42.38060
  28.49102    3.26234   42.64697
  28.61023    3.33119   43.54957
  28.72944    3.21100   41.97891
  28.84865    3.25268   42.52414
  28.96786    3.35007   43.79468
  29.08707    3.25356   42.53293
  29.20628    3.34040   43.66796
  29.32549    3.52224   46.04574
  29.44469    3.55360   46.45845
  29.56390    3.57995   46.80317
  29.68311    3.31217   43.30042
  29.80232    3.33142   43.55345
  29.92153    3.41303   44.61926
  30.04074    3.32718   43.49381
  30.15995    3.23676   42.31244
  30.27916    3.24435   42.41628
  30.39837    3.29150   43.03228
  30.51758    3.33708   43.62634
  30.63679    3.34397   43.71611
  30.75600    3.58294   46.83857
  30.87521    3.40009   44.44933
  30.99442    3.11326   40.69919
  31.11362    3.24285   42.39080
  31.23283    3.43764   44.93790
  31.35204    3.33060   43.54028
  31.47125    3.55894   46.52521
  31.59046    3.57544   46.74093
  31.70967    3.36024   43.93072
  31.82888    3.25302   42.52733
  31.94809    3.31441   43.32999
  32.06730    3.23637   42.31206
  32.18651    3.02845   39.59321
  32.30572    3.13228   40.94847
  32.42493    3.46558   45.30611
  32.54414    3.30037   43.14520
  32.66335    3.37479   44.11944
  32.78255    3.34958   43.78888
  32.90176    3.45938   45.22288
  33.02097    3.51775   45.99057
  33.14018    3.37405   44.11178
  33.25939    3.32266   43.43753
  33.37860    3.45806   45.20732
  33.49781    3.31961   43.39921
  33.61702    3.47189   45.39060
  33.73623    3.30607   43.21617
  33.85544    3.16251   41.33925
  33.97465    3.42771   44.80871
  34.09386    3.30931   43.26293
  34.21307    3.33132   43.55425
  34.33228    3.32256   43.43644
  34.45148    3.13408   40.97101
  34.57069    3.25884   42.59961
  34.68990    3.51648   45.96607
  34.80911    3.56050   46.54456
  34.92832    3.48864   45.60631
  35.04753    3.30179   43.16421
  35.16674    3.17998   41.57219
  35.28595    3.16735   41.40693
  35.40516    3.30417   43.19472
  35.52437    3.31519   43.34072
  35.64358    3.20588   41.91116
  35.76279    3.37278   44.09167
  35.88200    3.33575   43.60930
  36.00121    3.32854   43.51516
  36.12041    3.37253   44.09073
  36.23962    3.53236   46.18106
  36.35883    3.40200   44.47560
  36.47804    3.35835   43.90470
  36.59725    3.38565   44.26263
  36.71646    3.32883   43.52022
  36.83567    3.22950   42.22012
  36.95488    3.12634   40.87014
  37.07409    3.13646   41.00305
  37.19330    3.30307   43.18081
  37.31251    3.27379   42.79682
  37.43172    3.13209   40.94696
  37.55093    3.18427   41.62872
  37.67014    3.33883   43.64988
  37.78934    3.36173   43.95074
  37.90855    3.41228   44.60907
  38.02776    3.43291   44.87855
