 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: capacitor_pairs_nobricks_slice
 Data is De-embedded 
 Data File Written: 02/08/2020 13:33:14
Project Date: 02/07/2020 13:52:10
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
100.0000000000000,3.7308587657e-6,1.1688323174e-4,-6.757580391e-6,-1.120094709e-4,2.5435702411e-6,7.2049068002e-6,4.7268952848e-7,-1.270491158e-7,-6.757581114e-6,-1.120094712e-4,7.8608565819e-5,0.0017137651064,-8.457616486e-5,-1.575433066e-3,3.8641776053e-6,-5.819650587e-7,2.5435703351e-6,7.2049067133e-6,-8.457616347e-5,-1.575433065e-3,1.0565073363e-4,0.0017151041879,-8.109469786e-6,-1.039677922e-4,4.7268915165e-7,-1.270487120e-7,3.8641782168e-6,-5.819657594e-7,-8.109469428e-6,-1.039677923e-4,4.1931421544e-6,1.1421954548e-4
115.0000000000000,3.8177265582e-6,1.5084984552e-4,-3.753666290e-6,-1.526732294e-4,-3.297590995e-6,1.9021175109e-5,1.0197970485e-6,-5.922182284e-7,-3.753665926e-6,-1.526732289e-4,3.4096776803e-5,0.0019723528195,-2.936687240e-5,-1.800068878e-3,8.8225819584e-7,4.7214011358e-6,-3.297591127e-6,1.9021175105e-5,-2.936687144e-5,-1.800068879e-3,3.4176304467e-5,0.0019603802729,-8.846048783e-6,-1.345029564e-4,1.0197967968e-6,-5.922184537e-7,8.8225857087e-7,4.7214008932e-6,-8.846048821e-6,-1.345029563e-4,1.8080702681e-5,1.5669726051e-4
120.0000000000000,7.5712083744e-5,1.6487940809e-4,-7.984101941e-5,-1.677467559e-4,3.9733616720e-5,1.8074954272e-5,-4.229378699e-9,4.7737610328e-6,-7.984101997e-5,-1.677467575e-4,1.4435170349e-4,0.0021421602278,-9.750204297e-5,-1.945815007e-3,1.3620426966e-5,5.3975965200e-6,3.9733616737e-5,1.8074954972e-5,-9.750204364e-5,-1.945815006e-3,8.7745138397e-5,0.0021120938126,-2.894589277e-5,-1.470257386e-4,-4.229086277e-9,4.7737611822e-6,1.3620426665e-5,5.3975964873e-6,-2.894589292e-5,-1.470257387e-4,2.4275483596e-5,1.6127508231e-4
125.0000000000000,5.1340241710e-6,1.3346306720e-4,-8.263062491e-6,-1.126269421e-4,4.3289334721e-6,-1.581540952e-5,2.9206032681e-8,-4.800275874e-7,-8.263062380e-6,-1.126269411e-4,6.0439426256e-5,0.0022204294428,-4.875559344e-5,-2.047837190e-3,3.1979726174e-6,-9.515957821e-6,4.3289325144e-6,-1.581540997e-5,-4.875559359e-5,-2.047837188e-3,4.5131314725e-5,0.0022252702806,-5.603307044e-6,-1.162587755e-4,2.9206225869e-8,-4.800275458e-7,3.1979729774e-6,-9.515957479e-6,-5.603306987e-6,-1.162587757e-4,6.8927483514e-6,1.4370602530e-4
130.0000000000000,1.6583380971e-5,1.3780566443e-4,-1.123575167e-5,-1.270082121e-4,2.0117804232e-6,-4.009652096e-6,1.3664587085e-7,2.1655659834e-7,-1.123575246e-5,-1.270082115e-4,5.1171739388e-5,0.0022318825703,-4.232343251e-5,-2.058590146e-3,3.6000583718e-6,-6.881193356e-6,2.0117803310e-6,-4.009651878e-6,-4.232343252e-5,-2.058590146e-3,4.2037886760e-5,0.0022475690300,-4.634485641e-6,-1.326903750e-4,1.3664568501e-7,2.1655662966e-7,3.6000582780e-6,-6.881194003e-6,-4.634485718e-6,-1.326903748e-4,3.3620432635e-6,1.5708033658e-4
175.0000000000000,4.6794946922e-6,2.3875439961e-4,-2.138264026e-6,-2.052370580e-4,-8.031069351e-7,-3.120123052e-6,8.2965372337e-8,-1.511198647e-7,-2.138264057e-6,-2.052370575e-4,4.2080091288e-5,0.0030694541515,-3.947618304e-5,-2.801405578e-3,-1.198785237e-6,1.8672965116e-6,-8.031069838e-7,-3.120123028e-6,-3.947618375e-5,-2.801405578e-3,4.6484871404e-5,0.0030638194271,1.8964775539e-7,-2.070956979e-4,8.2965177869e-8,-1.511200116e-7,-1.198785143e-6,1.8672963677e-6,1.8964780795e-7,-2.070956976e-4,9.3592086333e-6,1.9329122180e-4
180.0000000000000,1.8727821405e-5,2.7256633365e-4,-2.401651881e-5,-2.300570014e-4,4.3138734383e-6,-8.259084850e-7,2.9178562430e-6,5.4928708219e-7,-2.401651888e-5,-2.300570017e-4,8.7419191717e-5,0.0032070205343,-3.997665567e-5,-2.937849935e-3,-1.684049529e-5,3.4001241582e-6,4.3138734268e-6,-8.259085030e-7,-3.997665552e-5,-2.937849935e-3,3.3353388187e-5,0.0032089988408,2.2417722244e-6,-2.132206285e-4,2.9178563006e-6,5.4928754448e-7,-1.684049545e-5,3.4001246153e-6,2.2417722742e-6,-2.132206287e-4,1.9604211848e-5,2.1048843189e-4
190.0000000000000,6.8580169738e-5,1.8681850232e-4,-2.459509403e-5,-2.195116367e-4,4.5347026020e-6,-2.651952876e-6,2.8361736082e-6,4.3559693113e-6,-2.459509340e-5,-2.195116371e-4,5.1774864419e-5,0.0034713447606,-4.987139327e-5,-3.216763678e-3,3.9111836120e-6,5.3451032256e-6,4.5347025942e-6,-2.651952875e-6,-4.987139431e-5,-3.216763678e-3,8.1913232529e-5,0.0035407095213,-1.743724158e-5,-2.609996607e-4,2.8361734237e-6,4.3559695083e-6,3.9111835015e-6,5.3451032082e-6,-1.743724179e-5,-2.609996606e-4,2.0367801232e-5,1.9086183403e-4
195.0000000000000,-1.286253620e-4,6.2633712364e-6,-6.765362239e-6,-2.314120868e-4,4.0773518221e-6,-1.343314611e-5,1.6115339357e-7,3.8123365646e-7,-6.765361775e-6,-2.314120879e-4,1.0570081854e-4,0.0037081604332,-9.684800315e-5,-3.421545761e-3,1.4186829820e-6,-4.733936491e-6,4.0773518397e-6,-1.343314612e-5,-9.684800321e-5,-3.421545761e-3,1.3841871149e-4,0.0037308446702,-6.467293616e-5,-2.563808848e-4,1.6115320697e-7,3.8123400873e-7,1.4186827688e-6,-4.733936547e-6,-6.467293603e-5,-2.563808849e-4,1.1736449064e-4,1.6500629284e-4
200.0000000000000,1.9320795453e-5,4.9437112020e-4,-1.959309308e-5,-3.096723280e-4,-1.785551715e-5,2.7308647304e-6,-1.858565631e-6,-1.008247501e-5,-1.959309285e-5,-3.096723275e-4,2.5886776091e-4,0.0033932059486,-2.585505217e-4,-3.079841241e-3,2.7550521275e-5,-1.705384189e-5,-1.785551701e-5,2.7308648024e-6,-2.585505213e-4,-3.079841242e-3,4.1375038377e-4,0.0033779711518,-2.038269985e-4,-2.523580814e-4,-1.858565705e-6,-1.008247486e-5,2.7550521208e-5,-1.705384175e-5,-2.038269986e-4,-2.523580817e-4,-1.239350223e-3,0.0016292703548
