 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 02/25/2020 11:56:36
Project Date: 02/24/2020 16:36:47
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 700.0
dist2capedge = 690.0
100.0000000000000,8.0705284505e-8,0.0022005206927
105.0000000000000,8.2224550978e-8,0.0023106472731
110.0000000000000,8.3744122839e-8,0.0024207885867
115.0000000000000,8.5264008773e-8,0.0025309453374
120.0000000000000,8.6784218067e-8,0.0026411182295
125.0000000000000,8.8304760020e-8,0.0027513079673
130.0000000000000,8.9825643940e-8,0.0028615152558
135.0000000000000,9.1346879160e-8,0.0029717408003
140.0000000000000,9.2868475017e-8,0.0030819853063
145.0000000000000,9.4390440867e-8,0.0031922494798
150.0000000000000,9.5912786080e-8,0.0033025340274
155.0000000000000,9.7435520038e-8,0.0034128396560
160.0000000000000,9.8958652145e-8,0.0035231670728
165.0000000000000,1.0048219182e-7,0.0036335169858
170.0000000000000,1.0200614848e-7,0.0037438901031
175.0000000000000,1.0353053159e-7,0.0038542871336
180.0000000000000,1.0505535062e-7,0.0039647087866
185.0000000000000,1.0658061504e-7,0.0040751557720
190.0000000000000,1.0810633436e-7,0.0041856288000
195.0000000000000,1.0963251809e-7,0.0042961285816
200.0000000000000,1.1115917579e-7,0.0044066558284
205.0000000000000,1.1268631700e-7,0.0045172112523
210.0000000000000,1.1421395130e-7,0.0046277955662
215.0000000000000,1.1574208828e-7,0.0047384094833
220.0000000000000,1.1727073758e-7,0.0048490537176
225.0000000000000,1.1879990881e-7,0.0049597289837
230.0000000000000,1.2032961165e-7,0.0050704359969
235.0000000000000,1.2185985577e-7,0.0051811754730
240.0000000000000,1.2339065087e-7,0.0052919481288
245.0000000000000,1.2492200668e-7,0.0054027546816
250.0000000000000,1.2645393295e-7,0.0055135958495
255.0000000000000,1.2798643944e-7,0.0056244723514
260.0000000000000,1.2951953595e-7,0.0057353849068
265.0000000000000,1.3105323229e-7,0.0058463342362
270.0000000000000,1.3258753830e-7,0.0059573210606
275.0000000000000,1.3412246385e-7,0.0060683461020
280.0000000000000,1.3565801883e-7,0.0061794100833
285.0000000000000,1.3719421316e-7,0.0062905137281
290.0000000000000,1.3873105678e-7,0.0064016577609
295.0000000000000,1.4026855965e-7,0.0065128429070
300.0000000000000,1.4180673178e-7,0.0066240698927
305.0000000000000,1.4334558317e-7,0.0067353394451
310.0000000000000,1.4488512389e-7,0.0068466522924
315.0000000000000,1.4642536401e-7,0.0069580091635
320.0000000000000,1.4796631363e-7,0.0070694107884
325.0000000000000,1.4950798289e-7,0.0071808578980
330.0000000000000,1.5105038195e-7,0.0072923512242
335.0000000000000,1.5259352101e-7,0.0074038915000
340.0000000000000,1.5413741029e-7,0.0075154794593
345.0000000000000,1.5568206004e-7,0.0076271158371
350.0000000000000,1.5722748054e-7,0.0077388013693
355.0000000000000,1.5877368212e-7,0.0078505367932
