 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: waffle_inductor
 Data is De-embedded 
 Data File Written: 04/12/2019 02:22:42
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 04/12/2019 02:14:45
R 50.00000
Frequency (MHz),RE[Z11],IM[Z11]
100.0000000000000,2.550182288e-12,6.7841879202142
110.0000000000000,-2.444357046e-7,7.4629696424884
120.0000000000000,-4.530520552e-7,8.1417711932369
130.0000000000000,-6.281186034e-7,8.8205946241096
140.0000000000000,-7.716997048e-7,9.4994419869791
150.0000000000000,-8.858034959e-7,10.178315333813
160.0000000000000,-9.723823990e-7,10.857216716695
170.0000000000000,-1.033333416e-6,11.536148187844
180.0000000000000,-1.070499549e-6,12.215111799633
190.0000000000000,-1.085669162e-6,12.894109604614
200.0000000000000,-1.080577482e-6,13.573143655530
210.0000000000000,-1.056906582e-6,14.252216005345
220.0000000000000,-1.016286239e-6,14.931328707255
230.0000000000000,-9.602945106e-7,15.610483814714
240.0000000000000,-8.904580664e-7,16.289683381451
250.0000000000000,-8.082530858e-7,16.968929461494
260.0000000000000,-7.151055241e-7,17.648224109185
270.0000000000000,-6.123920366e-7,18.327569379203
280.0000000000000,-5.014403426e-7,19.006967326585
290.0000000000000,-3.835297608e-7,19.686420006744
300.0000000000000,-2.598922162e-7,20.365929475493
310.0000000000000,-1.317125173e-7,21.045497789059
320.0000000000000,6.590283874e-13,21.725127004293
330.0000000000000,1.3376595120e-7,22.404819177768
340.0000000000000,2.6892469407e-7,23.084576367638
350.0000000000000,4.0434431625e-7,23.764400631823
360.0000000000000,5.3906578046e-7,24.444294028942
370.0000000000000,6.7217346356e-7,25.124258618155
380.0000000000000,8.0279389358e-7,25.804296459184
390.0000000000000,9.3009584567e-7,26.484409612327
400.0000000000000,1.0532892532e-6,27.164600138485
410.0000000000000,1.1716246284e-6,27.844870099180
420.0000000000000,1.2843925195e-6,28.525221556574
430.0000000000000,1.3909225078e-6,29.205656573492
440.0000000000000,1.4905828056e-6,29.886177213441
450.0000000000000,1.5827796265e-6,30.566785540629
460.0000000000000,1.6669563259e-6,31.247483619989
470.0000000000000,1.7425926817e-6,31.928273517198
480.0000000000000,1.8092044165e-6,32.609157298696
490.0000000000000,1.8663423109e-6,33.290137031710
500.0000000000000,1.9135913352e-6,33.971214784268
510.0000000000000,1.9505706383e-6,34.652392625230
520.0000000000000,1.9769317738e-6,35.333672624299
530.0000000000000,1.9923590671e-6,36.015056852045
540.0000000000000,1.9965681481e-6,36.696547379930
550.0000000000000,1.9893053960e-6,37.378146280320
560.0000000000000,1.9703475438e-6,38.059855626514
570.0000000000000,1.9395004678e-6,38.741677492760
580.0000000000000,1.8965989099e-6,39.423613954278
590.0000000000000,1.8415053340e-6,40.105667087278
600.0000000000000,1.7741094780e-6,40.787838968987
610.0000000000000,1.6943274979e-6,41.470131677661
620.0000000000000,1.6021011859e-6,42.152547292615
630.0000000000000,1.4973972817e-6,42.835087894235
640.0000000000000,1.3802068217e-6,43.517755564008
650.0000000000000,1.2505441234e-6,44.200552384537
660.0000000000000,1.1084463516e-6,44.883480439563
670.0000000000000,9.5397244237e-7,45.566541813987
680.0000000000000,7.8720268704e-7,46.249738593892
690.0000000000000,6.0823745685e-7,46.933072866562
700.0000000000000,4.1719718169e-7,47.616546720504
710.0000000000000,2.1422085439e-7,48.300162245469
720.0000000000000,-1.17950094e-12,48.983921532923
730.0000000000000,-9.021065495e-8,49.667826669020
740.0000000000000,-1.846414293e-7,50.351879752790
750.0000000000000,-2.836215209e-7,51.036082878692
760.0000000000000,-3.869309211e-7,51.720438142982
770.0000000000000,-4.943354313e-7,52.404947643291
