 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_Capacitor_with_feedline_10outof16
 Data is De-embedded 
 Data File Written: 04/11/2020 20:43:03
Project Date: 03/31/2020 16:24:06
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
100.0000000000000,2.7637251230e-9,0.0063449009735,-2.603228281e-9,-5.925874459e-3,-4.15498307e-12,-7.192747467e-6,1.512609343e-12,4.1456315162e-6,-2.603227920e-9,-5.925874459e-3,2.9063111229e-9,0.0065065979243,-1.05782098e-11,-2.311090770e-5,-9.15325760e-12,-1.972369031e-5,-4.11934735e-12,-7.192747380e-6,-1.06230919e-11,-2.311090780e-5,-2.327728632e-9,-1.387418604584,2.4279968076e-9,1.3876823482121,1.569933486e-12,4.1456315166e-6,-9.18868194e-12,-1.972369038e-5,2.4275241985e-9,1.3876823482115,-2.337947636e-9,-1.387478093678
105.0000000000000,7.2653782339e-6,0.0066716755216,-4.217724801e-6,-6.226520275e-3,-9.916757237e-8,-7.570415359e-6,-1.765806992e-8,4.3178084388e-6,-4.217724801e-6,-6.226520275e-3,4.1838144956e-6,0.0068368005945,1.0562341010e-7,-2.426182988e-5,3.8028296918e-8,-2.067037066e-5,-9.916757237e-8,-7.570415359e-6,1.0562341010e-7,-2.426182988e-5,-1.464418075e-6,-1.321215697364,1.4653508951e-6,1.3214926301101,-1.765806992e-8,4.3178084388e-6,3.8028296918e-8,-2.067037066e-5,1.4653508951e-6,1.3214926301101,-1.466796656e-6,-1.321278163196
110.0000000000000,1.3741930501e-5,0.0069973215928,-8.019278784e-6,-6.527480994e-3,-1.896534832e-7,-7.945240953e-6,-3.581375015e-8,4.4941114588e-6,-8.019278784e-6,-6.527480994e-3,7.8161416642e-6,0.0071670127355,2.0145687810e-7,-2.541509173e-5,7.3266472561e-8,-2.162270406e-5,-1.896534832e-7,-7.945240953e-6,2.0145687810e-7,-2.541509173e-5,-2.528910086e-6,-1.261041914686,2.5304811930e-6,1.2613320366433,-3.581375015e-8,4.4941114588e-6,7.3266472561e-8,-2.162270406e-5,2.5304811930e-6,1.2613320366433,-2.533230609e-6,-1.261107357061
115.0000000000000,1.9387363071e-5,0.0073223394583,-1.138269101e-5,-6.828931680e-3,-2.720428800e-7,-8.317144677e-6,-5.415703532e-8,4.6744725186e-6,-1.138269101e-5,-6.828931680e-3,1.0893032561e-5,0.0074975324876,2.8820863954e-7,-2.657060919e-5,1.0580976328e-7,-2.258026127e-5,-2.720428800e-7,-8.317144677e-6,2.8820863954e-7,-2.657060919e-5,-3.288297787e-6,-1.206109392408,3.2903378919e-6,1.2064127036792,-5.415703532e-8,4.6744725186e-6,1.0580976328e-7,-2.258026127e-5,3.2903378919e-6,1.2064127036792,-3.294182719e-6,-1.206177811138
120.0000000000000,2.4193393450e-5,0.0076471601571,-1.428981301e-5,-7.131050283e-3,-3.468379095e-7,-8.686128689e-6,-7.243770769e-8,4.8588542285e-6,-1.428981301e-5,-7.131050283e-3,1.3420508149e-5,0.0078286248920,3.6651889092e-7,-2.772829896e-5,1.3577446846e-7,-2.354272225e-5,-3.468379095e-7,-8.686128689e-6,3.6651889092e-7,-2.772829896e-5,-3.812707939e-6,-1.155761809772,3.8150776907e-6,1.1560783104870,-7.243770769e-8,4.8588542285e-6,1.3577446846e-7,-2.354272225e-5,3.8150776907e-6,1.1560783104870,-3.819838570e-6,-1.155833204712
125.0000000000000,2.8176020434e-5,0.0079721572895,-1.673022211e-5,-7.434014168e-3,-4.144822519e-7,-9.052251876e-6,-9.045228148e-8,5.0472418722e-6,-1.673022211e-5,-7.434014168e-3,1.5413438882e-5,0.0081605280638,4.3695942770e-7,-2.888807734e-5,1.6328060713e-7,-2.450985209e-5,-4.144822519e-7,-9.052251876e-6,4.3695942770e-7,-2.888807734e-5,-4.155894955e-6,-1.109448036504,4.1584798227e-6,1.1097777268154,-9.045228148e-8,5.0472418722e-6,1.6328060713e-7,-2.450985209e-5,4.1584798227e-6,1.1097777268154,-4.164001539e-6,-1.109522407544
130.0000000000000,3.1367032947e-5,0.0082976569262,-1.870135319e-5,-7.737997636e-3,-4.753751378e-7,-9.415611856e-6,-1.080346775e-7,5.2396378666e-6,-1.870135319e-5,-7.737997636e-3,1.6892920108e-5,0.0084934579866,5.0004333056e-7,-3.004985938e-5,1.8844650754e-7,-2.548148251e-5,-4.753751378e-7,-9.415611856e-6,5.0004333056e-7,-3.004985938e-5,-4.359349570e-6,-1.066701870700,4.3620557768e-6,1.0670447507817,-1.080346775e-7,5.2396378666e-6,1.8844650754e-7,-2.548148251e-5,4.3620557768e-6,1.0670447507817,-4.368203515e-6,-1.066779217760
135.0000000000000,3.3808240408e-5,0.0086239458049,-2.020799371e-5,-8.043170260e-3,-5.298809443e-7,-9.776331927e-6,-1.250489145e-7,5.4360576874e-6,-2.020799371e-5,-8.043170260e-3,1.7884513777e-5,0.0088276122420,5.5623344730e-7,-3.121355860e-5,2.1138557865e-7,-2.645749735e-5,-5.298809443e-7,-9.776331927e-6,5.5623344730e-7,-3.121355860e-5,-4.455288206e-6,-1.027126286504,4.4580393612e-6,1.0274823565475,-1.250489145e-7,5.4360576874e-6,2.1138557865e-7,-2.645749735e-5,4.4580393612e-6,1.0274823565475,-4.464695608e-6,-1.027206609528
