 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: ACTKID_fullfeedline_sim_noGP_nostubs
 Data is De-embedded 
 Data File Written: 01/29/2020 13:26:08
Project Date: 01/29/2020 09:48:53
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,1.6670956172e-7,-0.011353366016,9.2082976185e-8,0.0120020050673,9.2083643476e-8,0.0120020050673,1.6631688080e-7,-0.011353854480
105.0000000000000,-8.236175566e-8,-0.010744489528,3.7763040140e-7,0.0114262408978,3.7763040140e-7,0.0114262408978,-1.196996436e-7,-0.010744939138
110.0000000000000,-2.383893129e-7,-0.010191655345,5.6327392313e-7,0.0109066192646,5.6327392313e-7,0.0109066192646,-3.002306582e-7,-0.010192084342
115.0000000000000,-3.262935945e-7,-9.687177628e-3,6.7485788609e-7,0.0104354590113,6.7485788609e-7,0.0104354590113,-4.029722935e-7,-9.687601010e-3
120.0000000000000,-3.646452067e-7,-9.224712409e-3,7.3171171146e-7,0.0100064211425,7.3171171146e-7,0.0100064211425,-4.487296993e-7,-9.225142485e-3
125.0000000000000,-3.673764285e-7,-8.798976861e-3,7.4840886054e-7,0.0096142280378,7.4840886054e-7,0.0096142280378,-4.532415936e-7,-8.799423698e-3
130.0000000000000,-3.449913613e-7,-8.405536222e-3,7.3601050252e-7,0.0092544503268,7.3601050252e-7,0.0092544503268,-4.284759495e-7,-8.406007991e-3
135.0000000000000,-3.054335080e-7,-8.040640074e-3,7.0295688438e-7,0.0089233431384,7.0295688438e-7,0.0089233431384,-3.835631661e-7,-8.041143339e-3
140.0000000000000,-2.547158167e-7,-7.701095140e-3,6.5571411109e-7,0.0086177188756,6.5571411109e-7,0.0086177188756,-3.254770086e-7,-7.701635095e-3
145.0000000000000,-1.973836730e-7,-7.384165441e-3,5.9924873749e-7,0.0083348473515,5.9924873749e-7,0.0083348473515,-2.595375513e-7,-7.384746100e-3
150.0000000000000,-1.368588759e-7,-7.087493176e-3,5.3737959136e-7,0.0080723766599,5.3737959136e-7,0.0080723766599,-1.897868620e-7,-7.088117537e-3
155.0000000000000,-7.569778943e-8,-6.809035484e-3,4.7304103591e-7,0.0078282699247,4.7304103591e-7,0.0078282699247,-1.192725985e-7,-6.809705665e-3
160.0000000000000,-1.578690932e-8,-6.547013476e-3,4.0848166003e-7,0.0076007543326,4.0848166003e-7,0.0076007543326,-5.026421586e-8,-6.547730831e-3
165.0000000000000,4.1507690695e-8,-6.299870860e-3,3.4541541911e-7,0.0073882797521,3.4541541911e-7,0.0073882797521,1.5580662435e-8,-6.300636083e-3
170.0000000000000,9.5225233863e-8,-6.066240112e-3,2.8513744106e-7,0.0071894849007,2.8513744106e-7,0.0071894849007,7.7087094432e-8,-6.067053319e-3
175.0000000000000,1.4472089501e-7,-5.844914623e-3,2.2861335204e-7,0.0070031695000,2.2861335204e-7,0.0070031695000,1.3346173039e-7,-5.845775432e-3
180.0000000000000,1.8959598860e-7,-5.634825644e-3,1.7654860228e-7,0.0068282712192,1.7654860228e-7,0.0068282712192,1.8421306745e-7,-5.635733244e-3
185.0000000000000,2.2964464543e-7,-5.435023081e-3,1.2944222500e-7,0.0066638464736,1.2944040774e-7,0.0066638464723,2.2908865463e-7,-5.435976291e-3
190.0000000000000,2.6480259594e-7,-5.244659407e-3,8.7631052855e-8,0.0065090543398,8.7631052854e-8,0.0065090543398,2.6802150633e-7,-5.245656726e-3
195.0000000000000,2.9512833777e-7,-5.062976126e-3,5.1319678130e-8,0.0063631430318,5.1319678130e-8,0.0063631430318,3.0109503334e-7,-5.064015792e-3
200.0000000000000,3.2075998356e-7,-4.889292320e-3,2.0610486810e-8,0.0062254384462,2.0610486810e-8,0.0062254384462,3.2850421007e-7,-4.890372347e-3
205.0000000000000,3.4190105961e-7,-4.722994919e-3,-4.477007609e-9,0.0060953344433,-4.477007609e-9,0.0060953344433,3.5053152818e-7,-4.724113141e-3
210.0000000000000,3.5880126113e-7,-4.563530396e-3,-2.398896801e-8,0.0059722845490,-2.398896802e-8,0.0059722845490,3.6752439429e-7,-4.564684504e-3
215.0000000000000,3.7174223398e-7,-4.410397654e-3,-3.802373164e-8,0.0058557948474,-3.802373164e-8,0.0058557948474,3.7987704227e-7,-4.411585231e-3
220.0000000000000,3.8102613186e-7,-4.263141902e-3,-4.672094903e-8,0.0057454178668,-4.672094903e-8,0.0057454178668,3.8801563397e-7,-4.264360455e-3
225.0000000000000,3.8696641109e-7,-4.121349369e-3,-5.025281804e-8,0.0056407473030,-5.025281804e-8,0.0056407473030,3.9238595909e-7,-4.122596357e-3
230.0000000000000,3.8988043939e-7,-3.984642727e-3,-4.881698613e-8,0.0055414134476,-4.881698613e-8,0.0055414134476,3.9344326936e-7,-3.985915591e-3
235.0000000000000,3.9008358199e-7,-3.852677106e-3,-4.263078533e-8,0.0054470792150,-4.263078533e-8,0.0054470792150,3.9164387738e-7,-3.853973290e-3
240.0000000000000,3.8788449683e-7,-3.725136622e-3,-3.192653557e-8,0.0053574366779,-3.192653557e-8,0.0053574366779,3.8743822418e-7,-3.726453598e-3
245.0000000000000,3.8358142363e-7,-3.601731335e-3,-1.694770663e-8,0.0052722040372,-1.694770663e-8,0.0052722040372,3.8126517777e-7,-3.603066626e-3
250.0000000000000,3.7745929264e-7,-3.482194586e-3,2.0542279003e-9,0.0051911229655,2.0542279004e-9,0.0051911229655,3.7354736952e-7,-3.483545781e-3
255.0000000000000,3.6978751239e-7,-3.366280645e-3,2.4822377216e-8,0.0051139562689,2.4822377216e-8,0.0051139562689,3.6468741131e-7,-3.367645420e-3
260.0000000000000,3.6081832124e-7,-3.253762643e-3,5.1096567138e-8,0.0050404858264,5.1096567138e-8,0.0050404858264,3.5506486423e-7,-3.255138776e-3
265.0000000000000,3.5078560832e-7,-3.144430739e-3,8.0615106203e-8,0.0049705107681,8.0615106203e-8,0.0049705107681,3.4503385228e-7,-3.145816120e-3
270.0000000000000,3.3990412644e-7,-3.038090491e-3,1.1311625280e-7,0.0049038458598,1.1311625280e-7,0.0049038458598,3.3492123230e-7,-3.039483141e-3
275.0000000000000,3.2836903249e-7,-2.934561414e-3,1.4833943866e-7,0.0048403200689,1.4833943866e-7,0.0048403200689,3.2502524605e-7,-2.935959491e-3
280.0000000000000,3.1635618871e-7,-2.833675692e-3,1.8602644472e-7,0.0047797752881,1.8602526579e-7,0.0047797752887,3.1561447457e-7,-2.835077501e-3
285.0000000000000,3.0401977350e-7,-2.735277020e-3,2.2592150656e-7,0.0047220651953,2.2592150656e-7,0.0047220651953,3.0692786150e-7,-2.736681025e-3
290.0000000000000,2.9149738443e-7,-2.639219585e-3,2.6777355622e-7,0.0046670542370,2.6777355622e-7,0.0046670542370,2.9917330119e-7,-2.640624409e-3
295.0000000000000,2.7890556879e-7,-2.545367131e-3,3.1133532849e-7,0.0046146167149,3.1133532849e-7,0.0046146167149,2.9252885045e-7,-2.546771566e-3
300.0000000000000,2.6634278834e-7,-2.453592135e-3,3.5636464697e-7,0.0045646359689,3.5636464697e-7,0.0045646359689,2.8714243248e-7,-2.454995143e-3
305.0000000000000,2.5388957599e-7,-2.363775051e-3,4.0262472834e-7,0.0045170036414,4.0262472834e-7,0.0045170036414,2.8313246210e-7,-2.365175771e-3
310.0000000000000,2.4160927178e-7,-2.275803642e-3,4.4988457668e-7,0.0044716190152,4.4988457668e-7,0.0044716190152,2.8058854701e-7,-2.277201385e-3
315.0000000000000,2.2954883538e-7,-2.189572363e-3,4.9791932730e-7,0.0044283884170,4.9791932730e-7,0.0044283884170,2.7957235945e-7,-2.190966615e-3
320.0000000000000,2.1773972120e-7,-2.104981806e-3,5.4651054858e-7,0.0043872246780,5.4651054858e-7,0.0043872246780,2.8011865790e-7,-2.106372231e-3
325.0000000000000,2.0619880398e-7,-2.021938202e-3,5.9544650884e-7,0.0043480466469,5.9544650884e-7,0.0043480466469,2.8223644083e-7,-2.023324633e-3
330.0000000000000,1.9492934496e-7,-1.940352959e-3,6.4452241383e-7,0.0043107787487,6.4452241383e-7,0.0043107787487,2.8591021623e-7,-1.941735400e-3
335.0000000000000,1.8392198930e-7,-1.860142246e-3,6.9354061968e-7,0.0042753505842,6.9354061968e-7,0.0042753505842,2.9110137219e-7,-1.861520867e-3
340.0000000000000,1.7315578761e-7,-1.781226613e-3,7.4231082496e-7,0.0042416965676,7.4231082496e-7,0.0042416965676,2.9774963503e-7,-1.782601743e-3
345.0000000000000,1.6259923440e-7,-1.703530640e-3,7.9065024486e-7,0.0042097555964,7.9065024486e-7,0.0042097555964,3.0577460281e-7,-1.704902765e-3
350.0000000000000,1.5221131803e-7,-1.626982621e-3,8.3838377004e-7,0.0041794707517,8.3838377004e-7,0.0041794707517,3.1507734285e-7,-1.628352376e-3
355.0000000000000,1.4194257687e-7,-1.551514269e-3,8.8534411206e-7,0.0041507890256,8.8534411206e-7,0.0041507890256,3.2554204270e-7,-1.552882430e-3
360.0000000000000,1.3173615720e-7,-1.477060447e-3,9.3137193704e-7,0.0041236610727,9.3137193704e-7,0.0041236610727,3.3703770474e-7,-1.478427924e-3
365.0000000000000,1.2152886892e-7,-1.403558916e-3,9.7631598860e-7,0.0040980409841,9.7631598860e-7,0.0040980409841,3.4941987527e-7,-1.404926747e-3
370.0000000000000,1.1125223536e-7,-1.330950111e-3,1.0200332013e-6,0.0040738860812,1.0200332013e-6,0.0040738860812,3.6253239942e-7,-1.332319451e-3
375.0000000000000,1.0083353432e-7,-1.259176925e-3,1.0623888051e-6,0.0040511567279,1.0623888051e-6,0.0040511567279,3.7620919344e-7,-1.260549037e-3
380.0000000000000,9.0196827038e-8,-1.188184511e-3,1.1032564216e-6,0.0040298161596,1.1032564216e-6,0.0040298161596,3.9027602681e-7,-1.189560758e-3
385.0000000000000,7.9263972684e-8,-1.117920102e-3,1.1425181519e-6,0.0040098303273,1.1425181519e-6,0.0040098303273,4.0455230634e-7,-1.119301936e-3
390.0000000000000,6.7955625935e-8,-1.048332838e-3,1.1800646575e-6,0.0039911677556,1.1800646575e-6,0.0039911677556,4.1885285516e-7,-1.049721791e-3
395.0000000000000,5.6192215204e-8,-9.793736047e-4,1.2157952330e-6,0.0039737994138,1.2157952330e-6,0.0039737994138,4.3298967955e-7,-9.807712802e-4
400.0000000000000,4.3894899464e-8,-9.109948893e-4,1.2496178715e-6,0.0039576985986,1.2496178715e-6,0.0039576985986,4.4677371679e-7,-9.124029489e-4
405.0000000000000,3.0986501553e-8,-8.431506358e-4,1.2814493229e-6,0.0039428408277,1.2814493229e-6,0.0039428408277,4.6001655742e-7,-8.445707915e-4
410.0000000000000,1.7392416008e-8,-7.757961149e-4,1.3112151438e-6,0.0039292037436,1.3112151438e-6,0.0039292037436,4.7253213540e-7,-7.772301186e-4
415.0000000000000,3.0414894728e-9,-7.088877993e-4,1.3388497410e-6,0.0039167670267,1.3388497410e-6,0.0039167670267,4.8413837985e-7,-7.103374327e-4
420.0000000000000,-1.213312831e-8,-6.423832451e-4,1.3642964055e-6,0.0039055123175,1.3642964055e-6,0.0039055123175,4.9465882225e-7,-6.438503104e-4
425.0000000000000,-2.819316460e-8,-5.762409802e-4,1.3875073404e-6,0.0038954231461,1.3875073404e-6,0.0038954231461,5.0392415290e-7,-5.777272904e-4
430.0000000000000,-4.519443697e-8,-5.104203971e-4,1.4084436787e-6,0.0038864848708,1.4084436787e-6,0.0038864848708,5.1177372083e-7,-5.119277667e-4
435.0000000000000,-6.318610158e-8,-4.448816506e-4,1.4270754942e-6,0.0038786846227,1.4270754942e-6,0.0038786846227,5.1805697111e-7,-4.464118870e-4
440.0000000000000,-8.220993828e-8,-3.795855590e-4,1.4433818024e-6,0.0038720112576,1.4433818024e-6,0.0038720112576,5.2263481414e-7,-3.811404542e-4
445.0000000000000,-1.022996745e-7,-3.144935099e-4,1.4573505535e-6,0.0038664553151,1.4573505535e-6,0.0038664553151,5.2538092112e-7,-3.160748323e-4
450.0000000000000,-1.234803498e-7,-2.495673677e-4,1.4689786151e-6,0.0038620089827,1.4689786151e-6,0.0038620089827,5.2618294027e-7,-2.511768548e-4
455.0000000000000,-1.457677232e-7,-1.847693844e-4,1.4782717463e-6,0.0038586660672,1.4782717463e-6,0.0038586660672,5.2494362872e-7,-1.864087359e-4
