R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,1.4986987924e-4,0.0148468583802,-1.484789964e-4,-0.014696682409,-1.484789964e-4,-0.014696682409,1.4994107652e-4,0.0148540829371
105.0000000000000,1.5314570580e-4,0.0156344424887,-1.517430718e-4,-0.015476756977,-1.517430718e-4,-0.015476756977,1.5321827775e-4,0.0156420545608
110.0000000000000,1.5663060285e-4,0.0164289095597,-1.552094145e-4,-0.016263719046,-1.552094145e-4,-0.016263719046,1.5670498278e-4,0.0164369123453
115.0000000000000,1.6030910214e-4,0.0172306701519,-1.588648371e-4,-0.017057978863,-1.588648371e-4,-0.017057978863,1.6038555252e-4,0.0172390671505
120.0000000000000,1.6416823589e-4,0.0180401477668,-1.626980135e-4,-0.017859959534,-1.626980135e-4,-0.017859959534,1.6424690170e-4,0.0180489427948
125.0000000000000,1.6819727443e-4,0.0188577795983,-1.666993763e-4,-0.018670097861,-1.666993763e-4,-0.018670097861,1.6827822409e-4,0.0188669767955
130.0000000000000,1.7238751952e-4,0.0196840173639,-1.708610340e-4,-0.019488845211,-1.708610340e-4,-0.019488845211,1.7247077551e-4,0.0196936211944
135.0000000000000,1.7673213985e-4,0.0205193282088,-1.751767013e-4,-0.020316668442,-1.751767013e-4,-0.020316668442,1.7681770097e-4,0.0205293434600
140.0000000000000,1.8122603797e-4,0.0213641956818,-1.796416377e-4,-0.021154050884,-1.796416377e-4,-0.021154050884,1.8131389514e-4,0.0213746274630
145.0000000000000,1.8586574113e-4,0.0222191207842,-1.842525926e-4,-0.022001493392,-1.842525926e-4,-0.022001493392,1.8595588813e-4,0.0222299745255
150.0000000000000,1.9064931014e-4,0.0230846230947,-1.890077536e-4,-0.022859515459,-1.890077536e-4,-0.022859515459,1.9074175060e-4,0.0230959045475
155.0000000000000,1.9557626237e-4,0.0239612419757,-1.939066994e-4,-0.023728656420,-1.939066994e-4,-0.023728656420,1.9567101399e-4,0.0239729572152
160.0000000000000,2.0064750595e-4,0.0248495378677,-1.989503556e-4,-0.024609476738,-1.989503556e-4,-0.024609476738,2.0074460267e-4,0.0248616932970
165.0000000000000,2.0586528338e-4,0.0257500936782,-2.041409535e-4,-0.025502559384,-2.041409535e-4,-0.025502559384,2.0596477614e-4,0.0257626960343
170.0000000000000,2.1123312314e-4,0.0266635162733,-2.094819935e-4,-0.026408511324,-2.094819935e-4,-0.026408511324,2.1133507968e-4,0.0266765726352
175.0000000000000,2.1675579858e-4,0.0275904380807,-2.149782115e-4,-0.027327965117,-2.149782115e-4,-0.027327965117,2.1686030261e-4,0.0276039558797
180.0000000000000,2.2243929426e-4,0.0285315188154,-2.206355506e-4,-0.028261580633,-2.206355506e-4,-0.028261580633,2.2254644426e-4,0.0285455058466
185.0000000000000,2.2829077766e-4,0.0294874473348,-2.264611369e-4,-0.029210046907,-2.264611369e-4,-0.029210046907,2.2840068555e-4,0.0295019117712
