R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
100.0000000000000,0.5128835694612,-5942.178271375,0.5128835245251,-5942.264794984,0.5128835248096,-5942.264794984,0.5128835683424,-5942.178271484
102.0000000000000,0.4971117765044,-5825.652704164,0.4971117493701,-5825.740957624,0.4971117493701,-5825.740957624,0.4971117753963,-5825.652704270
104.0000000000000,0.4821531310131,-5713.609388213,0.4821531211449,-5713.699371526,0.4821531211449,-5713.699371526,0.4821531299154,-5713.609388316
106.0000000000000,0.4679502174397,-5605.794580090,0.4679502244481,-5605.886293261,0.4679502244481,-5605.886293261,0.4679502163521,-5605.794580192
108.0000000000000,0.4544507022300,-5501.973334452,0.4544507257298,-5502.066777482,0.4544507257298,-5502.066777482,0.4544507011522,-5501.973334552
110.0000000000000,0.4416067960968,-5401.927794904,0.4416068357068,-5402.022967795,0.4416068357068,-5402.022967795,0.4416067950285,-5401.927795002
112.0000000000000,0.4293747846384,-5305.455668028,0.4293748399814,-5305.552570783,0.4293748399814,-5305.552570783,0.4293747835793,-5305.455668123
114.0000000000000,0.4177146126029,-5212.368858050,0.4177146833061,-5212.467490672,0.4177146833061,-5212.467490672,0.4177146115529,-5212.368858143
116.0000000000000,0.4065895196629,-5122.492242771,0.4065896053572,-5122.592605263,0.4065896053572,-5122.592605263,0.4065895186215,-5122.492242863
118.0000000000000,0.3959657160656,-5035.662573993,0.3959658163861,-5035.764666357,0.3959658163861,-5035.764666357,0.3959657150327,-5035.662574083
120.0000000000000,0.3858120962640,-4951.727487904,0.3858122108500,-4951.831310143,0.3858122108500,-4951.831310143,0.3858120952395,-4951.727487992
122.0000000000000,0.3760999831678,-4870.544612827,0.3761001116623,-4870.650164944,0.3761001116623,-4870.650164944,0.3760999821514,-4870.544612914
124.0000000000000,0.3668029029358,-4791.980763319,0.3668030449859,-4792.088045315,0.3668030449859,-4792.088045315,0.3668029019273,-4791.980763404
126.0000000000000,0.3578963815688,-4715.911211022,0.3578965368256,-4716.020222901,0.3578965368256,-4716.020222901,0.3578963805681,-4715.911211105
128.0000000000000,0.3493577637989,-4642.219023894,0.3493579319173,-4642.329765659,0.3493579319173,-4642.329765659,0.3493577628057,-4642.219023977
130.0000000000000,0.3411660525570,-4570.794466431,0.3411662331960,-4570.906938083,0.3411662331960,-4570.906938083,0.3411660515712,-4570.794466511
132.0000000000000,0.3333017624160,-4501.534454416,0.3333019552384,-4501.648655959,0.3333019552384,-4501.648655959,0.3333017614375,-4501.534454495
134.0000000000000,0.3257467898578,-4434.342058513,0.3257469945303,-4434.457989949,0.3257469945303,-4434.457989949,0.3257467888863,-4434.342058591
136.0000000000000,0.3184842954097,-4369.126051655,0.3184845116029,-4369.243712987,0.3184845116029,-4369.243712987,0.3184842944452,-4369.126051731
138.0000000000000,0.3114985984428,-4305.800495798,0.3114988258311,-4305.919887028,0.3114988258311,-4305.919887028,0.3114985974851,-4305.800495873
140.0000000000000,0.3047750809693,-4244.284364099,0.3047753192309,-4244.405485231,0.3047753192309,-4244.405485231,0.3047750800182,-4244.284364173
142.0000000000000,0.2983001011013,-4184.501195025,0.2983003499183,-4184.624046060,0.2983003499183,-4184.624046060,0.2983001001567,-4184.501195098
144.0000000000000,0.2920609157539,-4126.378775289,0.2920611748122,-4126.503356231,0.2920611748122,-4126.503356231,0.2920609148157,-4126.378775361
146.0000000000000,0.2860456085860,-4069.848848849,0.2860458775752,-4069.975159699,0.2860458775752,-4069.975159699,0.2860456076541,-4069.848848919
148.0000000000000,0.2802430259212,-4014.846849500,0.2802433045346,-4014.974890263,0.2802433045346,-4014.974890263,0.2802430249955,-4014.846849570
150.0000000000000,0.2746427181667,-3961.311654870,0.2746430061015,-3961.441425546,0.2746430061015,-3961.441425546,0.2746427172470,-3961.311654939
152.0000000000000,0.2692348863995,-3909.185359825,0.2692351833565,-3909.316860418,0.2692351833565,-3909.316860418,0.2692348854858,-3909.185359893
154.0000000000000,0.2640103335732,-3858.413067545,0.2640106392569,-3858.546298057,0.2640106392569,-3858.546298057,0.2640103326654,-3858.413067612
156.0000000000000,0.2589604200597,-3808.942696667,0.2589607341783,-3809.077657101,0.2589607341783,-3809.077657101,0.2589604191577,-3808.942696733
158.0000000000000,0.2540770231479,-3760.724803073,0.2540773454133,-3760.861493432,0.2540773454133,-3760.861493432,0.2540770222515,-3760.724803138
160.0000000000000,0.2493524996137,-3713.712415055,0.2493528297414,-3713.850835341,0.2493528297414,-3713.850835341,0.2493524987230,-3713.712415119
162.0000000000000,0.2447796518086,-3667.860880678,0.2447799895177,-3668.001030894,0.2447799895177,-3668.001030894,0.2447796509234,-3667.860880741
164.0000000000000,0.2403516963854,-3623.127726326,0.2403520413986,-3623.269606473,0.2403520413986,-3623.269606473,0.2403516955056,-3623.127726388
166.0000000000000,0.2360622355788,-3579.472525460,0.2360625876223,-3579.616135543,0.2360625876223,-3579.616135543,0.2360622347043,-3579.472525521
168.0000000000000,0.2319052305323,-3536.856776768,0.2319055893362,-3537.002116788,0.2319055893362,-3537.002116788,0.2319052296631,-3536.856776828
170.0000000000000,0.2278749775359,-3495.243790899,0.2278753428334,-3495.390860859,0.2278753428334,-3495.390860859,0.2278749766719,-3495.243790958
172.0000000000000,0.2239660851423,-3454.598585114,0.2239664566705,-3454.747385017,0.2239664566705,-3454.747385017,0.2239660842834,-3454.598585173
174.0000000000000,0.2201734538957,-3414.887785196,0.2201738313950,-3415.038315044,0.2201738313950,-3415.038315044,0.2201734530418,-3414.887785254
176.0000000000000,0.2164922569724,-3376.079534048,0.2164926401867,-3376.231793845,0.2164926401867,-3376.231793845,0.2164922561235,-3376.079534106
178.0000000000000,0.2129179227921,-3338.143406460,0.2129183114689,-3338.297396207,0.2129183114689,-3338.297396207,0.2129179219482,-3338.143406517
180.0000000000000,0.2094461187332,-3301.050329549,0.2094465126233,-3301.206049249,0.2094465126233,-3301.206049249,0.2094461178941,-3301.050329605
182.0000000000000,0.2060727358492,-3264.772508453,0.2060731347069,-3264.929958108,0.2060731347069,-3264.929958108,0.2060727350149,-3264.772508508
184.0000000000000,0.2027938752330,-3229.283356865,0.2027942788160,-3229.442536479,0.2027942788160,-3229.442536479,0.2027938744035,-3229.283356920
186.0000000000000,0.1996058349147,-3194.557432060,0.1996062429842,-3194.718341634,0.1996062429842,-3194.718341634,0.1996058340899,-3194.557432113
188.0000000000000,0.1965050976312,-3160.570374051,0.1965055099515,-3160.733013589,0.1965055099515,-3160.733013589,0.1965050968109,-3160.570374104
190.0000000000000,0.1934883201499,-3127.298848610,0.1934887364890,-3127.463218114,0.1934887364890,-3127.463218114,0.1934883193342,-3127.298848662
192.0000000000000,0.1905523224359,-3094.720493831,0.1905527425649,-3094.886593303,0.1905527425649,-3094.886593303,0.1905523216247,-3094.720493882
194.0000000000000,0.1876940781855,-3062.813870010,0.1876945018790,-3062.981699455,0.1876945018790,-3062.981699455,0.1876940773788,-3062.813870061
196.0000000000000,0.1849107059144,-3031.558412594,0.1849111329502,-3031.727972012,0.1849111329502,-3031.727972012,0.1849107051121,-3031.558412645
198.0000000000000,0.1821994605781,-3000.934387973,0.1821998907372,-3001.105677367,0.1821998907372,-3001.105677367,0.1821994597801,-3000.934388023
200.0000000000000,0.1795577254995,-2970.922851932,0.1795581585664,-2971.095871306,0.1795581585664,-2971.095871306,0.1795577247059,-2970.922851981
