R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
100.0000000000000,1.7687770160e-4,0.0173750849157
105.0000000000000,1.8156468341e-4,0.0183124834998
110.0000000000000,1.8638703620e-4,0.0192605558108
115.0000000000000,1.9135295507e-4,0.0202199720054
120.0000000000000,1.9647094322e-4,0.0211914278048
125.0000000000000,2.0174987839e-4,0.0221756465577
130.0000000000000,2.0719908001e-4,0.0231733814324
135.0000000000000,2.1282837680e-4,0.0241854177551
140.0000000000000,2.1864817537e-4,0.0252125755136
145.0000000000000,2.2466953007e-4,0.0262557120446
150.0000000000000,2.3090421510e-4,0.0273157249268
155.0000000000000,2.3736479941e-4,0.0283935551015
160.0000000000000,2.4406472556e-4,0.0294901902459
165.0000000000000,2.5101839343e-4,0.0306066684266
170.0000000000000,2.5824125000e-4,0.0317440820629
175.0000000000000,2.6574988631e-4,0.0329035822340
180.0000000000000,2.7356214312e-4,0.0340863833680
185.0000000000000,2.8169722661e-4,0.0352937683536
190.0000000000000,2.9017583581e-4,0.0365270941226
195.0000000000000,2.9902030357e-4,0.0377877977556
200.0000000000000,3.0825475311e-4,0.0390774031716
205.0000000000000,3.1790527239e-4,0.0403975284673
210.0000000000000,3.2800010902e-4,0.0417498939847
215.0000000000000,3.3856988844e-4,0.0431363311925
220.0000000000000,3.4964785896e-4,0.0445587924802
225.0000000000000,3.6127016737e-4,0.0460193619791
230.0000000000000,3.7347616972e-4,0.0475202675367
235.0000000000000,3.8630878230e-4,0.0490638939944
240.0000000000000,3.9981487927e-4,0.0506527979361
245.0000000000000,4.1404574303e-4,0.0522897241050
250.0000000000000,4.2905757712e-4,0.0539776237114
255.0000000000000,4.4491208993e-4,0.0557196748945
260.0000000000000,4.6167716161e-4,0.0575193056393
265.0000000000000,4.7942760755e-4,0.0593802195012
270.0000000000000,4.9824605455e-4,0.0613064245487
275.0000000000000,5.1822394938e-4,0.0633022660063
280.0000000000000,5.3946272251e-4,0.0653724631615
285.0000000000000,5.6207513525e-4,0.0675221512012
290.0000000000000,5.8618684384e-4,0.0697569287667
295.0000000000000,6.1193822123e-4,0.0720829121586
300.0000000000000,6.3948648651e-4,0.0745067973057
305.0000000000000,6.6900820240e-4,0.0770359308281
310.0000000000000,7.0070221575e-4,0.0796783917904
315.0000000000000,7.3479313296e-4,0.0824430860729
320.0000000000000,7.7153544463e-4,0.0853398556915
325.0000000000000,8.1121844200e-4,0.0883796059073
330.0000000000000,8.5417210379e-4,0.0915744535971
335.0000000000000,9.0077417890e-4,0.0949379011544
340.0000000000000,9.5145875106e-4,0.0984850411987
345.0000000000000,0.0010067266510,0.1022327986547
350.0000000000000,0.0010671581866,0.1062002184123
355.0000000000000,0.0011334287997,0.1104088089038
360.0000000000000,0.0012063284463,0.1148829547060
365.0000000000000,0.0012867857476,0.1196504149043
370.0000000000000,0.0013758983030,0.1247429287645
375.0000000000000,0.0014749710331,0.1301969566699
380.0000000000000,0.0015855650766,0.1360545929269
385.0000000000000,0.0017095607027,0.1423646988213
390.0000000000000,0.0018492390241,0.1491843205144
395.0000000000000,0.0020073892223,0.1565804789696
400.0000000000000,0.0021874508164,0.1646324509807
405.0000000000000,0.0023937047063,0.1734347060201
410.0000000000000,0.0026315330926,0.1831007299201
415.0000000000000,0.0029077781934,0.1937680643198
420.0000000000000,0.0032312451575,0.2056050380055
425.0000000000000,0.0036134194237,0.2188198919741
430.0000000000000,0.0040695098714,0.2336733536026
435.0000000000000,0.0046199985023,0.2504962827356
440.0000000000000,0.0052929987011,0.2697149476330
445.0000000000000,0.0061279429105,0.2918880769755
450.0000000000000,0.0071815308405,0.3177626245677
455.0000000000000,0.0085376728704,0.3483602794196
460.0000000000000,0.0103248182285,0.3851164845949
465.0000000000000,0.0127476724048,0.4301132991795
470.0000000000000,0.0161487746074,0.4864892922784
475.0000000000000,0.0211369783099,0.5592060258247
480.0000000000000,0.0288808788485,0.6565936256237
485.0000000000000,0.0418622222865,0.7937847026495
490.0000000000000,0.0661433139493,1.0014016309141
495.0000000000000,0.1199577626441,1.3519789950130
500.0000000000000,0.2809962186124,2.0668620545872
505.0000000000000,1.2445972431904,4.2278184304093
510.0000000000000,11.530904259797,-6.953969171935
515.0000000000000,0.7023462645545,-3.260534257703
520.0000000000000,0.2070902117323,-1.805531575384
525.0000000000000,0.0969499346988,-1.243804047707
530.0000000000000,0.0558889983415,-0.948555110716
535.0000000000000,0.0362676639726,-0.766853783841
540.0000000000000,0.0254043093029,-0.643823160817
545.0000000000000,0.0187719166628,-0.555003325400
550.0000000000000,0.0144299163830,-0.487860417479
555.0000000000000,0.0114345386770,-0.435312816352
560.0000000000000,0.0092821829755,-0.393058923350
565.0000000000000,0.0076842876468,-0.358335525279
570.0000000000000,0.0064658970825,-0.329286784428
575.0000000000000,0.0055159465428,-0.304620166004
580.0000000000000,0.0047611892372,-0.283407847649
585.0000000000000,0.0041517396057,-0.264966588567
590.0000000000000,0.0036526745953,-0.248782136350
595.0000000000000,0.0032389567646,-0.234460032416
600.0000000000000,0.0028922585788,-0.221692654175
605.0000000000000,0.0025989158564,-0.210236568804
610.0000000000000,0.0023485738818,-0.199896621812
615.0000000000000,0.0021332707107,-0.190514534375
620.0000000000000,0.0019468034958,-0.181960586258
625.0000000000000,0.0017842822243,-0.174127452352
630.0000000000000,0.0016418101121,-0.166925569212
635.0000000000000,0.0015162511873,-0.160279606120
640.0000000000000,0.0014050589088,-0.154125745283
645.0000000000000,0.0013061481723,-0.148409562680
650.0000000000000,0.0012177985906,-0.143084360333
