 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance_double_port_2000
 Data is De-embedded 
 Data File Written: 09/04/2017 11:39:59
Project Date: 09/04/2017 11:27:06
R 50.00000
Frequency (GHz),RE[Y11],IM[Y11]
0.050000000000000,3.9410556421e-7,4.1712733608e-5
0.052000000000000,3.9795430080e-7,4.3374311616e-5
0.054000000000000,4.0179804194e-7,4.5036168358e-5
0.056000000000000,4.0563685761e-7,4.6698303906e-5
0.058000000000000,4.0947081785e-7,4.8360718334e-5
0.060000000000000,4.1329999267e-7,5.0023411713e-5
0.062000000000000,4.1712445217e-7,5.1686384117e-5
0.064000000000000,4.2094426642e-7,5.3349635617e-5
0.066000000000000,4.2475950555e-7,5.5013166287e-5
0.068000000000000,4.2857023968e-7,5.6676976198e-5
0.070000000000000,4.3237653898e-7,5.8341065423e-5
0.072000000000000,4.3617847363e-7,6.0005434034e-5
0.074000000000000,4.3997611385e-7,6.1670082105e-5
0.076000000000000,4.4376952987e-7,6.3335009707e-5
0.078000000000000,4.4755879194e-7,6.5000216914e-5
0.080000000000000,4.5134397035e-7,6.6665703796e-5
0.082000000000000,4.5512513539e-7,6.8331470428e-5
0.084000000000000,4.5890235741e-7,6.9997516881e-5
0.086000000000000,4.6267570675e-7,7.1663843228e-5
0.088000000000000,4.6644525378e-7,7.3330449542e-5
0.090000000000000,4.7021106891e-7,7.4997335895e-5
0.092000000000000,4.7397322256e-7,7.6664502359e-5
0.094000000000000,4.7773178519e-7,7.8331949006e-5
0.096000000000000,4.8148682725e-7,7.9999675911e-5
0.098000000000000,4.8523841926e-7,8.1667683144e-5
0.100000000000000,4.8898663172e-7,8.3335970778e-5
0.102000000000000,4.9273153518e-7,8.5004538887e-5
0.104000000000000,4.9647320022e-7,8.6673387542e-5
0.106000000000000,5.0021169742e-7,8.8342516815e-5
0.108000000000000,5.0394709740e-7,9.0011926780e-5
0.110000000000000,5.0767947079e-7,9.1681617509e-5
0.112000000000000,5.1140888827e-7,9.3351589075e-5
0.114000000000000,5.1513542053e-7,9.5021841549e-5
0.116000000000000,5.1885913826e-7,9.6692375005e-5
0.118000000000000,5.2258011222e-7,9.8363189514e-5
0.120000000000000,5.2629841315e-7,1.0003428515e-4
0.122000000000000,5.3001411186e-7,1.0170566198e-4
0.124000000000000,5.3372727914e-7,1.0337732009e-4
0.126000000000000,5.3743798582e-7,1.0504925954e-4
0.128000000000000,5.4114630277e-7,1.0672148041e-4
0.130000000000000,5.4485230086e-7,1.0839398276e-4
0.132000000000000,5.4855605101e-7,1.1006676668e-4
0.134000000000000,5.5225762413e-7,1.1173983223e-4
0.136000000000000,5.5595709119e-7,1.1341317949e-4
0.138000000000000,5.5965452316e-7,1.1508680853e-4
0.140000000000000,5.6334999104e-7,1.1676071941e-4
0.142000000000000,5.6704356587e-7,1.1843491222e-4
0.144000000000000,5.7073531868e-7,1.2010938703e-4
0.146000000000000,5.7442532056e-7,1.2178414391e-4
0.148000000000000,5.7811364261e-7,1.2345918293e-4
0.150000000000000,5.8180035594e-7,1.2513450416e-4
0.152000000000000,5.8548553170e-7,1.2681010768e-4
0.154000000000000,5.8916924107e-7,1.2848599356e-4
0.156000000000000,5.9285155525e-7,1.3016216187e-4
0.158000000000000,5.9653254544e-7,1.3183861269e-4
0.160000000000000,6.0021228291e-7,1.3351534608e-4
0.162000000000000,6.0389083891e-7,1.3519236212e-4
0.164000000000000,6.0756828474e-7,1.3686966088e-4
0.166000000000000,6.1124469172e-7,1.3854724244e-4
0.168000000000000,6.1492013119e-7,1.4022510686e-4
0.170000000000000,6.1859467451e-7,1.4190325422e-4
0.172000000000000,6.2226839309e-7,1.4358168459e-4
0.174000000000000,6.2594135832e-7,1.4526039805e-4
0.176000000000000,6.2961364166e-7,1.4693939467e-4
0.178000000000000,6.3328531456e-7,1.4861867451e-4
0.180000000000000,6.3695644851e-7,1.5029823766e-4
0.182000000000000,6.4062711504e-7,1.5197808418e-4
0.184000000000000,6.4429738566e-7,1.5365821415e-4
0.186000000000000,6.4796733196e-7,1.5533862764e-4
0.188000000000000,6.5163702550e-7,1.5701932472e-4
0.190000000000000,6.5530653791e-7,1.5870030546e-4
0.192000000000000,6.5897594082e-7,1.6038156994e-4
0.194000000000000,6.6264530588e-7,1.6206311823e-4
0.196000000000000,6.6631470478e-7,1.6374495040e-4
0.198000000000000,6.6998420924e-7,1.6542706653e-4
0.200000000000000,6.7365389098e-7,1.6710946669e-4
0.202000000000000,6.7732382176e-7,1.6879215094e-4
