 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: Cap_305MHz_with_boundary_and_coupcaps
 Data is De-embedded 
 Data File Written: 04/20/2020 22:48:30
Project Date: 04/20/2020 15:45:28
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S13],IM[S13],RE[S14],IM[S14],RE[S21],IM[S21],RE[S22],IM[S22],RE[S23],IM[S23],RE[S24],IM[S24],RE[S31],IM[S31],RE[S32],IM[S32],RE[S33],IM[S33],RE[S34],IM[S34],RE[S41],IM[S41],RE[S42],IM[S42],RE[S43],IM[S43],RE[S44],IM[S44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
100.0000000000000,0.4609443681136,-0.516951996874,0.5379996478157,0.4803810360764,0.0021290635288,0.0059747224439,0.0020771462138,0.0060292802269,0.5379996478157,0.4803810360764,0.4616676488014,-0.516366232702,-1.849682989e-3,0.0024969285190,-1.802571098e-3,0.0024425423216,0.0021290635283,0.0059747224419,-1.849682994e-3,0.0024969285178,-1.477815689e-4,-5.171546742e-3,0.9996828957709,-0.023610180172,0.0020771462134,0.0060292802250,-1.802571102e-3,0.0024425423204,0.9996828957702,-0.023610180172,-1.464174815e-4,-5.171988399e-3
105.0000000000000,0.4374648416606,-0.514152457415,0.5622487248263,0.4752925035023,0.0022189310891,0.0061656279218,0.0021664024804,0.0062248635940,0.5622487248263,0.4752925035023,0.4382803022845,-0.513533771392,-1.904098710e-3,0.0027372630710,-1.856524218e-3,0.0026786642900,0.0022189310891,0.0061656279218,-1.904098710e-3,0.0027372630710,-1.623083576e-4,-5.426044897e-3,0.9996509213288,-0.024793404950,0.0021664024804,0.0062248635940,-1.856524218e-3,0.0026786642900,0.9996509213288,-0.024793404950,-1.608520735e-4,-5.426538631e-3
110.0000000000000,0.4152334497967,-0.510636761378,0.5849812822299,0.4695074644836,0.0023066997782,0.0063547583494,0.0022533587765,0.0064187743780,0.5849812822299,0.4695074644836,0.4161335208179,-0.510000347358,-1.955135929e-3,0.0029782521106,-1.906974268e-3,0.0029152409566,0.0023066997782,0.0063547583494,-1.955135929e-3,0.0029782521106,-1.775276157e-4,-5.680547854e-3,0.9996173904867,-0.025976563504,0.0022533587765,0.0064187743780,-1.906974268e-3,0.0029152409566,0.9996173904867,-0.025976563504,-1.759724934e-4,-5.681094015e-3
115.0000000000000,0.3941852531906,-0.506520689387,0.6063188671751,0.4631644814039,0.0023924029641,0.0065422966923,0.0023380847093,0.0066112015123,0.6063188671751,0.4631644814039,0.3951617452575,-0.505878874629,-2.002920365e-3,0.0032197609623,-1.954079178e-3,0.0031521486552,0.0023924029641,0.0065422966923,-2.002920365e-3,0.0032197609623,-1.934396132e-4,-5.935054071e-3,0.9995823034391,-0.027159654288,0.0023380847093,0.0066112015123,-1.954079178e-3,0.0031521486552,0.9995823034391,-0.027159654288,-1.917790019e-4,-5.935652983e-3
120.0000000000000,0.3742559931753,-0.501903116834,0.6263728187383,0.4563746125626,0.0024760842175,0.0067284166856,0.0024206561276,0.0068023214720,0.6263728187383,0.4563746125626,0.3753005213854,-0.501265719512,-2.047573958e-3,0.0034616745928,-1.997988903e-3,0.0033892840349,0.0024760842175,0.0067284166856,-2.047573958e-3,0.0034616745928,-2.100444790e-4,-6.189561916e-3,0.9995456603817,-0.028342675765,0.0024206561276,0.0068023214720,-1.997988903e-3,0.0033892840349,0.9995456603817,-0.028342675765,-2.082718522e-4,-6.190213979e-3
125.0000000000000,0.3553831914794,-0.496868553067,0.6452441711859,0.4492273823885,0.0025577957740,0.0069132822431,0.0025011538505,0.0069922983635,0.6452441711859,0.4492273823885,0.3564874829798,-0.496243229188,-2.089213811e-3,0.0037038949963,-2.038844814e-3,0.0036265611198,0.0025577957740,0.0069132822431,-2.089213811e-3,0.0037038949963,-2.273423408e-4,-6.444069760e-3,0.9995074615053,-0.029525626396,0.0025011538505,0.0069922983635,-2.038844814e-3,0.0036265611198,0.9995074615053,-0.029525626396,-2.254512919e-4,-6.444775449e-3
130.0000000000000,0.3375068398809,-0.491489324397,0.6630241157540,0.4417954314001,0.0026375970914,0.0070970471407,0.0025796625059,0.0071812841775,0.6630241157540,0.4417954314001,0.3386629492818,-0.490881891880,-2.127951509e-3,0.0039463388540,-2.076779417e-3,0.0038639087111,0.0026375970914,0.0070970471407,-2.127951509e-3,0.0039463388540,-2.453333247e-4,-6.698575977e-3,0.9994677069959,-0.030708504638,0.0025796625059,0.0071812841775,-2.076779417e-3,0.0038639087111,0.9994677069959,-0.030708504638,-2.433175635e-4,-6.699335841e-3
135.0000000000000,0.3205697973042,-0.485827433518,0.6797947455088,0.4341381204252,0.0027155535226,0.0072798549186,0.0026562694874,0.0073694191638,0.6797947455088,0.4341381204252,0.3217702504357,-0.485242166937,-2.163892725e-3,0.0041889354569,-2.111916335e-3,0.0041012681103,0.0027155535226,0.0072798549186,-2.163892725e-3,0.0041889354569,-2.640175558e-4,-6.953078944e-3,0.9994263970350,-0.031891308946,0.0026562694874,0.0073694191638,-2.111916335e-3,0.0041012681103,0.9994263970350,-0.031891308946,-2.618709047e-4,-6.953893599e-3
