R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
72.50000000000000,22.205656183290,-5265.353192576,22.205824199895,-5265.463358766,22.205824199895,-5265.463358766,22.205657056602,-5265.364285424
75.00000000000000,21.067798652646,-5090.053826376,21.067963881446,-5090.167615809,21.067963881446,-5090.167615809,21.067800419706,-5090.065323741
77.50000000000000,20.027169300089,-4926.049603448,20.027331770059,-4926.167016778,20.027331770059,-4926.167016778,20.027171957810,-4926.061505251
80.00000000000000,19.072503195177,-4772.282909047,19.072662935313,-4772.403946926,19.072662935313,-4772.403946926,19.072506740712,-4772.295215210
82.50000000000000,18.194152904570,-4627.824170462,18.194309943870,-4627.948833537,18.194309943870,-4627.948833537,18.194157335274,-4627.836880905
85.00000000000000,17.383814731780,-4491.853049279,17.383969099228,-4491.981338196,17.383969099228,-4491.981338196,17.383820045179,-4491.866163924
87.50000000000000,16.634307851146,-4363.642854172,16.634459575697,-4363.774769573,16.634459575697,-4363.774769573,16.634314044908,-4363.656372940
90.00000000000000,15.939394925799,-4242.547548686,15.939544036367,-4242.683091210,15.939544036367,-4242.683091210,15.939401997710,-4242.561471499
92.50000000000000,15.293635503893,-4127.990863602,15.293782029338,-4128.130033884,15.293782029338,-4128.130033884,15.293643451836,-4128.005190380
95.00000000000000,14.692265493340,-4019.457126602,14.692409462464,-4019.599925276,14.692409462464,-4019.599925276,14.692274315280,-4019.471857269
97.50000000000000,14.131097523317,-3916.483501328,14.131238964851,-3916.629929023,14.131238964851,-3916.629929023,14.131107217285,-3916.498635804
100.0000000000000,13.606438138324,-3818.653389413,13.606577080923,-3818.803446756,13.606577080923,-3818.803446756,13.606448702402,-3818.668927620
102.5000000000000,13.115018637901,-3725.590797144,13.115155110138,-3725.744484760,13.115155110138,-3725.744484760,13.115030070211,-3725.606739005
105.0000000000000,12.653937037659,-3636.955506126,12.654071068018,-3637.112824636,12.654071068018,-3637.112824636,12.653949336353,-3636.971851564
107.5000000000000,12.220609146531,-3552.438917183,12.220740763404,-3552.599867205,12.220740763404,-3552.599867205,12.220622309785,-3552.455666120
110.0000000000000,11.812727149783,-3471.760460490,11.812856381464,-3471.925042639,11.812856381464,-3471.925042639,11.812741175785,-3471.777612848
112.5000000000000,11.428224405820,-3394.664483936,11.428351280502,-3394.832698824,11.428351280502,-3394.832698824,11.428239292763,-3394.682039639
115.0000000000000,11.065245406217,-3320.917547000,11.065369951989,-3321.089395236,11.065369951989,-3321.089395236,11.065261152298,-3320.935505972
117.5000000000000,10.722120048582,-3250.306059799,10.722242293425,-3250.481541990,10.722242293425,-3250.481541990,10.722136651992,-3250.324421963
120.0000000000000,10.397341523605,-3182.634217015,10.397461495390,-3182.813333765,10.397461495390,-3182.813333765,10.397358982526,-3182.652982296
122.5000000000000,10.089547245936,-3117.722184605,10.089664972419,-3117.904936513,10.089664972419,-3117.904936513,10.089565558536,-3117.741352927
125.0000000000000,9.7975023555550,-3055.404503927,9.7976178643796,-3055.590891592,9.7976178643796,-3055.590891592,9.7975215199863,-3055.424075215
127.5000000000000,9.5200853990062,-2995.528683485,9.5201987176972,-2995.718707500,9.5201987176972,-2995.718707500,9.5201054134006,-2995.548657663
130.0000000000000,9.2562758661271,-2937.953953025,9.2563870220903,-2938.147613983,9.2563870220903,-2938.147613983,9.2562967285932,-2937.974330020
132.5000000000000,9.0051433110222,-2882.550158585,9.0052523315428,-2882.747457076,9.0052523315428,-2882.747457076,9.0051650196432,-2882.570938322
135.0000000000000,8.7658378283563,-2829.196780221,8.7659447405970,-2829.397716829,8.7659447405970,-2829.397716829,8.7658603811878,-2829.217962626
137.5000000000000,8.5375816963210,-2777.782056811,8.5376865273208,-2777.986632119,8.5376865273208,-2777.986632119,8.5376050913889,-2777.803641810
140.0000000000000,8.3196620231916,-2728.202204571,8.3197647998645,-2728.410419159,8.3197647998645,-2728.410419159,8.3196862584906,-2728.224192092
142.5000000000000,8.1114242620496,-2680.360717770,8.1115250111835,-2680.572572216,8.1115250111835,-2680.572572216,8.1114493355416,-2680.383107739
145.0000000000000,7.9122664775128,-2634.167741738,7.9123652257681,-2634.383236616,7.9123652257681,-2634.383236616,7.9122923871254,-2634.190534083
147.5000000000000,7.7216342652367,-2589.539509593,7.7217310391455,-2589.758645474,7.7217310391455,-2589.758645474,7.7216610088624,-2589.562704241
150.0000000000000,7.5390162410995,-2546.397835255,7.5391110670650,-2546.620612708,7.5391110670650,-2546.620612708,7.5390438165947,-2546.421432135
152.5000000000000,7.3639400270592,-2504.669656304,7.3640329313542,-2504.896075893,7.3640329313542,-2504.896075893,7.3639684322430,-2504.693655344
155.0000000000000,7.1959686717394,-2464.286621037,7.1960596805061,-2464.516683327,7.1960596805061,-2464.516683327,7.1959979043933,-2464.311022167
157.5000000000000,7.0346974525290,-2425.184714842,7.0347865917780,-2425.418420390,7.0347865917780,-2425.418420390,7.0347275103960,-2425.209517990
160.0000000000000,6.8797510132877,-2387.303921563,6.8798383088974,-2387.541270927,6.8798383088974,-2387.541270927,6.8797818940721,-2387.329126659
162.5000000000000,6.7307807972807,-2350.587916119,6.7308662749967,-2350.828909854,6.7308662749967,-2350.828909854,6.7308124986476,-2350.613523094
165.0000000000000,6.5874627412456,-2314.983785042,6.5875464266799,-2315.228423697,6.5875464266799,-2315.228423697,6.5874952608202,-2315.009793825
167.5000000000000,6.4494951999647,-2280.441772025,6.4495771185957,-2280.690056149,6.4495771185957,-2280.690056149,6.4495285353327,-2280.468182547
170.0000000000000,6.3165970759675,-2246.915045916,6.3166772531388,-2247.166976055,6.3166772531388,-2247.166976055,6.3166312246745,-2246.941858109
172.5000000000000,6.1885061302260,-2214.359488870,6.1885845911467,-2214.615065565,6.1885845911466,-2214.615065565,6.1885410897776,-2214.386702665
