 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_8outof16_2uminductor
 Data is NOT De-embedded 
 Data File Written: 09/27/2020 15:13:50
Project Date: 09/22/2020 10:48:15
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
690.0000000000000,-4.668719107e-3,-0.041617217926,0.9891425815726,-0.140862828934,0.9891425815725,-0.140862828934,-7.135424226e-3,-0.041265930163
690.0200000000000,-4.677781565e-3,-0.041667978108,0.9891327721911,-0.140916331442,0.9891327721911,-0.140916331442,-7.145404544e-3,-0.041316422453
690.0400000000000,-4.687015923e-3,-0.041719673985,0.9891227835506,-0.140970767346,0.9891227835506,-0.140970767346,-7.155571472e-3,-0.041367845920
690.0599999999999,-4.696427259e-3,-0.041772332253,0.9891126103703,-0.141026163293,0.9891126103703,-0.141026163293,-7.165930462e-3,-0.041420227051
690.0799999999999,-4.706020829e-3,-0.041825980598,0.9891022471776,-0.141082546901,0.9891022471776,-0.141082546901,-7.176487202e-3,-0.041473593396
690.1000000000000,-4.715802098e-3,-0.041880647783,0.9890916882811,-0.141139946861,0.9890916882811,-0.141139946861,-7.187247609e-3,-0.041527973572
690.1200000000000,-4.725776753e-3,-0.041936363691,0.9890809277601,-0.141198392983,0.9890809277601,-0.141198392983,-7.198217836e-3,-0.041583397312
690.1400000000000,-4.735950712e-3,-0.041993159389,0.9890699594529,-0.141257916257,0.9890699594529,-0.141257916257,-7.209404290e-3,-0.041639895529
690.1600000000000,-4.746330136e-3,-0.042051067181,0.9890587769445,-0.141318548906,0.9890587769445,-0.141318548906,-7.220813636e-3,-0.041697500363
690.1799999999999,-4.756921444e-3,-0.042110120674,0.9890473735529,-0.141380324454,0.9890473735529,-0.141380324454,-7.232452819e-3,-0.041756245253
690.1999999999999,-4.767731325e-3,-0.042170354841,0.9890357423160,-0.141443277789,0.9890357423160,-0.141443277789,-7.244329075e-3,-0.041816164996
690.2199999999999,-4.778766749e-3,-0.042231806096,0.9890238759759,-0.141507445231,0.9890238759759,-0.141507445231,-7.256449947e-3,-0.041877295823
690.2400000000000,-4.790034990e-3,-0.042294512362,0.9890117669637,-0.141572864612,0.9890117669637,-0.141572864612,-7.268823299e-3,-0.041939675466
690.2600000000000,-4.801543633e-3,-0.042358513158,0.9889994073821,-0.141639575350,0.9889994073821,-0.141639575350,-7.281457338e-3,-0.042003343245
690.2800000000000,-4.813300600e-3,-0.042423849676,0.9889867889879,-0.141707618536,0.9889867889879,-0.141707618536,-7.294360628e-3,-0.042068340144
690.3000000000000,-4.825314162e-3,-0.042490564877,0.9889739031727,-0.141777037024,0.9889739031727,-0.141777037024,-7.307542114e-3,-0.042134708907
690.3199999999999,-4.837592962e-3,-0.042558703584,0.9889607409424,-0.141847875524,0.9889607409424,-0.141847875524,-7.321011140e-3,-0.042202494131
690.3399999999999,-4.850146035e-3,-0.042628312583,0.9889472928954,-0.141920180706,0.9889472928954,-0.141920180706,-7.334777473e-3,-0.042271742365
690.3600000000000,-4.862982829e-3,-0.042699440734,0.9889335491992,-0.141994001307,0.9889335491992,-0.141994001307,-7.348851327e-3,-0.042342502222
690.3800000000000,-4.876113234e-3,-0.042772139084,0.9889194995658,-0.142069388247,0.9889194995658,-0.142069388247,-7.363243388e-3,-0.042414824490
690.4000000000000,-4.889547601e-3,-0.042846460996,0.9889051332247,-0.142146394755,0.9889051332247,-0.142146394755,-7.377964845e-3,-0.042488762262
690.4200000000000,-4.903296774e-3,-0.042922462277,0.9888904388943,-0.142225076498,0.9888904388943,-0.142225076498,-7.393027415e-3,-0.042564371061
690.4399999999999,-4.917372118e-3,-0.043000201320,0.9888754047516,-0.142305491723,0.9888754047516,-0.142305491723,-7.408443377e-3,-0.042641708984
690.4599999999999,-4.931785553e-3,-0.043079739260,0.9888600183989,-0.142387701410,0.9888600183989,-0.142387701410,-7.424225606e-3,-0.042720836854
