 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: Cap_325MHz_with_boundary_and_coupcaps
 Data is De-embedded 
 Data File Written: 04/21/2020 14:19:12
Project Date: 04/20/2020 15:50:47
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
100.0000000000000,4.3307361042e-9,0.0097316715921,-4.125435592e-9,-9.379133187e-3,-1.46898223e-11,-3.372238864e-5,-5.72186626e-11,-1.284177731e-4,-4.125436042e-9,-9.379133187e-3,4.3256562937e-9,0.0097267726863,-2.29712046e-11,-4.852949876e-5,1.661598123e-11,4.1313984554e-5,-1.46897509e-11,-3.372238864e-5,-2.29878378e-11,-4.852949863e-5,6.580775807e-10,-1.084456804854,-5.14809105e-10,1.0847438858307,-5.72187166e-11,-1.284177731e-4,1.653567292e-11,4.1313984480e-5,-5.14190519e-10,1.0847438858315,6.581788342e-10,-1.084454867376
105.0000000000000,9.0378942015e-5,0.0102024917161,-8.025971455e-5,-9.763599981e-3,9.9962191150e-7,-3.544790496e-5,-5.297583962e-7,-1.337180030e-4,-8.025971455e-5,-9.763599981e-3,9.0566426665e-5,0.0101967815342,-5.078118871e-7,-5.115733315e-5,1.0561829639e-6,4.2471794437e-5,9.9962191150e-7,-3.544790496e-5,-5.078118871e-7,-5.115733315e-5,-5.260950423e-6,-1.032436206392,5.2473160191e-6,1.0327376355502,-5.297583962e-7,-1.337180030e-4,1.0561829639e-6,4.2471794437e-5,5.2473160191e-6,1.0327376355502,-5.232626461e-6,-1.032434176508
110.0000000000000,1.7110051169e-4,0.0106710234013,-1.504426162e-4,-0.010162059433,1.8871407866e-6,-3.715490201e-5,-9.866487766e-7,-1.391131271e-4,-1.504426162e-4,-0.010162059433,1.7133829773e-4,0.0106645664280,-9.579890535e-7,-5.378178860e-5,1.9856351162e-6,4.3674731808e-5,1.8871407866e-6,-3.715490201e-5,-9.579890535e-7,-5.378178860e-5,-9.194058956e-6,-0.985178019635,9.1684902965e-6,0.9854937985755,-9.866487766e-7,-1.391131271e-4,1.9856351162e-6,4.3674731808e-5,9.1684902965e-6,0.9854937985755,-9.141438533e-6,-0.985175898580
115.0000000000000,2.4282191612e-4,0.0111385926769,-2.117167813e-4,-0.010572754647,2.6734218943e-6,-3.884664223e-5,-1.380246763e-6,-1.446019947e-4,-2.117167813e-4,-0.010572754647,2.4299827990e-4,0.0111314664242,-1.357507348e-6,-5.640298702e-5,2.8017726884e-6,4.4928417188e-5,2.6734218943e-6,-3.884664223e-5,-1.357507348e-6,-5.640298702e-5,-1.209392168e-5,-0.942056751664,1.2057986217e-5,0.9423868818751,-1.380246763e-6,-1.446019947e-4,2.8017726884e-6,4.4928417188e-5,1.2057986217e-5,0.9423868818751,-1.202048646e-5,-0.942054540311
120.0000000000000,3.0613158502e-4,0.0116063895636,-2.650637940e-4,-0.010994360749,3.3679794918e-6,-4.052571255e-5,-1.718263257e-6,-1.501838876e-4,-2.650637940e-4,-0.010994360749,3.0615967328e-4,0.0115986786443,-1.712132569e-6,-5.902077577e-5,3.5158005881e-6,4.6238140734e-5,3.3679794918e-6,-4.052571255e-5,-1.712132569e-6,-5.902077577e-5,-1.418621071e-5,-0.902551851551,1.4141259284e-5,0.9028963344411,-1.718263257e-6,-1.501838876e-4,3.5158005881e-6,4.6238140734e-5,1.4141259284e-5,0.9028963344411,-1.409501081e-5,-0.902549550478
125.0000000000000,3.6157655207e-4,0.0120754872154,-3.113126932e-4,-0.011425891696,3.9791831381e-6,-4.219416740e-5,-2.007006131e-6,-1.558585432e-4,-3.113126932e-4,-0.011425891696,3.6139271126e-4,0.0120672783847,-2.026694900e-6,-6.163488657e-5,4.1372123368e-6,4.7608936542e-5,3.9791831381e-6,-4.219416740e-5,-2.026694900e-6,-6.163488657e-5,-1.564523656e-5,-0.866226587740,1.5592439880e-5,0.8665854246543,-2.007006131e-6,-1.558585432e-4,4.1372123368e-6,4.7608936542e-5,1.5592439880e-5,0.8665854246543,-1.553895906e-5,-0.866224197272
130.0000000000000,4.0967527723e-4,0.0125468564100,-3.511675195e-4,-0.011866628544,4.5144347027e-6,-4.385363881e-5,-2.251698057e-6,-1.616261380e-4,-3.511675195e-4,-0.011866628544,4.0923670545e-4,0.0125382346256,-2.305280775e-6,-6.424502881e-5,4.6741593192e-6,4.9045631803e-5,4.5144347027e-6,-4.385363881e-5,-2.305280775e-6,-6.424502881e-5,-1.660668151e-5,-0.832711830105,1.6547059772e-5,0.8330850223405,-2.251698057e-6,-1.616261380e-4,4.6741593192e-6,4.9045631803e-5,1.6547059772e-5,0.8330850223405,-1.648770570e-5,-0.832709350345
135.0000000000000,4.5092430870e-4,0.0130213772096,-3.852312739e-4,-0.012316063575,4.9803115731e-6,-4.550542113e-5,-2.456724608e-6,-1.674872508e-4,-3.852312739e-4,-0.012316063575,4.5020635389e-4,0.0130124226612,-2.551379670e-6,-6.685094136e-5,5.1337344287e-6,5.0552878856e-5,4.9803115731e-6,-4.550542113e-5,-2.551379670e-6,-6.685094136e-5,-1.717688478e-5,-0.801693457270,1.7111331916e-5,0.8020810060899,-2.456724608e-6,-1.674872508e-4,5.1337344287e-6,5.0552878856e-5,1.7111331916e-5,0.8020810060899,-1.704732686e-5,-0.801690888132
