VER : 2,,././simple_cap_withGP_698um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
Drive:,Port 1,V,1,P,0,Port 2,V,-1,P,0,
theLevel:,0,0
Export Positions in:,UM,1e-06
Export Steps:,1,UM, by,1,UM,Area,1,MKS Area,1e-12,m^2
JXY Magnitude,Complex Form,Amps/Meter
X Directed
Y Position
X Position ->,698.000000
1359.87607, 0.00000000 +0.00000000j
1358.87607, 0.00000000 +0.00000000j
1357.87607, 0.00000000 +0.00000000j
1356.87607, 0.00000000 +0.00000000j
1355.87607, 0.00000000 +0.00000000j
1354.87607, 0.00000000 +0.00000000j
1353.87607, 0.00000000 +0.00000000j
1352.87607, 0.00000000 +0.00000000j
1351.87607, 0.00000000 +0.00000000j
1350.87607, 0.00000000 +0.00000000j
1349.87607, 0.00000000 +0.00000000j
1348.87607, 0.00000000 +0.00000000j
1347.87607, 0.00000000 +0.00000000j
1346.87607, 0.00000000 +0.00000000j
1345.87607, 0.00000000 +0.00000000j
1344.87607, 0.00000000 +0.00000000j
1343.87607, 0.00000000 +0.00000000j
1342.87607, 0.00000000 +0.00000000j
1341.87607, 0.00000000 +0.00000000j
1340.87607, 0.00000000 +0.00000000j
1339.87607, 0.00000000 +0.00000000j
1338.87607, 0.00000000 +0.00000000j
1337.87607, 0.00000000 +0.00000000j
1336.87607, 0.00000000 +0.00000000j
1335.87607, 0.00000000 +0.00000000j
1334.87607, 0.00000000 +0.00000000j
1333.87607, 0.00000000 +0.00000000j
1332.87607, 0.00000000 +0.00000000j
1331.87607, 0.00000000 +0.00000000j
1330.87607, 0.00000000 +0.00000000j
1329.87607, 0.00000000 +0.00000000j
1328.87607, 0.00000000 +0.00000000j
1327.87607, 0.00000000 +0.00000000j
1326.87607, 0.00000000 +0.00000000j
1325.87607, 0.00000000 +0.00000000j
1324.87607, 0.00000000 +0.00000000j
1323.87607, 0.00000000 +0.00000000j
1322.87607, 0.00000000 +0.00000000j
1321.87607, 0.00000000 +0.00000000j
1320.87607, 0.00000000 +0.00000000j
