VER : 2,,././simple_cap_withGP_698um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
1319.87607, 0.00000000 +0.00000000j
1318.87607, 0.00000000 +0.00000000j
1317.87607, 0.00000000 +0.00000000j
1316.87607, 0.00000000 +0.00000000j
1315.87607, 0.00000000 +0.00000000j
1314.87607, 0.00000000 +0.00000000j
1313.87607, 0.00000000 +0.00000000j
1312.87607, 0.00000000 +0.00000000j
1311.87607, 0.00000000 +0.00000000j
1310.87607, 0.00000000 +0.00000000j
1309.87607, 0.00000000 +0.00000000j
1308.87607, 0.00000000 +0.00000000j
1307.87607, 0.00000000 +0.00000000j
1306.87607, 0.00000000 +0.00000000j
1305.87607, 0.00000000 +0.00000000j
1304.87607, 0.00000000 +0.00000000j
1303.87607, 0.00000000 +0.00000000j
1302.87607, 0.00000000 +0.00000000j
1301.87607, 0.00000000 +0.00000000j
1300.87607, 0.00000000 +0.00000000j
1299.87607, 0.00000000 +0.00000000j
1298.87607, 0.00000000 +0.00000000j
1297.87607, 0.00000000 +0.00000000j
1296.87607, 0.00000000 +0.00000000j
1295.87607, 0.00000000 +0.00000000j
1294.87607, 0.00000000 +0.00000000j
1293.87607, 0.00000000 +0.00000000j
1292.87607, 0.00000000 +0.00000000j
1291.87607, 0.00000000 +0.00000000j
1290.87607, 0.00000000 +0.00000000j
1289.87607, 0.00000000 +0.00000000j
1288.87607, 0.00000000 +0.00000000j
1287.87607, 0.00000000 +0.00000000j
1286.87607, 0.00000000 +0.00000000j
1285.87607, 0.00000000 +0.00000000j
1284.87607, 0.00000000 +0.00000000j
1283.87607, 0.00000000 +0.00000000j
1282.87607, 0.00000000 +0.00000000j
1281.87607, 0.00000000 +0.00000000j
1280.87607, 0.00000000 +0.00000000j
1279.87607, 0.00000000 +0.00000000j
1278.87607, 0.00000000 +0.00000000j
1277.87607, 0.00000000 +0.00000000j
1276.87607, 0.00000000 +0.00000000j
1275.87607, 0.00000000 +0.00000000j
1274.87607, 0.00000000 +0.00000000j
1273.87607, 0.00000000 +0.00000000j
1272.87607, 0.00000000 +0.00000000j
1271.87607, 0.00000000 +0.00000000j
1270.87607, 0.00000000 +0.00000000j
1269.87607, 0.00000000 +0.00000000j
1268.87607, 0.00000000 +0.00000000j
1267.87607, 0.00000000 +0.00000000j
1266.87607, 0.00000000 +0.00000000j
1265.87607, 0.00000000 +0.00000000j
1264.87607, 0.00000000 +0.00000000j
1263.87607, 0.00000000 +0.00000000j
1262.87607, 0.00000000 +0.00000000j
1261.87607, 0.00000000 +0.00000000j
1260.87607, 0.00000000 +0.00000000j
1259.87607, 0.00000000 +0.00000000j
1258.87607, 0.00000000 +0.00000000j
1257.87607, 0.00000000 +0.00000000j
1256.87607, 0.00000000 +0.00000000j
1255.87607, 0.00000000 +0.00000000j
1254.87607, 0.00000000 +0.00000000j
1253.87607, 0.00000000 +0.00000000j
1252.87607, 0.00000000 +0.00000000j
1251.87607, 0.00000000 +0.00000000j
1250.87607, 0.00000000 +0.00000000j
1249.87607, 0.00000000 +0.00000000j
1248.87607, 0.00000000 +0.00000000j
1247.87607, 0.00000000 +0.00000000j
1246.87607, 0.00000000 +0.00000000j
1245.87607, 0.00000000 +0.00000000j
1244.87607, 0.00000000 +0.00000000j
1243.87607, 0.00000000 +0.00000000j
1242.87607, 0.00000000 +0.00000000j
1241.87607, 0.00000000 +0.00000000j
1240.87607, 0.00000000 +0.00000000j
1239.87607, 0.00000000 +0.00000000j
1238.87607, 0.00000000 +0.00000000j
1237.87607, 0.00000000 +0.00000000j
1236.87607, 0.00000000 +0.00000000j
1235.87607, 0.00000000 +0.00000000j
1234.87607, 0.00000000 +0.00000000j
1233.87607, 0.00000000 +0.00000000j
1232.87607, 0.00000000 +0.00000000j
1231.87607, 0.00000000 +0.00000000j
1230.87607, 0.00000000 +0.00000000j
1229.87607, 0.00000000 +0.00000000j
1228.87607, 0.00000000 +0.00000000j
1227.87607, 0.00000000 +0.00000000j
1226.87607, 0.00000000 +0.00000000j
1225.87607, 0.00000000 +0.00000000j
1224.87607, 0.00000000 +0.00000000j
1223.87607, 0.00000000 +0.00000000j
1222.87607, 0.00000000 +0.00000000j
1221.87607, 0.00000000 +0.00000000j
1220.87607, 0.00000000 +0.00000000j
1219.87607, 0.00000000 +0.00000000j
1218.87607, 0.00000000 +0.00000000j
1217.87607, 0.00000000 +0.00000000j
1216.87607, 0.00000000 +0.00000000j
1215.87607, 0.00000000 +0.00000000j
1214.87607, 0.00000000 +0.00000000j
1213.87607, 0.00000000 +0.00000000j
1212.87607, 0.00000000 +0.00000000j
1211.87607, 0.00000000 +0.00000000j
1210.87607, 0.00000000 +0.00000000j
1209.87607, 0.00000000 +0.00000000j
1208.87607, 0.00000000 +0.00000000j
1207.87607, 0.00000000 +0.00000000j
1206.87607, 0.00000000 +0.00000000j
1205.87607, 0.00000000 +0.00000000j
1204.87607, 0.00000000 +0.00000000j
1203.87607, 0.00000000 +0.00000000j
1202.87607, 0.00000000 +0.00000000j
1201.87607, 0.00000000 +0.00000000j
1200.87607, 0.00000000 +0.00000000j
1199.87607, 0.06643470 +0.08820454j
1198.87607, 0.06643470 +0.08820454j
1197.87607, 0.06643470 +0.08820454j
1196.87607, 0.06643470 +0.08820454j
1195.87607, 0.06643470 +0.08820454j
1194.87607, 0.06643470 +0.08820454j
1193.87607, 0.06643470 +0.08820454j
1192.87607, 0.06643470 +0.08820454j
1191.87607, 0.06643470 +0.08820454j
1190.87607, 0.06643470 +0.08820454j
1189.87607, 0.06643470 +0.08820454j
1188.87607, 0.06643470 +0.08820454j
1187.87607, 0.06643470 +0.08820454j
1186.87607, 0.06643470 +0.08820454j
1185.87607, 0.06643470 +0.08820454j
1184.87607, 0.06643470 +0.08820454j
1183.87607, 0.06643470 +0.08820454j
1182.87607, 0.06643470 +0.08820454j
1181.87607, 0.06643470 +0.08820454j
1180.87607, 0.06643470 +0.08820454j
1179.87607, 0.06643470 +0.08820454j
1178.87607, 0.06643470 +0.08820454j
1177.87607, 0.06643470 +0.08820454j
1176.87607, 0.06643470 +0.08820454j
1175.87607, 0.06643470 +0.08820454j
1174.87607, 0.06643470 +0.08820454j
1173.87607, 0.06643470 +0.08820454j
1172.87607, 0.06643470 +0.08820454j
1171.87607, 0.06643470 +0.08820454j
1170.87607, 0.06643470 +0.08820454j
1169.87607, 0.06643470 +0.08820454j
1168.87607, 0.06643470 +0.08820454j
1167.87607, 0.06643470 +0.08820454j
1166.87607, 0.06643470 +0.08820454j
1165.87607, 0.06643470 +0.08820454j
1164.87607, 0.06643470 +0.08820454j
1163.87607, 0.06643470 +0.08820454j
1162.87607, 0.06643470 +0.08820454j
1161.87607, 0.06643470 +0.08820454j
1160.87607, 0.06643470 +0.08820454j
1159.87607, 0.06643470 +0.08820454j
1158.87607, 0.06643470 +0.08820454j
1157.87607, 0.06643470 +0.08820454j
1156.87607, 0.06643470 +0.08820454j
1155.87607, 0.06643470 +0.08820454j
1154.87607, 0.06643470 +0.08820454j
1153.87607, 0.06643470 +0.08820454j
1152.87607, 0.06643470 +0.08820454j
1151.87607, 0.06643470 +0.08820454j
1150.87607, 0.06643470 +0.08820454j
1149.87607, 0.06643470 +0.08820454j
1148.87607, 0.06643470 +0.08820454j
1147.87607, 0.06643470 +0.08820454j
1146.87607, 0.06643470 +0.08820454j
1145.87607, 0.06643470 +0.08820454j
1144.87607, 0.06643470 +0.08820454j
1143.87607, 0.06643470 +0.08820454j
1142.87607, 0.06643470 +0.08820454j
1141.87607, 0.06643470 +0.08820454j
1140.87607, 0.06643470 +0.08820454j
1139.87607, 0.06643470 +0.08820454j
1138.87607, 0.06643470 +0.08820454j
1137.87607, 0.06643470 +0.08820454j
1136.87607, 0.06643470 +0.08820454j
1135.87607, 0.06643470 +0.08820454j
1134.87607, 0.06643470 +0.08820454j
1133.87607, 0.06643470 +0.08820454j
1132.87607, 0.06643470 +0.08820454j
1131.87607, 0.06643470 +0.08820454j
1130.87607, 0.06643470 +0.08820454j
1129.87607, 0.06643470 +0.08820454j
1128.87607, 0.06643470 +0.08820454j
1127.87607, 0.06643470 +0.08820454j
1126.87607, 0.06643470 +0.08820454j
1125.87607, 0.06643470 +0.08820454j
1124.87607, 0.06643470 +0.08820454j
1123.87607, 0.06643470 +0.08820454j
1122.87607, 0.06643470 +0.08820454j
1121.87607, 0.06643470 +0.08820454j
1120.87607, 0.06643470 +0.08820454j
1119.87607, 0.06643470 +0.08820454j
1118.87607, 0.06643470 +0.08820454j
1117.87607, 0.06643470 +0.08820454j
1116.87607, 0.06643470 +0.08820454j
1115.87607, 0.06643470 +0.08820454j
1114.87607, 0.06643470 +0.08820454j
1113.87607, 0.06643470 +0.08820454j
1112.87607, 0.06643470 +0.08820454j
1111.87607, 0.06643470 +0.08820454j
1110.87607, 0.06643470 +0.08820454j
1109.87607, 0.06643470 +0.08820454j
1108.87607, 0.06643470 +0.08820454j
1107.87607, 0.06643470 +0.08820454j
1106.87607, 0.06643470 +0.08820454j
1105.87607, 0.06643470 +0.08820454j
1104.87607, 0.06643470 +0.08820454j
1103.87607, 0.06643470 +0.08820454j
1102.87607, 0.06643470 +0.08820454j
1101.87607, 0.06643470 +0.08820454j
1100.87607, 0.06643470 +0.08820454j
1099.87607, 0.04071881 +0.05102407j
1098.87607, 0.04071881 +0.05102407j
1097.87607, 0.04071881 +0.05102407j
1096.87607, 0.04071881 +0.05102407j
1095.87607, 0.04071881 +0.05102407j
1094.87607, 0.04071881 +0.05102407j
1093.87607, 0.04071881 +0.05102407j
1092.87607, 0.04071881 +0.05102407j
1091.87607, 0.04071881 +0.05102407j
1090.87607, 0.04071881 +0.05102407j
1089.87607, 0.04071881 +0.05102407j
1088.87607, 0.04071881 +0.05102407j
1087.87607, 0.04071881 +0.05102407j
1086.87607, 0.04071881 +0.05102407j
1085.87607, 0.04071881 +0.05102407j
1084.87607, 0.04071881 +0.05102407j
1083.87607, 0.04071881 +0.05102407j
1082.87607, 0.04071881 +0.05102407j
1081.87607, 0.04071881 +0.05102407j
1080.87607, 0.04071881 +0.05102407j
1079.87607, 0.04071881 +0.05102407j
1078.87607, 0.04071881 +0.05102407j
1077.87607, 0.04071881 +0.05102407j
1076.87607, 0.04071881 +0.05102407j
1075.87607, 0.04071881 +0.05102407j
1074.87607, 0.04071881 +0.05102407j
1073.87607, 0.04071881 +0.05102407j
1072.87607, 0.04071881 +0.05102407j
1071.87607, 0.04071881 +0.05102407j
1070.87607, 0.04071881 +0.05102407j
1069.87607, 0.04071881 +0.05102407j
1068.87607, 0.04071881 +0.05102407j
1067.87607, 0.04071881 +0.05102407j
1066.87607, 0.04071881 +0.05102407j
1065.87607, 0.04071881 +0.05102407j
1064.87607, 0.04071881 +0.05102407j
1063.87607, 0.04071881 +0.05102407j
1062.87607, 0.04071881 +0.05102407j
1061.87607, 0.04071881 +0.05102407j
1060.87607, 0.04071881 +0.05102407j
1059.87607, 0.04071881 +0.05102407j
1058.87607, 0.04071881 +0.05102407j
1057.87607, 0.04071881 +0.05102407j
1056.87607, 0.04071881 +0.05102407j
1055.87607, 0.04071881 +0.05102407j
1054.87607, 0.04071881 +0.05102407j
1053.87607, 0.04071881 +0.05102407j
1052.87607, 0.04071881 +0.05102407j
1051.87607, 0.04071881 +0.05102407j
1050.87607, 0.04071881 +0.05102407j
1049.87607, 0.04071881 +0.05102407j
1048.87607, 0.04071881 +0.05102407j
1047.87607, 0.04071881 +0.05102407j
1046.87607, 0.04071881 +0.05102407j
1045.87607, 0.04071881 +0.05102407j
1044.87607, 0.04071881 +0.05102407j
1043.87607, 0.04071881 +0.05102407j
1042.87607, 0.04071881 +0.05102407j
1041.87607, 0.04071881 +0.05102407j
1040.87607, 0.00291864 +0.00332756j
1039.87607, 0.00291864 +0.00332756j
1038.87607, 0.00291864 +0.00332756j
1037.87607, 0.00291864 +0.00332756j
1036.87607, 0.00291864 +0.00332756j
1035.87607, 0.00291864 +0.00332756j
1034.87607, 0.00291864 +0.00332756j
1033.87607, 0.00291864 +0.00332756j
1032.87607, 0.00291864 +0.00332756j
1031.87607, 0.00291864 +0.00332756j
1030.87607, 0.00291864 +0.00332756j
1029.87607, 0.00291864 +0.00332756j
1028.87607, 0.00291864 +0.00332756j
1027.87607, 0.00291864 +0.00332756j
1026.87607, 0.00291864 +0.00332756j
1025.87607, 0.00291864 +0.00332756j
1024.87607, 0.00291864 +0.00332756j
1023.87607, 0.00291864 +0.00332756j
1022.87607, 0.00291864 +0.00332756j
1021.87607, 0.00291864 +0.00332756j
1020.87607, 0.00291864 +0.00332756j
1019.87607, 0.00291864 +0.00332756j
1018.87607, 0.00291864 +0.00332756j
1017.87607, 0.00291864 +0.00332756j
1016.87607, 0.00291864 +0.00332756j
1015.87607, 0.00291864 +0.00332756j
1014.87607, 0.00291864 +0.00332756j
1013.87607, 0.00291864 +0.00332756j
1012.87607, 0.00291864 +0.00332756j
1011.87607, 0.00291864 +0.00332756j
1010.87607, 0.00291864 +0.00332756j
1009.87607, 0.00291864 +0.00332756j
1008.87607, 0.00291864 +0.00332756j
1007.87607, 0.00291864 +0.00332756j
1006.87607, 0.00291864 +0.00332756j
1005.87607, 0.00291864 +0.00332756j
1004.87607, 0.00291864 +0.00332756j
1003.87607, 0.00291864 +0.00332756j
1002.87607, 0.00291864 +0.00332756j
1001.87607, 0.00291864 +0.00332756j
1000.87607, 0.00291864 +0.00332756j
999.876070, 0.00291864 +0.00332756j
998.876070, 0.00291864 +0.00332756j
997.876070, 0.00291864 +0.00332756j
996.876070, 0.00291864 +0.00332756j
995.876070, 0.00291864 +0.00332756j
994.876070, 0.00291864 +0.00332756j
993.876070, 0.00291864 +0.00332756j
992.876070, 0.00291864 +0.00332756j
991.876070, 0.00291864 +0.00332756j
990.876070, 0.00291864 +0.00332756j
989.876070, 0.00291864 +0.00332756j
988.876070, 0.00291864 +0.00332756j
987.876070, 0.00291864 +0.00332756j
986.876070, 0.00291864 +0.00332756j
985.876070, 0.00291864 +0.00332756j
984.876070, 0.00291864 +0.00332756j
983.876070, 0.00291864 +0.00332756j
982.876070, 0.00291864 +0.00332756j
981.876070, -0.1546652 -0.18973884j
980.876070, -0.1546652 -0.18973884j
979.876070, -0.1546652 -0.18973884j
978.876070, -0.1546652 -0.18973884j
977.876070, -0.1546652 -0.18973884j
976.876070, -0.1546652 -0.18973884j
975.876070, -0.1546652 -0.18973884j
974.876070, -0.1546652 -0.18973884j
973.876070, -0.1546652 -0.18973884j
972.876070, -0.1546652 -0.18973884j
971.876070, -0.1546652 -0.18973884j
970.876070, -0.1546652 -0.18973884j
969.876070, -0.1546652 -0.18973884j
968.876070, -0.1546652 -0.18973884j
967.876070, -0.1546652 -0.18973884j
966.876070, -0.1546652 -0.18973884j
965.876070, -0.1546652 -0.18973884j
964.876070, -0.1546652 -0.18973884j
963.876070, -0.1546652 -0.18973884j
962.876070, -0.1546652 -0.18973884j
961.876070, -0.1546652 -0.18973884j
960.876070, -0.1546652 -0.18973884j
959.876070, -0.1546652 -0.18973884j
958.876070, -0.1546652 -0.18973884j
957.876070, -0.1546652 -0.18973884j
956.876070, -0.1546652 -0.18973884j
955.876070, -0.1546652 -0.18973884j
954.876070, -0.1546652 -0.18973884j
953.876070, -0.1546652 -0.18973884j
952.876070, -0.1546652 -0.18973884j
951.876070, -0.1546652 -0.18973884j
950.876070, -0.1546652 -0.18973884j
949.876070, -0.1546652 -0.18973884j
948.876070, -0.1546652 -0.18973884j
947.876070, -0.1546652 -0.18973884j
946.876070, -0.1546652 -0.18973884j
945.876070, -0.1546652 -0.18973884j
944.876070, -0.1546652 -0.18973884j
943.876070, -0.1546652 -0.18973884j
942.876070, -0.1546652 -0.18973884j
941.876070, -0.1546652 -0.18973884j
940.876070, -0.1546652 -0.18973884j
939.876070, -0.1546652 -0.18973884j
938.876070, -0.1546652 -0.18973884j
937.876070, -0.1546652 -0.18973884j
936.876070, -0.1546652 -0.18973884j
935.876070, -0.1546652 -0.18973884j
934.876070, -0.1546652 -0.18973884j
933.876070, -0.1546652 -0.18973884j
932.876070, -0.1546652 -0.18973884j
931.876070, -0.1546652 -0.18973884j
930.876070, -0.1546652 -0.18973884j
929.876070, -0.1546652 -0.18973884j
928.876070, -0.1546652 -0.18973884j
927.876070, -0.1546652 -0.18973884j
926.876070, -0.1546652 -0.18973884j
925.876070, -0.1546652 -0.18973884j
924.876070, -0.1546652 -0.18973884j
923.876070, -0.1546652 -0.18973884j
922.876070, -0.1546652 -0.18973884j
921.876070, -0.1546652 -0.18973884j
920.876070, -0.1546652 -0.18973884j
919.876070, -0.1546652 -0.18973884j
918.876070, -0.1546652 -0.18973884j
917.876070, -0.1482230 -0.16824468j
916.876070, -0.1482230 -0.16824468j
915.876070, -0.1482230 -0.16824468j
914.876070, -0.1482230 -0.16824468j
913.876070, -0.1482230 -0.16824468j
912.876070, -0.1482230 -0.16824468j
911.876070, -0.1482230 -0.16824468j
910.876070, -0.1482230 -0.16824468j
909.876070, -0.1482230 -0.16824468j
908.876070, -0.1482230 -0.16824468j
907.876070, -0.1482230 -0.16824468j
906.876070, -0.1482230 -0.16824468j
905.876070, -0.1482230 -0.16824468j
904.876070, -0.1482230 -0.16824468j
903.876070, -0.1482230 -0.16824468j
902.876070, -0.1482230 -0.16824468j
901.876070, -0.1482230 -0.16824468j
900.876070, -0.1482230 -0.16824468j
899.876070, -0.1482230 -0.16824468j
898.876070, -0.1482230 -0.16824468j
897.876070, -0.1482230 -0.16824468j
896.876070, -0.1482230 -0.16824468j
895.876070, -0.1482230 -0.16824468j
894.876070, -0.1482230 -0.16824468j
893.876070, -0.1513699 -0.17145536j
892.876070, -0.1513699 -0.17145536j
891.876070, -0.1513699 -0.17145536j
890.876070, -0.1513699 -0.17145536j
889.876070, -0.1513699 -0.17145536j
888.876070, -0.1513699 -0.17145536j
887.876070, -0.1513699 -0.17145536j
886.876070, -0.1513699 -0.17145536j
885.876070, -0.1513699 -0.17145536j
884.876070, -0.1513699 -0.17145536j
883.876070, -0.1513699 -0.17145536j
882.876070, -0.1513699 -0.17145536j
881.876070, -0.1513699 -0.17145536j
880.876070, -0.1513699 -0.17145536j
879.876070, -0.1513699 -0.17145536j
878.876070, -0.1513699 -0.17145536j
877.876070, -0.1509607 -0.17107695j
876.876070, -0.1509607 -0.17107695j
875.876070, -0.1509607 -0.17107695j
874.876070, -0.1509607 -0.17107695j
873.876070, -0.1509607 -0.17107695j
872.876070, -0.1509607 -0.17107695j
871.876070, -0.1509607 -0.17107695j
870.876070, -0.1509607 -0.17107695j
869.876070, -0.1530341 -0.17336335j
868.876070, -0.1530341 -0.17336335j
867.876070, -0.1530341 -0.17336335j
866.876070, -0.1530341 -0.17336335j
865.876070, -0.1402177 -0.15736313j
864.876070, -0.1402177 -0.15736313j
863.876070, -0.1162643 -0.12831940j
862.876070, -0.0959293 -0.10387700j
861.876070, -0.0717241 -0.07351058j
860.876070, -0.0717241 -0.07351058j
859.876070, -0.0426998 -0.03831556j
858.876070, -0.0426998 -0.03831556j
857.876070, -0.0426998 -0.03831556j
856.876070, -0.0426998 -0.03831556j
855.876070, -0.0256224 -0.01265450j
854.876070, -0.0256224 -0.01265450j
853.876070, -0.0256224 -0.01265450j
852.876070, -0.0256224 -0.01265450j
851.876070, -0.0256224 -0.01265450j
850.876070, -0.0256224 -0.01265450j
849.876070, -0.0256224 -0.01265450j
848.876070, -0.0256224 -0.01265450j
847.876070, -9.9723e-3 -0.00249072j
846.876070, -9.9723e-3 -0.00249072j
845.876070, -9.9723e-3 -0.00249072j
844.876070, -9.9723e-3 -0.00249072j
843.876070, -9.9723e-3 -0.00249072j
842.876070, -9.9723e-3 -0.00249072j
841.876070, -9.9723e-3 -0.00249072j
840.876070, -9.9723e-3 -0.00249072j
839.876070, -9.9723e-3 -0.00249072j
838.876070, -9.9723e-3 -0.00249072j
837.876070, -9.9723e-3 -0.00249072j
836.876070, -9.9723e-3 -0.00249072j
835.876070, -9.9723e-3 -0.00249072j
834.876070, -9.9723e-3 -0.00249072j
833.876070, -9.9723e-3 -0.00249072j
832.876070, -9.9723e-3 -0.00249072j
831.876070, -0.0600928 +3.15783e-4j
830.876070, -0.0600928 +3.15783e-4j
829.876070, -0.0600928 +3.15783e-4j
828.876070, -0.0600928 +3.15783e-4j
827.876070, -0.0600928 +3.15783e-4j
826.876070, -0.0600928 +3.15783e-4j
825.876070, -0.0600928 +3.15783e-4j
824.876070, -0.0600928 +3.15783e-4j
823.876070, -0.1270377 -0.00977808j
822.876070, -0.1270377 -0.00977808j
821.876070, -0.1270377 -0.00977808j
820.876070, -0.1270377 -0.00977808j
819.876070, -0.0325751 +0.02936014j
818.876070, -0.0325751 +0.02936014j
817.876070, -0.0951852 +0.00901301j
816.876070, -0.1359792 -0.00404929j
815.876070, -0.1937442 -0.02380840j
814.876070, -0.1937442 -0.02380840j
813.876070, -0.2434755 -0.04417006j
812.876070, -0.2434755 -0.04417006j
811.876070, -0.2434755 -0.04417006j
810.876070, -0.2434755 -0.04417006j
809.876070, -0.2760359 -0.06652324j
808.876070, -0.2760359 -0.06652324j
807.876070, -0.2760359 -0.06652324j
806.876070, -0.2760359 -0.06652324j
805.876070, -0.2760359 -0.06652324j
804.876070, -0.2760359 -0.06652324j
803.876070, -0.2760359 -0.06652324j
802.876070, -0.3133313 -0.07848154j
801.876070, -0.3133313 -0.07848154j
800.876070, -0.3133313 -0.07848154j
799.876070, -0.3133313 -0.07848154j
798.876070, -0.3133313 -0.07848154j
797.876070, -0.3133313 -0.07848154j
796.876070, -0.3133313 -0.07848154j
795.876070, -0.2871223 -0.07322143j
794.876070, -0.2871223 -0.07322143j
793.876070, -0.2871223 -0.07322143j
792.876070, -0.2871223 -0.07322143j
791.876070, -0.2871223 -0.07322143j
790.876070, -0.2871223 -0.07322143j
789.876070, -0.2871223 -0.07322143j
788.876070, -0.2926354 -0.06785292j
787.876070, -0.2926354 -0.06785292j
786.876070, -0.2926354 -0.06785292j
785.876070, -0.2926354 -0.06785292j
784.876070, -0.1646905 -0.00376907j
783.876070, -0.1646905 -0.00376907j
782.876070, 0.06164395 +0.10122539j
781.876070, 0.27618502 +0.20024859j
780.876070, 0.45950302 +0.27660749j
779.876070, 0.45950302 +0.27660749j
778.876070, 0.19058400 +0.15798860j
777.876070, 0.19058400 +0.15798860j
776.876070, 0.19058400 +0.15798860j
775.876070, 0.19058400 +0.15798860j
774.876070, -0.2109158 -0.07033876j
773.876070, -0.2109158 -0.07033876j
772.876070, -0.2109158 -0.07033876j
771.876070, -0.2109158 -0.07033876j
770.876070, -0.2109158 -0.07033876j
769.876070, -0.2109158 -0.07033876j
768.876070, -0.2109158 -0.07033876j
767.876070, -0.2109158 -0.07033876j
766.876070, -0.3473013 -0.11019805j
765.876070, -0.3473013 -0.11019805j
764.876070, -0.3473013 -0.11019805j
763.876070, -0.3473013 -0.11019805j
762.876070, -0.3473013 -0.11019805j
761.876070, -0.3473013 -0.11019805j
760.876070, -0.3473013 -0.11019805j
759.876070, -0.3473013 -0.11019805j
758.876070, -0.3473013 -0.11019805j
757.876070, -0.3473013 -0.11019805j
756.876070, -0.3473013 -0.11019805j
755.876070, -0.3473013 -0.11019805j
754.876070, -0.3473013 -0.11019805j
753.876070, -0.3473013 -0.11019805j
752.876070, -0.3473013 -0.11019805j
751.876070, -0.3473013 -0.11019805j
750.876070, -0.3970934 -0.13505161j
749.876070, -0.3970934 -0.13505161j
748.876070, -0.3970934 -0.13505161j
747.876070, -0.3970934 -0.13505161j
746.876070, -0.3970934 -0.13505161j
745.876070, -0.3970934 -0.13505161j
744.876070, -0.3970934 -0.13505161j
743.876070, -0.3970934 -0.13505161j
742.876070, -0.3970934 -0.13505161j
741.876070, -0.3970934 -0.13505161j
740.876070, -0.3970934 -0.13505161j
739.876070, -0.3970934 -0.13505161j
738.876070, -0.3970934 -0.13505161j
737.876070, -0.3970934 -0.13505161j
736.876070, -0.3970934 -0.13505161j
735.876070, -0.3970934 -0.13505161j
734.876070, -0.3970934 -0.13505161j
733.876070, -0.3970934 -0.13505161j
732.876070, -0.3970934 -0.13505161j
731.876070, -0.3970934 -0.13505161j
730.876070, 1.71763752 +1.34732594j
729.876070, 1.71763752 +1.34732594j
728.876070, 1.71763752 +1.34732594j
727.876070, 1.71763752 +1.34732594j
726.876070, 1.71763752 +1.34732594j
725.876070, 1.71763752 +1.34732594j
724.876070, 1.71763752 +1.34732594j
723.876070, 1.71763752 +1.34732594j
722.876070, 1.71763752 +1.34732594j
721.876070, 1.71763752 +1.34732594j
720.876070, 1.71763752 +1.34732594j
719.876070, 1.71763752 +1.34732594j
718.876070, 1.71763752 +1.34732594j
717.876070, 1.71763752 +1.34732594j
716.876070, 1.71763752 +1.34732594j
715.876070, 1.71763752 +1.34732594j
714.876070, 2.50731836 +2.41378313j
713.876070, 2.50731836 +2.41378313j
712.876070, 2.50731836 +2.41378313j
711.876070, 2.50731836 +2.41378313j
710.876070, 2.50731836 +2.41378313j
709.876070, 2.50731836 +2.41378313j
708.876070, 2.50731836 +2.41378313j
707.876070, 2.50731836 +2.41378313j
706.876070, 1.69137062 +1.27442565j
705.876070, 1.69137062 +1.27442565j
704.876070, 1.69137062 +1.27442565j
703.876070, 1.69137062 +1.27442565j
702.876070, 0.75529153 +0.61557346j
701.876070, 0.75529153 +0.61557346j
700.876070, 0.15893350 +0.26284168j
699.876070, -0.2636125 -0.06550050j
698.876070, -0.7054107 -0.49008740j
697.876070, -0.7054107 -0.49008740j
696.876070, -1.1926266 -0.83878919j
695.876070, -1.1926266 -0.83878919j
