 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: waffle_inductor_differential_geometric
 Data is De-embedded 
 Data File Written: 05/31/2019 18:54:01
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 05/31/2019 18:52:17
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
100.0000000000000,-1.99511649e-13,-0.251112471697
102.5000000000000,4.5175926110e-9,-0.244983354023
105.0000000000000,8.4644070651e-9,-0.239146290960
107.5000000000000,1.1897869989e-8,-0.233580892900
110.0000000000000,1.4877411885e-8,-0.228268625041
112.5000000000000,1.7455043092e-8,-0.223192601181
115.0000000000000,1.9676379533e-8,-0.218337404407
117.5000000000000,2.1581526692e-8,-0.213688930691
120.0000000000000,2.3205806406e-8,-0.209234252050
122.5000000000000,2.4580402892e-8,-0.204961496471
125.0000000000000,2.5732891618e-8,-0.200859742250
127.5000000000000,2.6687700605e-8,-0.196918924775
130.0000000000000,2.7466509532e-8,-0.193129754065
132.5000000000000,2.8088594303e-8,-0.189483641652
135.0000000000000,2.8571098726e-8,-0.185972635594
137.5000000000000,2.8929318433e-8,-0.182589362575
140.0000000000000,2.9176897830e-8,-0.179326976216
142.5000000000000,2.9326037761e-8,-0.176179110830
145.0000000000000,2.9387646902e-8,-0.173139839964
147.5000000000000,2.9371504322e-8,-0.170203639152
150.0000000000000,2.9286370470e-8,-0.167365352406
152.5000000000000,2.9140116840e-8,-0.164620161996
155.0000000000000,2.8939801842e-8,-0.161963561156
157.5000000000000,2.8691779588e-8,-0.159391329399
160.0000000000000,2.8401759450e-8,-0.156899510134
162.5000000000000,2.8074886222e-8,-0.154484390364
165.0000000000000,2.7715790392e-8,-0.152142482218
167.5000000000000,2.7328646881e-8,-0.149870506149
170.0000000000000,2.6917211912e-8,-0.147665375604
172.5000000000000,2.6484881027e-8,-0.145524183038
175.0000000000000,2.6034713129e-8,-0.143444187117
177.5000000000000,2.5569468474e-8,-0.141422801016
180.0000000000000,2.5091634731e-8,-0.139457581675
182.5000000000000,2.4603461533e-8,-0.137546219957
185.0000000000000,2.4106970801e-8,-0.135686531590
187.5000000000000,2.3603991199e-8,-0.133876448844
190.0000000000000,2.3096170429e-8,-0.132114012856
192.5000000000000,2.2584993845e-8,-0.130397366561
195.0000000000000,2.2071796188e-8,-0.128724748163
197.5000000000000,2.1557782855e-8,-0.127094485105
200.0000000000000,2.1044035826e-8,-0.125504988486
202.5000000000000,2.0531525845e-8,-0.123954747900
205.0000000000000,2.0021125723e-8,-0.122442326642
207.5000000000000,1.9513616212e-8,-0.120966357273
210.0000000000000,1.9009696062e-8,-0.119525537491
212.5000000000000,1.8509989887e-8,-0.118118626300
215.0000000000000,1.8015052370e-8,-0.116744440444
217.5000000000000,1.7525376848e-8,-0.115401851088
220.0000000000000,1.7041400154e-8,-0.114089780724
222.5000000000000,1.6563509236e-8,-0.112807200288
225.0000000000000,1.6092040267e-8,-0.111553126465
227.5000000000000,1.5627291851e-8,-0.110326619179
230.0000000000000,1.5169517786e-8,-0.109126779238
232.5000000000000,1.4718942595e-8,-0.107952746138
235.0000000000000,1.4275755674e-8,-0.106803696002
237.5000000000000,1.3840116230e-8,-0.105678839654
240.0000000000000,1.3412158001e-8,-0.104577420811
242.5000000000000,1.2991990712e-8,-0.103498714384
245.0000000000000,1.2579701201e-8,-0.102442024892
247.5000000000000,1.2175356307e-8,-0.101406684958
250.0000000000000,1.1779005460e-8,-0.100392053910
252.5000000000000,1.1390679862e-8,-0.099397516458
255.0000000000000,1.1010396415e-8,-0.098422481444
257.5000000000000,1.0638160610e-8,-0.097466380678
260.0000000000000,1.0273960888e-8,-0.096528667828
262.5000000000000,9.9177782695e-9,-0.095608817378
265.0000000000000,9.5695821778e-9,-0.094706323653
267.5000000000000,9.2293325910e-9,-0.093820699882
270.0000000000000,8.8969818685e-9,-0.092951477331
272.5000000000000,8.5724745233e-9,-0.092098204470
275.0000000000000,8.2557478418e-9,-0.091260446193
277.5000000000000,7.9467349226e-9,-0.090437783077
280.0000000000000,7.6453616454e-9,-0.089629810685
282.5000000000000,7.3515501416e-9,-0.088836138895
285.0000000000000,7.0652163954e-9,-0.088056391282
287.5000000000000,6.7862751273e-9,-0.087290204514
290.0000000000000,6.5146371875e-9,-0.086537227793
292.5000000000000,6.2502094420e-9,-0.085797122315
295.0000000000000,5.9928957579e-9,-0.085069560765
297.5000000000000,5.7426001633e-9,-0.084354226834
300.0000000000000,5.4992224119e-9,-0.083650814756
302.5000000000000,5.2626624690e-9,-0.082959028878
305.0000000000000,5.0328177487e-9,-0.082278583241
307.5000000000000,4.8095847271e-9,-0.081609201191
310.0000000000000,4.5928596641e-9,-0.080950614996
312.5000000000000,4.3825374773e-9,-0.080302565496
315.0000000000000,4.1785125193e-9,-0.079664801760
317.5000000000000,3.9806799393e-9,-0.079037080762
320.0000000000000,3.7889332966e-9,-0.078419167072
322.5000000000000,3.6031666848e-9,-0.077810832561
325.0000000000000,3.4232749075e-9,-0.077211856123
327.5000000000000,3.2491517755e-9,-0.076622023403
330.0000000000000,3.0806927717e-9,-0.076041126544
332.5000000000000,2.9177929550e-9,-0.075468963941
335.0000000000000,2.7603474589e-9,-0.074905340010
337.5000000000000,2.6082530931e-9,-0.074350064960
340.0000000000000,2.4614068555e-9,-0.073802954586
342.5000000000000,2.3197063644e-9,-0.073263830063
345.0000000000000,2.1830500308e-9,-0.072732517748
347.5000000000000,2.0513367487e-9,-0.072208848997
350.0000000000000,1.9244668917e-9,-0.071692659985
352.5000000000000,1.8023417991e-9,-0.071183791538
355.0000000000000,1.6848633441e-9,-0.070682088963
357.5000000000000,1.5719342399e-9,-0.070187401897
360.0000000000000,1.4634583929e-9,-0.069699584154
362.5000000000000,1.3593414562e-9,-0.069218493581
365.0000000000000,1.2594887414e-9,-0.068743991923
367.5000000000000,1.1638071500e-9,-0.068275944685
370.0000000000000,1.0722057382e-9,-0.067814221008
372.5000000000000,9.845927969e-10,-0.067358693547
375.0000000000000,9.008798083e-10,-0.066909238355
377.5000000000000,8.209774616e-10,-0.066465734768
380.0000000000000,7.447981535e-10,-0.066028065296
382.5000000000000,6.722562550e-10,-0.065596115524
385.0000000000000,6.032656191e-10,-0.065169774008
387.5000000000000,5.377431565e-10,-0.064748932182
390.0000000000000,4.756053657e-10,-0.064333484261
392.5000000000000,4.167705863e-10,-0.063923327160
395.0000000000000,3.611578604e-10,-0.063518360400
397.5000000000000,3.086875490e-10,-0.063118486033
400.0000000000000,2.592813711e-10,-0.062723608560
402.5000000000000,2.128618584e-10,-0.062333634854
405.0000000000000,1.693523903e-10,-0.061948474088
407.5000000000000,1.286777910e-10,-0.061568037665
410.0000000000000,9.076364579e-11,-0.061192239149
412.5000000000000,5.553722409e-11,-0.060820994198
415.0000000000000,2.292599943e-11,-0.060454220506
417.5000000000000,-7.14058032e-12,-0.060091837737
420.0000000000000,-3.47333381e-11,-0.059733767467
422.5000000000000,-5.99205533e-11,-0.059379933131
425.0000000000000,-8.27705877e-11,-0.059030259964
427.5000000000000,-1.03350685e-10,-0.058684674950
430.0000000000000,-1.21726356e-10,-0.058343106773
432.5000000000000,-1.37963094e-10,-0.058005485764
435.0000000000000,-1.52124527e-10,-0.057671743859
437.5000000000000,-1.64274527e-10,-0.057341814546
440.0000000000000,-1.74474801e-10,-0.057015632828
442.5000000000000,-1.82786510e-10,-0.056693135176
445.0000000000000,-1.89270501e-10,-0.056374259489
447.5000000000000,-1.93985948e-10,-0.056058945053
450.0000000000000,-1.96991650e-10,-0.055747132506
452.5000000000000,-1.98345046e-10,-0.055438763794
455.0000000000000,-1.98103197e-10,-0.055133782144
457.5000000000000,-1.96322147e-10,-0.054832132019
460.0000000000000,-1.93056908e-10,-0.054533759095
462.5000000000000,-1.88362179e-10,-0.054238610217
465.0000000000000,-1.82290843e-10,-0.053946633378
467.5000000000000,-1.74896287e-10,-0.053657777682
470.0000000000000,-1.66229790e-10,-0.053371993314
472.5000000000000,-1.56343403e-10,-0.053089231517
475.0000000000000,-1.45286571e-10,-0.052809444558
477.5000000000000,-1.33109642e-10,-0.052532585706
480.0000000000000,-1.19861172e-10,-0.052258609201
482.5000000000000,-1.05589462e-10,-0.051987470233
485.0000000000000,-9.03420779e-11,-0.051719124917
487.5000000000000,-7.41655409e-11,-0.051453530266
490.0000000000000,-5.71058701e-11,-0.051190644174
492.5000000000000,-3.92086845e-11,-0.050930425385
495.0000000000000,-2.05185649e-11,-0.050672833482
497.5000000000000,4.559155977e-15,-0.050417828856
500.0000000000000,1.906537759e-11,-0.050165372693
502.5000000000000,3.987294546e-11,-0.049915426951
505.0000000000000,6.130121996e-11,-0.049667954341
507.5000000000000,8.330866427e-11,-0.049422918309
510.0000000000000,1.058546464e-10,-0.049180283018
512.5000000000000,1.288986736e-10,-0.048940013330
515.0000000000000,1.524013738e-10,-0.048702074789
517.5000000000000,1.763233241e-10,-0.048466433607
520.0000000000000,2.006262004e-10,-0.048233056644
522.5000000000000,2.252720595e-10,-0.048001911394
