 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 01/25/2020 18:01:40
Project Date: 01/24/2020 17:33:00
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 700.0
dist2capedge = 690.0
350.0000000000000,1.752875399e-10,5.3561007366e-5
355.0000000000000,1.769788484e-10,5.4326231299e-5
360.0000000000000,1.786106688e-10,5.5091459182e-5
365.0000000000000,1.801833787e-10,5.5856691020e-5
370.0000000000000,1.816973650e-10,5.6621926815e-5
375.0000000000000,1.831530097e-10,5.7387166570e-5
380.0000000000000,1.845506972e-10,5.8152410289e-5
385.0000000000000,1.858908054e-10,5.8917657976e-5
390.0000000000000,1.871737286e-10,5.9682909634e-5
395.0000000000000,1.883998455e-10,6.0448165266e-5
400.0000000000000,1.895695416e-10,6.1213424875e-5
405.0000000000000,1.906832047e-10,6.1978688466e-5
410.0000000000000,1.917412224e-10,6.2743956041e-5
415.0000000000000,1.927439800e-10,6.3509227603e-5
420.0000000000000,1.936918663e-10,6.4274503157e-5
425.0000000000000,1.945852667e-10,6.5039782706e-5
430.0000000000000,1.954245733e-10,6.5805066252e-5
435.0000000000000,1.962101736e-10,6.6570353800e-5
440.0000000000000,1.969424584e-10,6.7335645352e-5
445.0000000000000,1.976218155e-10,6.8100940913e-5
450.0000000000000,1.982486389e-10,6.8866240485e-5
455.0000000000000,1.988233185e-10,6.9631544073e-5
460.0000000000000,1.993462450e-10,7.0396851678e-5
465.0000000000000,1.998178126e-10,7.1162163306e-5
470.0000000000000,2.002384122e-10,7.1927478958e-5
475.0000000000000,2.006084390e-10,7.2692798639e-5
480.0000000000000,2.009282838e-10,7.3458122352e-5
485.0000000000000,2.011983462e-10,7.4223450100e-5
490.0000000000000,2.014190170e-10,7.4988781887e-5
495.0000000000000,2.015906915e-10,7.5754117716e-5
500.0000000000000,2.017137658e-10,7.6519457590e-5
505.0000000000000,2.017886397e-10,7.7284801514e-5
510.0000000000000,2.018157060e-10,7.8050149489e-5
515.0000000000000,2.017953654e-10,7.8815501521e-5
520.0000000000000,2.017280120e-10,7.9580857611e-5
525.0000000000000,2.016140476e-10,8.0346217764e-5
530.0000000000000,2.014538706e-10,8.1111581983e-5
535.0000000000000,2.012478794e-10,8.1876950271e-5
540.0000000000000,2.009964769e-10,8.2642322631e-5
545.0000000000000,2.007000603e-10,8.3407699068e-5
550.0000000000000,2.003590348e-10,8.4173079584e-5
555.0000000000000,1.999737943e-10,8.4938464183e-5
560.0000000000000,1.995447482e-10,8.5703852868e-5
565.0000000000000,1.990722971e-10,8.6469245643e-5
570.0000000000000,1.985568438e-10,8.7234642510e-5
575.0000000000000,1.979987922e-10,8.8000043474e-5
580.0000000000000,1.973985461e-10,8.8765448538e-5
585.0000000000000,1.967565095e-10,8.9530857705e-5
590.0000000000000,1.960730906e-10,9.0296270979e-5
595.0000000000000,1.953486933e-10,9.1061688363e-5
600.0000000000000,1.945837236e-10,9.1827109860e-5
605.0000000000000,1.937785876e-10,9.2592535474e-5
610.0000000000000,1.929336935e-10,9.3357965208e-5
615.0000000000000,1.920494495e-10,9.4123399065e-5
620.0000000000000,1.911262650e-10,9.4888837049e-5
625.0000000000000,1.901645438e-10,9.5654279164e-5
630.0000000000000,1.891647029e-10,9.6419725413e-5
635.0000000000000,1.881271473e-10,9.7185175798e-5
640.0000000000000,1.870522895e-10,9.7950630324e-5
645.0000000000000,1.859405356e-10,9.8716088994e-5
650.0000000000000,1.847923048e-10,9.9481551812e-5
655.0000000000000,1.836080029e-10,1.0024701878e-4
660.0000000000000,1.823880450e-10,1.0101248990e-4
665.0000000000000,1.811328445e-10,1.0177796518e-4
670.0000000000000,1.798428130e-10,1.0254344462e-4
675.0000000000000,1.785183654e-10,1.0330892823e-4
680.0000000000000,1.771599162e-10,1.0407441600e-4
685.0000000000000,1.757678826e-10,1.0483990794e-4
690.0000000000000,1.743426793e-10,1.0560540406e-4
695.0000000000000,1.728847177e-10,1.0637090436e-4
700.0000000000000,1.713944203e-10,1.0713640883e-4
705.0000000000000,1.698722007e-10,1.0790191749e-4
710.0000000000000,1.683184792e-10,1.0866743034e-4
715.0000000000000,1.667336772e-10,1.0943294739e-4
720.0000000000000,1.651182050e-10,1.1019846862e-4
725.0000000000000,1.634724860e-10,1.1096399406e-4
730.0000000000000,1.617969394e-10,1.1172952369e-4
735.0000000000000,1.600919867e-10,1.1249505753e-4
740.0000000000000,1.583580490e-10,1.1326059558e-4
745.0000000000000,1.565955455e-10,1.1402613784e-4
750.0000000000000,1.548049008e-10,1.1479168432e-4
755.0000000000000,1.529865330e-10,1.1555723501e-4
760.0000000000000,1.511408688e-10,1.1632278993e-4
765.0000000000000,1.492683296e-10,1.1708834907e-4
770.0000000000000,1.473693411e-10,1.1785391244e-4
775.0000000000000,1.454443245e-10,1.1861948004e-4
780.0000000000000,1.434937078e-10,1.1938505188e-4
785.0000000000000,1.415179155e-10,1.2015062796e-4
790.0000000000000,1.395173756e-10,1.2091620828e-4
795.0000000000000,1.374925116e-10,1.2168179284e-4
800.0000000000000,1.354437491e-10,1.2244738166e-4
805.0000000000000,1.333715193e-10,1.2321297472e-4
810.0000000000000,1.312762491e-10,1.2397857204e-4
815.0000000000000,1.291583685e-10,1.2474417363e-4
820.0000000000000,1.270183031e-10,1.2550977947e-4
825.0000000000000,1.248564842e-10,1.2627538958e-4
830.0000000000000,1.226733419e-10,1.2704100396e-4
835.0000000000000,1.204693073e-10,1.2780662261e-4
840.0000000000000,1.182448126e-10,1.2857224554e-4
845.0000000000000,1.160002870e-10,1.2933787275e-4
850.0000000000000,1.137361648e-10,1.3010350424e-4
855.0000000000000,1.114528750e-10,1.3086914002e-4
860.0000000000000,1.091508565e-10,1.3163478009e-4
865.0000000000000,1.068305382e-10,1.3240042445e-4
870.0000000000000,1.044923580e-10,1.3316607310e-4
875.0000000000000,1.021367480e-10,1.3393172606e-4
880.0000000000000,9.976414281e-11,1.3469738332e-4
885.0000000000000,9.737498235e-11,1.3546304489e-4
890.0000000000000,9.496970219e-11,1.3622871077e-4
895.0000000000000,9.254873345e-11,1.3699438096e-4
900.0000000000000,9.011252055e-11,1.3776005547e-4
905.0000000000000,8.766149681e-11,1.3852573430e-4
910.0000000000000,8.519610222e-11,1.3929141745e-4
915.0000000000000,8.271677786e-11,1.4005710493e-4
920.0000000000000,8.022395925e-11,1.4082279674e-4
925.0000000000000,7.771808747e-11,1.4158849288e-4
930.0000000000000,7.519960470e-11,1.4235419336e-4
935.0000000000000,7.266894977e-11,1.4311989818e-4
940.0000000000000,7.012656932e-11,1.4388560735e-4
945.0000000000000,6.757289883e-11,1.4465132086e-4
950.0000000000000,6.500838380e-11,1.4541703872e-4
955.0000000000000,6.243346417e-11,1.4618276094e-4
960.0000000000000,5.984858986e-11,1.4694848752e-4
965.0000000000000,5.725420191e-11,1.4771421845e-4
970.0000000000000,5.465074358e-11,1.4847995376e-4
975.0000000000000,5.203866146e-11,1.4924569342e-4
980.0000000000000,4.941840099e-11,1.5001143746e-4
985.0000000000000,4.679040767e-11,1.5077718588e-4
990.0000000000000,4.415513027e-11,1.5154293867e-4
995.0000000000000,4.151301093e-11,1.5230869585e-4
1000.000000000000,3.886450509e-11,1.5307445740e-4
1005.000000000000,3.621005487e-11,1.5384022335e-4
1010.000000000000,3.355011016e-11,1.5460599369e-4
1015.000000000000,3.088512418e-11,1.5537176842e-4
1020.000000000000,2.821554127e-11,1.5613754756e-4
1025.000000000000,2.554181685e-11,1.5690333109e-4
1030.000000000000,2.286439747e-11,1.5766911903e-4
1035.000000000000,2.018373523e-11,1.5843491137e-4
1040.000000000000,1.750028556e-11,1.5920070813e-4
1045.000000000000,1.481449720e-11,1.5996650931e-4
1050.000000000000,1.212682558e-11,1.6073231490e-4
1055.000000000000,9.437721703e-12,1.6149812492e-4
1060.000000000000,6.747642057e-12,1.6226393936e-4
1065.000000000000,4.057038739e-12,1.6302975822e-4
1070.000000000000,1.366370487e-12,1.6379558153e-4
1075.000000000000,-1.32391283e-12,1.6456140926e-4
1080.000000000000,-4.01335027e-12,1.6532724144e-4
1085.000000000000,-6.70148752e-12,1.6609307806e-4
1090.000000000000,-9.38786808e-12,1.6685891912e-4
1095.000000000000,-1.20720310e-11,1.6762476464e-4
1100.000000000000,-1.47535208e-11,1.6839061460e-4
1105.000000000000,-1.74318800e-11,1.6915646902e-4
1110.000000000000,-2.01066464e-11,1.6992232790e-4
1115.000000000000,-2.27773603e-11,1.7068819125e-4
1120.000000000000,-2.54435662e-11,1.7145405906e-4
1125.000000000000,-2.81047976e-11,1.7221993134e-4
1130.000000000000,-3.07605969e-11,1.7298580809e-4
1135.000000000000,-3.34104999e-11,1.7375168932e-4
1140.000000000000,-3.60540456e-11,1.7451757503e-4
1145.000000000000,-3.86907707e-11,1.7528346522e-4
1150.000000000000,-4.13202134e-11,1.7604935990e-4
1155.000000000000,-4.39419070e-11,1.7681525907e-4
1160.000000000000,-4.65553906e-11,1.7758116273e-4
1165.000000000000,-4.91601955e-11,1.7834707089e-4
1170.000000000000,-5.17558608e-11,1.7911298355e-4
1175.000000000000,-5.43419166e-11,1.7987890071e-4
1180.000000000000,-5.69178987e-11,1.8064482238e-4
1185.000000000000,-5.94833383e-11,1.8141074855e-4
1190.000000000000,-6.20377690e-11,1.8217667925e-4
1195.000000000000,-6.45807220e-11,1.8294261446e-4
1200.000000000000,-6.71117319e-11,1.8370855419e-4
1205.000000000000,-6.96303245e-11,1.8447449844e-4
1210.000000000000,-7.21360343e-11,1.8524044722e-4
1215.000000000000,-7.46283894e-11,1.8600640053e-4
1220.000000000000,-7.71069209e-11,1.8677235838e-4
1225.000000000000,-7.95711547e-11,1.8753832076e-4
1230.000000000000,-8.20206209e-11,1.8830428768e-4
