 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: Cap_300MHz_coupled
 Data is De-embedded 
 Data File Written: 06/10/2019 18:43:53
Project Date: 06/07/2019 21:54:04
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
100.0000000000000,-9.51482864e-16,0.0175159327707,-1.28685244e-15,-0.017300262888,1.085571739e-17,-4.696456477e-6,-1.28868424e-15,-0.017300262888,3.422603909e-15,0.0177138463387,8.877768883e-18,-2.458384790e-4,1.157725622e-17,-4.696456477e-6,5.967865470e-18,-2.458384790e-4,3.334913181e-19,2.6330357908e-4
110.0000000000000,1.2510291598e-5,0.0192984865011,-8.727276575e-6,-0.019051107287,-8.797628242e-8,-4.693030658e-6,-8.727276575e-6,-0.019051107287,2.1302712759e-5,0.0195115961428,2.4348298935e-7,-2.710180562e-4,-8.797628242e-8,-4.693030658e-6,2.4348298935e-7,-2.710180562e-4,2.1159286699e-9,2.8965750709e-4
120.0000000000000,1.6629309410e-5,0.0211660016386,-1.236517956e-5,-0.020890328681,-1.697836697e-7,-4.162011157e-6,-1.236517956e-5,-0.020890328681,3.1249996865e-5,0.0213951171978,4.3733928430e-7,-2.966970432e-4,-1.697836697e-7,-4.162011157e-6,4.3733928430e-7,-2.966970432e-4,4.0455454474e-9,3.1601913283e-4
130.0000000000000,1.3964737600e-5,0.0231162922502,-1.059310644e-5,-0.022815454487,-2.465476317e-7,-3.108582703e-6,-1.059310644e-5,-0.022815454487,3.1794022812e-5,0.0233627901054,5.8537109251e-7,-3.228835821e-4,-2.465476317e-7,-3.108582703e-6,5.8537109251e-7,-3.228835821e-4,5.6854324352e-9,3.4238911344e-4
140.0000000000000,6.7651326031e-6,0.0251489495698,-4.594372714e-6,-0.024825651841,-3.146606775e-7,-1.524997258e-6,-4.594372714e-6,-0.024825651841,2.5594635343e-5,0.0254146669779,6.8967327024e-7,-3.495963052e-4,-3.146606775e-7,-1.524997258e-6,6.8967327024e-7,-3.495963052e-4,6.9492151452e-9,3.6876818087e-4
150.0000000000000,-2.696774763e-6,0.0272652295048,3.8684639532e-6,-0.026921773670,-3.693850343e-7,6.0871815724e-7,3.8684639532e-6,-0.026921773670,1.5388941434e-5,0.0275523520494,7.5204503546e-7,-3.768634508e-4,-3.693850343e-7,6.0871815724e-7,7.5204503546e-7,-3.768634508e-4,7.7751993924e-9,3.9515713446e-4
160.0000000000000,-1.242589343e-5,0.0294679594776,1.2976421194e-5,-0.029106309130,-4.064841810e-7,3.3239542409e-6,1.2976421194e-5,-0.029106309130,3.6590673794e-6,0.0297789064063,7.7450510196e-7,-4.047224903e-4,-4.064841810e-7,3.3239542409e-6,7.7450510196e-7,-4.047224903e-4,8.1299265482e-9,4.2155683529e-4
170.0000000000000,-2.082393570e-5,0.0317614928460,2.1121230268e-5,-0.031383338252,-4.227553166e-7,6.6629474217e-6,2.1121230268e-5,-0.031383338252,-7.520701417e-6,0.0320988108063,7.5935012785e-7,-4.332201029e-4,-4.227553166e-7,6.6629474217e-6,7.5935012785e-7,-4.332201029e-4,8.0087192300e-9,4.4796820251e-4
180.0000000000000,-2.670699640e-5,0.0341517142305,2.7017668802e-5,-0.033758526153,-4.160158694e-7,1.0678542425e-5,2.7017668802e-5,-0.033758526153,-1.653039309e-5,0.0345179889200,7.0901026274e-7,-4.624124209e-4,-4.160158694e-7,1.0678542425e-5,7.0901026274e-7,-4.624124209e-4,7.4340704451e-9,4.7439221150e-4
190.0000000000000,-2.927014687e-5,0.0366460923606,2.9726335875e-5,-0.036239165476,-3.848645394e-7,1.5434312198e-5,2.9726335875e-5,-0.036239165476,-2.218931194e-5,0.0370438840825,6.2584342787e-7,-4.923655276e-4,-3.848645394e-7,1.5434312198e-5,6.2584342787e-7,-4.923655276e-4,6.4525565187e-9,5.0082989467e-4
200.0000000000000,-2.802773339e-5,0.0392537778352,2.8627729922e-5,-0.038834267573,-3.283878898e-7,2.1005046645e-5,2.8627729922e-5,-0.038834267573,-2.370747938e-5,0.0396855831872,5.1194185507e-7,-5.231562258e-4,-3.283878898e-7,2.1005046645e-5,5.1194185507e-7,-5.231562258e-4,5.1308445126e-9,5.2728234519e-4
210.0000000000000,-2.274598379e-5,0.0419857465541,2.3372707374e-5,-0.041554702964,-2.458939042e-7,2.7477632920e-5,2.3372707374e-5,-0.041554702964,-2.062123746e-5,0.0424539855084,3.6898315657e-7,-5.548731199e-4,-2.458939042e-7,2.7477632920e-5,3.6898315657e-7,-5.548731199e-4,3.5512751031e-9,5.5375072396e-4
220.0000000000000,-1.337716115e-5,0.0448549935591,1.3824362301e-5,-0.044413394672,-1.367030048e-7,3.4952368217e-5,1.3824362301e-5,-0.044413394672,-1.272415064e-5,0.0453620193433,1.9813385453e-7,-5.876180737e-4,-1.367030048e-7,3.4952368217e-5,1.9813385453e-7,-5.876180737e-4,1.8074133480e-9,5.8023627035e-4
230.0000000000000,-2.52029583e-15,0.0478767861372,2.515951460e-15,-0.047425572231,-5.39719283e-18,4.3544767470e-5,2.641131810e-15,-0.047425572231,-2.64398434e-15,0.0484249145136,2.672530425e-17,-6.215081221e-4,-4.89264346e-18,4.3544767470e-5,2.992222103e-17,-6.215081221e-4,-3.27837299e-17,6.0674031684e-4
240.0000000000000,1.7231786675e-5,0.0510689891352,-1.798236745e-5,-0.050609098621,1.6526428241e-7,5.3387952727e-5,-1.798236745e-5,-0.050609098621,1.7438502942e-5,0.0516605436825,-2.253885372e-7,-6.566779386e-4,1.6526428241e-7,5.3387952727e-5,-2.253885372e-7,-6.566779386e-4,-1.767387351e-9,6.3326430883e-4
250.0000000000000,3.8132289538e-5,0.0544524810641,-3.995062078e-5,-0.053984888386,3.6043291861e-7,6.4635747805e-5,-3.995062078e-5,-0.053984888386,3.9403175789e-5,0.0550898516134,-4.785706461e-7,-6.932829907e-4,3.6043291861e-7,6.4635747805e-5,-4.785706461e-7,-6.932829907e-4,-3.390095753e-9,6.5980982850e-4
260.0000000000000,6.2518969499e-5,0.0580516843363,-6.571862748e-5,-0.057577440243,5.8718725560e-7,7.7466636926e-5,-6.571862748e-5,-0.057577440243,6.5676477781e-5,0.0587373966231,-7.606443751e-7,-7.315035500e-4,5.8718725560e-7,7.7466636926e-5,-7.606443751e-7,-7.315035500e-4,-4.766040938e-9,6.8637862677e-4
270.0000000000000,9.0241706460e-5,0.0618952429167,-9.511984997e-5,-0.061415517650,8.4758466962e-7,9.2088816631e-5,-9.511984997e-5,-0.061415517650,9.6050300545e-5,0.0626320385871,-1.073262086e-6,-7.715497924e-4,8.4758466962e-7,9.2088816631e-5,-1.073262086e-6,-7.715497924e-4,-5.796653884e-9,7.1297266199e-4
280.0000000000000,1.2120748876e-4,0.0660168905670,-1.280362619e-4,-0.065533020830,1.1441080339e-6,1.0874664512e-4,-1.280362619e-4,-0.065533020830,1.3035926045e-4,0.0668078179014,-1.418646671e-6,-8.136682975e-4,1.1441080339e-6,1.0874664512e-4,-1.418646671e-6,-8.136682975e-4,-6.387842386e-9,7.3959414911e-4
290.0000000000000,1.5540257776e-4,0.0704565695061,-1.644242330e-4,-0.069970110563,1.4797392700e-6,1.2772891509e-4,-1.644242330e-4,-0.069970110563,1.6851020528e-4,0.0713050865505,-1.799639525e-6,-8.581503778e-4,1.4797392700e-6,1.2772891509e-4,-1.799639525e-6,-8.581503778e-4,-6.450054898e-9,7.6624562190e-4
