 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: 1754_resotank
 Data is De-embedded 
 Data File Written: 08/08/2018 17:28:32
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 08/08/2018 03:01:55
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,-4.96475617e-18,1.7963230805e-4,-9.55673037e-19,-1.329263131e-4,-8.68706551e-19,-1.329263135e-4,-1.09103410e-18,4.0947839336e-4
102.5000000000000,1.2421304893e-9,1.8411992031e-4,-7.802424579e-9,-1.362449373e-4,-7.802424579e-9,-1.362449373e-4,1.4638733582e-8,4.1969772260e-4
105.0000000000000,2.3437195726e-9,1.8860792725e-4,-1.513790504e-8,-1.395641691e-4,-1.513790504e-8,-1.395641691e-4,2.8151594230e-8,4.2991844814e-4
107.5000000000000,3.3137994430e-9,1.9309633103e-4,-2.202463584e-8,-1.428840212e-4,-2.202463584e-8,-1.428840212e-4,4.0572025708e-8,4.4014061589e-4
110.0000000000000,4.1609299605e-9,1.9758513359e-4,-2.848050693e-8,-1.462045056e-4,-2.848050693e-8,-1.462045056e-4,5.1934318965e-8,4.5036426995e-4
112.5000000000000,4.8932251614e-9,2.0207433669e-4,-3.452308572e-8,-1.495256334e-4,-3.452308572e-8,-1.495256334e-4,6.2273520423e-8,4.6058945261e-4
115.0000000000000,5.5183665001e-9,2.0656394192e-4,-4.016959585e-8,-1.528474152e-4,-4.016959585e-8,-1.528474152e-4,7.1625319894e-8,4.7081620431e-4
117.5000000000000,6.0436169245e-9,2.1105395074e-4,-4.543689803e-8,-1.561698610e-4,-4.543689803e-8,-1.561698610e-4,8.0025938416e-8,4.8104456362e-4
120.0000000000000,6.4758357411e-9,2.1554436450e-4,-5.034147320e-8,-1.594929802e-4,-5.034147320e-8,-1.594929802e-4,8.7512016745e-8,4.9127456727e-4
122.5000000000000,6.8214939470e-9,2.2003518448e-4,-5.489940772e-8,-1.628167814e-4,-5.489940772e-8,-1.628167814e-4,9.4120505099e-8,5.0150625011e-4
125.0000000000000,7.0866899223e-9,2.2452641188e-4,-5.912638066e-8,-1.661412729e-4,-5.912638066e-8,-1.661412729e-4,9.9888554533e-8,5.1173964517e-4
