 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance
 Data is De-embedded 
 Data File Written: 08/07/2018 19:52:30
Project Date: 08/06/2018 23:41:08
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
375.0000000000000,6.4015964642e-4,0.0822277071061,-6.389275368e-4,-0.081663650429,-6.389275368e-4,-0.081663650429,6.4355502085e-4,0.0821970660410
377.5000000000000,6.4681207197e-4,0.0830895471458,-6.454045202e-4,-0.082521688754,-6.454045202e-4,-0.082521688754,6.5006597858e-4,0.0830586529746
380.0000000000000,6.5345502855e-4,0.0839602537583,-6.518733085e-4,-0.083388596645,-6.518733085e-4,-0.083388596645,6.5656717781e-4,0.0839291098433
382.5000000000000,6.6008680862e-4,0.0848400145442,-6.583323625e-4,-0.084264561646,-6.583323625e-4,-0.084264561646,6.6305712100e-4,0.0848086242512
385.0000000000000,6.6670573514e-4,0.0857290221873,-6.647801626e-4,-0.085149776380,-6.647801626e-4,-0.085149776380,6.6953433230e-4,0.0856973888791
387.5000000000000,6.7331016456e-4,0.0866274746278,-6.712152118e-4,-0.086044438720,-6.712152118e-4,-0.086044438720,6.7599736080e-4,0.0865956016575
390.0000000000000,6.7989849012e-4,0.0875355752420,-6.776360397e-4,-0.086948751978,-6.776360397e-4,-0.086948751978,6.8244478377e-4,0.0875034659474
392.5000000000000,6.8646914519e-4,0.0884535330299,-6.840412063e-4,-0.087862925081,-6.840412063e-4,-0.087862925081,6.8887521023e-4,0.0884211907277
395.0000000000000,6.9302060687e-4,0.0893815628101,-6.904293055e-4,-0.088787172778,-6.904293055e-4,-0.088787172778,6.9528728462e-4,0.0893489907913
397.5000000000000,6.9955139973e-4,0.0903198854237,-6.967989696e-4,-0.089721715834,-6.967989696e-4,-0.089721715834,7.0167969075e-4,0.0902870869489
400.0000000000000,7.0606009982e-4,0.0912687279463,-7.031488736e-4,-0.090666781251,-7.031488736e-4,-0.090666781251,7.0805115589e-4,0.0912357062416
402.5000000000000,7.1254533885e-4,0.0922283239093,-7.094777394e-4,-0.091622602483,-7.094777394e-4,-0.091622602483,7.1440045515e-4,0.0921950821623
405.0000000000000,7.1900580863e-4,0.0931989135307,-7.157843413e-4,-0.092589419672,-7.157843413e-4,-0.092589419672,7.2072641609e-4,0.0931654548874
407.5000000000000,7.2544026579e-4,0.0941807439558,-7.220675100e-4,-0.093567479884,-7.220675100e-4,-0.093567479884,7.2702792357e-4,0.0941470715175
410.0000000000000,7.3184753670e-4,0.0951740695088,-7.283261390e-4,-0.094557037366,-7.283261390e-4,-0.094557037366,7.3330392490e-4,0.0951401863293
412.5000000000000,7.3822652279e-4,0.0961791519551,-7.345591894e-4,-0.095558353807,-7.345591894e-4,-0.095558353807,7.3955343525e-4,0.0961450610383
415.0000000000000,7.4457620604e-4,0.0971962607754,-7.407656961e-4,-0.096571698608,-7.407656961e-4,-0.096571698608,7.4577554347e-4,0.0971619650734
417.5000000000000,7.5089565497e-4,0.0982256734524,-7.469447739e-4,-0.097597349176,-7.469447739e-4,-0.097597349176,7.5196941811e-4,0.0981911758633
420.0000000000000,7.5718403084e-4,0.0992676757697,-7.530956241e-4,-0.098635591218,-7.530956241e-4,-0.098635591218,7.5813431388e-4,0.0992329791365
422.5000000000000,7.6344059432e-4,0.1003225621252,-7.592175416e-4,-0.099686719056,-7.592175416e-4,-0.099686719056,7.6426957855e-4,0.1002876692340
425.0000000000000,7.6966471258e-4,0.1013906358579,-7.653099220e-4,-0.100751035954,-7.653099220e-4,-0.100751035954,7.7037466010e-4,0.1013555494372
427.5000000000000,7.7585586676e-4,0.1024722095906,-7.713722696e-4,-0.101828854461,-7.713722696e-4,-0.101828854461,7.7644911452e-4,0.1024369323101
430.0000000000000,7.8201365996e-4,0.1035676055880,-7.774042053e-4,-0.102920496770,-7.774042053e-4,-0.102920496770,7.8249261390e-4,0.1035321400584
432.5000000000000,7.8813782575e-4,0.1046771561319,-7.834054758e-4,-0.104026295090,-7.834054758e-4,-0.104026295090,7.8850495516e-4,0.1046415049041
435.0000000000000,7.9422823721e-4,0.1058012039140,-7.893759627e-4,-0.105146592045,-7.893759627e-4,-0.105146592045,7.9448606925e-4,0.1057653694791
437.5000000000000,8.0028491656e-4,0.1069401024476,-7.953156924e-4,-0.106281741079,-7.953156924e-4,-0.106281741079,8.0043603102e-4,0.1069040872363
440.0000000000000,8.0630804544e-4,0.1080942164984,-8.012248464e-4,-0.107432106891,-8.012248464e-4,-0.107432106891,8.0635506960e-4,0.1080580228816
442.5000000000000,8.1229797645e-4,0.1092639225366,-8.071037735e-4,-0.108598065886,-8.071037735e-4,-0.108598065886,8.1224358009e-4,0.1092275528253
445.0000000000000,8.1825524198e-4,0.1104496092136,-8.129529985e-4,-0.109780006653,-8.129529985e-4,-0.109780006653,8.1810213308e-4,0.1104130656598
447.5000000000000,8.2418057240e-4,0.1116516778543,-8.187732407e-4,-0.110978330454,-8.187732407e-4,-0.110978330454,8.2393149190e-4,0.1116149626504
450.0000000000000,8.3007490372e-4,0.1128705429843,-8.245654218e-4,-0.112193451756,-8.245654218e-4,-0.112193451756,8.2973262161e-4,0.1128336582648
452.5000000000000,8.3593939469e-4,0.1141066328761,-8.303306833e-4,-0.113425798773,-8.303306833e-4,-0.113425798773,8.3550670566e-4,0.1140695807175
455.0000000000000,8.4177544150e-4,0.1153603901250,-8.360704010e-4,-0.114675814044,-8.360704010e-4,-0.114675814044,8.4125516091e-4,0.1153231725472
457.5000000000000,8.4758469413e-4,0.1166322722550,-8.417862021e-4,-0.115943955040,-8.417862021e-4,-0.115943955040,8.4697965410e-4,0.1165948912220
460.0000000000000,8.5336907379e-4,0.1179227523545,-8.474799824e-4,-0.117230694797,-8.474799824e-4,-0.117230694797,8.5268211951e-4,0.1178852097752
462.5000000000000,8.5913079171e-4,0.1192323197459,-8.531539254e-4,-0.118536522586,-8.531539254e-4,-0.118536522586,8.5836477786e-4,0.1191946174755
465.0000000000000,8.6487236918e-4,0.1205614806896,-8.588105224e-4,-0.119861944620,-8.588105224e-4,-0.119861944620,8.6403015650e-4,0.1205236205306
