 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: waffle_inductor_common_geometric
 Data is De-embedded 
 Data File Written: 05/31/2019 18:55:53
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 05/31/2019 18:54:50
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
100.0000000000000,1.306809630e-17,7.3767301053e-6
102.5000000000000,1.955478399e-14,7.5611328037e-6
105.0000000000000,3.882924296e-14,7.7455358610e-6
107.5000000000000,5.778224211e-14,7.9299392771e-6
110.0000000000000,7.641733031e-14,8.1143430522e-6
112.5000000000000,9.473916480e-14,8.2987471864e-6
115.0000000000000,1.127468498e-13,8.4831516797e-6
117.5000000000000,1.304494799e-13,8.6675565322e-6
120.0000000000000,1.478339431e-13,8.8519617439e-6
122.5000000000000,1.649171017e-13,9.0363673150e-6
125.0000000000000,1.816913913e-13,9.2207732455e-6
127.5000000000000,1.981647886e-13,9.4051795355e-6
130.0000000000000,2.143352768e-13,9.5895861850e-6
132.5000000000000,2.302108288e-13,9.7739931942e-6
135.0000000000000,2.457894239e-13,9.9584005631e-6
137.5000000000000,2.610712600e-13,1.0142808292e-5
140.0000000000000,2.760620843e-13,1.0327216380e-5
142.5000000000000,2.907598704e-13,1.0511624829e-5
145.0000000000000,3.051725822e-13,1.0696033637e-5
147.5000000000000,3.192970795e-13,1.0880442805e-5
150.0000000000000,3.331379918e-13,1.1064852334e-5
152.5000000000000,3.466943957e-13,1.1249262223e-5
155.0000000000000,3.599698067e-13,1.1433672472e-5
157.5000000000000,3.729666284e-13,1.1618083081e-5
160.0000000000000,3.856850419e-13,1.1802494051e-5
162.5000000000000,3.981285572e-13,1.1986905381e-5
165.0000000000000,4.102984622e-13,1.2171317072e-5
167.5000000000000,4.221993733e-13,1.2355729123e-5
170.0000000000000,4.338281338e-13,1.2540141535e-5
172.5000000000000,4.451904666e-13,1.2724554308e-5
175.0000000000000,4.562876520e-13,1.2908967442e-5
177.5000000000000,4.671176380e-13,1.3093380937e-5
180.0000000000000,4.776883624e-13,1.3277794792e-5
182.5000000000000,4.879944388e-13,1.3462209009e-5
185.0000000000000,4.980393603e-13,1.3646623587e-5
187.5000000000000,5.078343902e-13,1.3831038526e-5
190.0000000000000,5.173685852e-13,1.4015453826e-5
192.5000000000000,5.266487638e-13,1.4199869488e-5
195.0000000000000,5.356784120e-13,1.4384285511e-5
197.5000000000000,5.444521318e-13,1.4568701895e-5
200.0000000000000,5.529800672e-13,1.4753118641e-5
202.5000000000000,5.612634780e-13,1.4937535749e-5
205.0000000000000,5.692969610e-13,1.5121953219e-5
207.5000000000000,5.770895438e-13,1.5306371050e-5
210.0000000000000,5.846358197e-13,1.5490789243e-5
212.5000000000000,5.919425923e-13,1.5675207798e-5
215.0000000000000,5.990122225e-13,1.5859626715e-5
217.5000000000000,6.058415180e-13,1.6044045994e-5
220.0000000000000,6.124283955e-13,1.6228465635e-5
222.5000000000000,6.187885326e-13,1.6412885638e-5
225.0000000000000,6.249176219e-13,1.6597306004e-5
227.5000000000000,6.308091331e-13,1.6781726732e-5
230.0000000000000,6.364698567e-13,1.6966147822e-5
232.5000000000000,6.419021407e-13,1.7150569275e-5
235.0000000000000,6.471027801e-13,1.7334991090e-5
237.5000000000000,6.520830009e-13,1.7519413268e-5
240.0000000000000,6.568362636e-13,1.7703835809e-5
242.5000000000000,6.613671294e-13,1.7888258713e-5
245.0000000000000,6.656734957e-13,1.8072681979e-5
247.5000000000000,6.697610303e-13,1.8257105609e-5
250.0000000000000,6.736287371e-13,1.8441529601e-5
252.5000000000000,6.772756190e-13,1.8625953956e-5
255.0000000000000,6.807084476e-13,1.8810378675e-5
257.5000000000000,6.839195607e-13,1.8994803756e-5
260.0000000000000,6.869279389e-13,1.9179229201e-5
262.5000000000000,6.897192545e-13,1.9363655010e-5
265.0000000000000,6.922925008e-13,1.9548081181e-5
267.5000000000000,6.946611018e-13,1.9732507717e-5
270.0000000000000,6.968196062e-13,1.9916934615e-5
272.5000000000000,6.987670015e-13,2.0101361878e-5
275.0000000000000,7.005133756e-13,2.0285789504e-5
