 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: Cap_300MHz_500x3440_sweepboundary
 Data is De-embedded 
 Data File Written: 01/26/2020 19:28:13
Project Date: 01/24/2020 10:24:35
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
horGPseparation = 3550.0
caplen = 3450.0
capheight = 508.0
vertGPseparation = 1000.0
100.0000000000000,2.1098348572e-5,0.0021448503141,-2.056416991e-5,-2.090717979e-3,-2.056416925e-5,-2.090717979e-3,2.1064325765e-5,0.0021414075067
105.0000000000000,2.0433438464e-5,0.0022472994360,-2.224044545e-5,-2.195374677e-3,-2.224044545e-5,-2.195374677e-3,2.0383784691e-5,0.0022436903578
110.0000000000000,1.9716408730e-5,0.0023500127199,-2.396453193e-5,-2.300020533e-3,-2.396453193e-5,-2.300020533e-3,1.9651635661e-5,0.0023462373655
115.0000000000000,1.8954243462e-5,0.0024529913713,-2.572937079e-5,-2.404658005e-3,-2.572937079e-5,-2.404658005e-3,1.8874874235e-5,0.0024490497119
120.0000000000000,1.8153769072e-5,0.0025562362425,-2.752806724e-5,-2.509289918e-3,-2.752806724e-5,-2.509289918e-3,1.8060335070e-5,0.0025521282274
125.0000000000000,1.7321635715e-5,0.0026597478505,-2.935390993e-5,-2.613919451e-3,-2.935390993e-5,-2.613919451e-3,1.7214673884e-5,0.0026554734075
130.0000000000000,1.6464300211e-5,0.0027635263950,-3.120038883e-5,-2.718550118e-3,-3.120038883e-5,-2.718550118e-3,1.6344350797e-5,0.0027590854312
135.0000000000000,1.5588010536e-5,0.0028675717772,-3.306121137e-5,-2.823185748e-3,-3.306121137e-5,-2.823185748e-3,1.5455615155e-5,0.0028629641799
140.0000000000000,1.4698791923e-5,0.0029718836194,-3.493031678e-5,-2.927830468e-3,-3.493031678e-5,-2.927830468e-3,1.4554491900e-5,0.0029671092564
