 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_6outof16_2uminductor
 Data is NOT De-embedded 
 Data File Written: 10/05/2020 11:04:02
Project Date: 09/22/2020 10:49:38
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
100.0000000000000,-7.410707884e-5,-5.043121635e-3,0.9997979929748,-0.019455709981,0.9997979929749,-0.019455709981,-1.221593635e-4,-5.042186545e-3
110.0000000000000,-8.963575511e-5,-5.545753926e-3,0.9997555485411,-0.021402539025,0.9997555485411,-0.021402539026,-1.477931261e-4,-5.544508893e-3
120.0000000000000,-1.066421571e-4,-6.048453817e-3,0.9997090516371,-0.023349187740,0.9997090516371,-0.023349187740,-1.758604524e-4,-6.046838539e-3
130.0000000000000,-1.251280362e-4,-6.551211088e-3,0.9996585085302,-0.025295649305,0.9996585085302,-0.025295649305,-2.063652235e-4,-6.549159223e-3
140.0000000000000,-1.450939521e-4,-7.054012126e-3,0.9996039242849,-0.027241923230,0.9996039242849,-0.027241923230,-2.393096085e-4,-7.051450748e-3
150.0000000000000,-1.665400637e-4,-7.556844279e-3,0.9995453031562,-0.029188009804,0.9995453031562,-0.029188009804,-2.746950592e-4,-7.553694173e-3
160.0000000000000,-1.894663464e-4,-8.059695676e-3,0.9994826485167,-0.031133909893,0.9994826485167,-0.031133909893,-3.125225196e-4,-8.055871399e-3
170.0000000000000,-2.138726676e-4,-8.562555047e-3,0.9994159628341,-0.033079624693,0.9994159628341,-0.033079624693,-3.527925045e-4,-8.557964992e-3
180.0000000000000,-2.397588122e-4,-9.065411590e-3,0.9993452476988,-0.035025155537,0.9993452476988,-0.035025155537,-3.955051314e-4,-9.059958053e-3
190.0000000000000,-2.671243882e-4,-9.568254835e-3,0.9992705038554,-0.036970503560,0.9992705038553,-0.036970503561,-4.406600874e-4,-9.561834410e-3
200.0000000000000,-2.959748511e-4,-0.010071082591,0.9991917334858,-0.038915675881,0.9991917334858,-0.038915675881,-4.882588108e-4,-0.010063571785
210.0000000000000,-3.263144957e-4,-0.010573892755,0.9991089373929,-0.040860674042,0.9991089373929,-0.040860674042,-5.383016294e-4,-0.010565154157
220.0000000000000,-3.581421273e-4,-0.011076676165,0.9990221136575,-0.042805492701,0.9990221136575,-0.042805492701,-5.907867322e-4,-0.011066572214
230.0000000000000,-3.914563840e-4,-0.011579424251,0.9989312600775,-0.044750126128,0.9989312600775,-0.044750126128,-6.457122287e-4,-0.011567817149
240.0000000000000,-4.262558342e-4,-0.012082129067,0.9988363742502,-0.046694568366,0.9988363742502,-0.046694568366,-7.030762031e-4,-0.012068880388
250.0000000000000,-4.625389821e-4,-0.012584783293,0.9987374536314,-0.048638813210,0.9987374536314,-0.048638813210,-7.628767287e-4,-0.012569753587
260.0000000000000,-5.003042780e-4,-0.013087380242,0.9986344955940,-0.050582854189,0.9986344955940,-0.050582854189,-8.251118860e-4,-0.013070428641
270.0000000000000,-5.395501313e-4,-0.013589913863,0.9985274974850,-0.052526684562,0.9985274974850,-0.052526684562,-8.897797827e-4,-0.013570897683
280.0000000000000,-5.802749270e-4,-0.014092378751,0.9984164566813,-0.054470297318,0.9984164566813,-0.054470297318,-9.568785771e-4,-0.014071153098
290.0000000000000,-6.224770449e-4,-0.014594770155,0.9983013706452,-0.056413685178,0.9983013706452,-0.056413685178,-1.026406503e-3,-0.014571187519
300.0000000000000,-6.661548810e-4,-0.015097083985,0.9981822369797,-0.058356840612,0.9981822369797,-0.058356840612,-1.098361894e-3,-0.015070993836
310.0000000000000,-7.113068708e-4,-0.015599316821,0.9980590534816,-0.060299755857,0.9980590534816,-0.060299755857,-1.172743215e-3,-0.015570565199
320.0000000000000,-7.579315144e-4,-0.016101465922,0.9979318181949,-0.062242422940,0.9979318181949,-0.062242422940,-1.249549085e-3,-0.016069895021
330.0000000000000,-8.060274020e-4,-0.016603529228,0.9978005294612,-0.064184833718,0.9978005294612,-0.064184833718,-1.328778309e-3,-0.016568976974
340.0000000000000,-8.555932409e-4,-0.017105505373,0.9976651859681,-0.066126979920,0.9976651859681,-0.066126979920,-1.410429904e-3,-0.017067804997
350.0000000000000,-9.066278825e-4,-0.017607393683,0.9975257867940,-0.068068853193,0.9975257867940,-0.068068853193,-1.494503127e-3,-0.017566373288
360.0000000000000,-9.591303487e-4,-0.018109194185,0.9973823314489,-0.070010445165,0.9973823314489,-0.070010445165,-1.580997505e-3,-0.018064676309
370.0000000000000,-1.013099859e-3,-0.018610907614,0.9972348199091,-0.071951747513,0.9972348199091,-0.071951747513,-1.669912855e-3,-0.018562708777
380.0000000000000,-1.068535855e-3,-0.019112535410,0.9970832526455,-0.073892752041,0.9970832526455,-0.073892752041,-1.761249313e-3,-0.019060465672
390.0000000000000,-1.125438026e-3,-0.019614079734,0.9969276306448,-0.075833450759,0.9969276306448,-0.075833450759,-1.855007356e-3,-0.019557942228
400.0000000000000,-1.183806329e-3,-0.020115543469,0.9967679554216,-0.077773835981,0.9967679554216,-0.077773835981,-1.951187821e-3,-0.020055133940
410.0000000000000,-1.243641013e-3,-0.020616930231,0.9966042290207,-0.079713900423,0.9966042290207,-0.079713900423,-2.049791923e-3,-0.020552036564
420.0000000000000,-1.304942633e-3,-0.021118244387,0.9964364540098,-0.081653637310,0.9964364540098,-0.081653637310,-2.150821274e-3,-0.021048646129
430.0000000000000,-1.367712069e-3,-0.021619491071,0.9962646334609,-0.083593040487,0.9962646334609,-0.083593040487,-2.254277890e-3,-0.021544958949
440.0000000000000,-1.431950370e-3,-0.022120676179,0.9960887712499,-0.085532104190,0.9960887712504,-0.085532104190,-2.360164256e-3,-0.022040972146
450.0000000000000,-1.497671849e-3,-0.022621796522,0.9959088740513,-0.087470835410,0.9959088740513,-0.087470835410,-2.468486070e-3,-0.022536670500
460.0000000000000,-1.564889222e-3,-0.023122847011,0.9957249480888,-0.089409240101,0.9957249480888,-0.089409240101,-2.579246888e-3,-0.023032042268
470.0000000000000,-1.633603431e-3,-0.023623832162,0.9955369933627,-0.091347316194,0.9955369933627,-0.091347316194,-2.692445959e-3,-0.023527085038
480.0000000000000,-1.703815505e-3,-0.024124757144,0.9953450102574,-0.093285062334,0.9953450102574,-0.093285062334,-2.808082852e-3,-0.024021797672
490.0000000000000,-1.775526726e-3,-0.024625627922,0.9951489991334,-0.095222478394,0.9951489991334,-0.095222478394,-2.926157406e-3,-0.024516179907
500.0000000000000,-1.848738634e-3,-0.025126451395,0.9949489602388,-0.097159565646,0.9949489602388,-0.097159565646,-3.046669752e-3,-0.025010232485
510.0000000000000,-1.923453034e-3,-0.025627235566,0.9947448936126,-0.099096326951,0.9947448936126,-0.099096326951,-3.169620319e-3,-0.025503957326
520.0000000000000,-1.999672007e-3,-0.026127989760,0.9945367989791,-0.101032766978,0.9945367989791,-0.101032766978,-3.295009863e-3,-0.025997357729
530.0000000000000,-2.077397929e-3,-0.026628724882,0.9943246756355,-0.102968892459,0.9943246756355,-0.102968892459,-3.422839493e-3,-0.026490438641
540.0000000000000,-2.156633501e-3,-0.027129453757,0.9941085223288,-0.104904712493,0.9941085223288,-0.104904712493,-3.553110716e-3,-0.026983206976
550.0000000000000,-2.237381799e-3,-0.027630191533,0.9938883371240,-0.106840238915,0.9938883371240,-0.106840238915,-3.685825499e-3,-0.027475672022
560.0000000000000,-2.319646335e-3,-0.028130956202,0.9936641172581,-0.108775486758,0.9936641172581,-0.108775486758,-3.820986353e-3,-0.027967845949
570.0000000000000,-2.403431150e-3,-0.028631769233,0.9934358589774,-0.110710474821,0.9934358589774,-0.110710474821,-3.958596450e-3,-0.028459744441
580.0000000000000,-2.488740943e-3,-0.029132656388,0.9932035573503,-0.112645226410,0.9932035573503,-0.112645226410,-4.098659774e-3,-0.028951387492
590.0000000000000,-2.575581240e-3,-0.029633648742,0.9929672060460,-0.114579770273,0.9929672060460,-0.114579770273,-4.241181326e-3,-0.029442800427
600.0000000000000,-2.663958617e-3,-0.030134783999,0.9927267970661,-0.116514141833,0.9927267970661,-0.116514141833,-4.386167403e-3,-0.029934015199
610.0000000000000,-2.753881014e-3,-0.030636108197,0.9924823204070,-0.118448384794,0.9924823204070,-0.118448384794,-4.533625954e-3,-0.030425072072
620.0000000000000,-2.845358133e-3,-0.031137677933,0.9922337636247,-0.120382553292,0.9922337636247,-0.120382553292,-4.683567066e-3,-0.030916021837
630.0000000000000,-2.938401990e-3,-0.031639563338,0.9919811112602,-0.122316714768,0.9919811112602,-0.122316714768,-4.836003611e-3,-0.031406928746
640.0000000000000,-3.033027656e-3,-0.032141852079,0.9917243440623,-0.124250953895,0.9917243440623,-0.124250953895,-4.990952129e-3,-0.031897874489
650.0000000000000,-3.129254280e-3,-0.032644654868,0.9914634379143,-0.126185378003,0.9914634379143,-0.126185378003,-5.148434033e-3,-0.032388963649
660.0000000000000,-3.227106519e-3,-0.033148113171,0.9911983623233,-0.128120124701,0.9911983623233,-0.128120124701,-5.308477306e-3,-0.032880331336
670.0000000000000,-3.326616576e-3,-0.033652410218,0.9909290782461,-0.130055372809,0.9909290782461,-0.130055372809,-5.471118915e-3,-0.033372154111
680.0000000000000,-3.427827186e-3,-0.034157787121,0.9906555348923,-0.131991358376,0.9906555348923,-0.131991358376,-5.636408341e-3,-0.033864665958
690.0000000000000,-3.530796078e-3,-0.034664567089,0.9903776648986,-0.133928398775,0.9903776648986,-0.133928398775,-5.804412877e-3,-0.034358182283
700.0000000000000,-3.635602896e-3,-0.035173192922,0.9900953768313,-0.135866930034,0.9900953768313,-0.135866930034,-5.975225818e-3,-0.034853137087
710.0000000000000,-3.742360278e-3,-0.035684287160,0.9898085431317,-0.137807566726,0.9898085431317,-0.137807566726,-6.148979598e-3,-0.035350142588
