 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_16outof16
 Data is NOT De-embedded 
 Data File Written: 04/19/2020 21:06:59
Project Date: 04/03/2020 14:02:53
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
320.0000000000000,-1.082191402e-3,-0.020815096389,0.9975384655665,-0.066951711871,0.9975384655668,-0.066951711870,-1.709113623e-3,-0.020773019134
320.1000000000000,-1.083002795e-3,-0.020823054851,0.9975367978285,-0.066974070307,0.9975367978285,-0.066974070307,-1.710304829e-3,-0.020780937962
320.2000000000000,-1.083816539e-3,-0.020831035615,0.9975351275588,-0.066996451020,0.9975351275588,-0.066996451020,-1.711498330e-3,-0.020788879060
320.3000000000000,-1.084632682e-3,-0.020839039164,0.9975334547116,-0.067018854498,0.9975334547116,-0.067018854498,-1.712694168e-3,-0.020796842917
320.4000000000000,-1.085451274e-3,-0.020847066003,0.9975317792405,-0.067041281248,0.9975317792405,-0.067041281248,-1.713892387e-3,-0.020804830036
320.5000000000000,-1.086272364e-3,-0.020855116652,0.9975301010972,-0.067063731787,0.9975301010972,-0.067063731787,-1.715093035e-3,-0.020812840938
320.6000000000000,-1.087096005e-3,-0.020863191645,0.9975284202326,-0.067086206651,0.9975284202326,-0.067086206651,-1.716296157e-3,-0.020820876157
320.7000000000000,-1.087922248e-3,-0.020871291534,0.9975267365954,-0.067108706392,0.9975267365954,-0.067108706392,-1.717501804e-3,-0.020828936245
320.8000000000000,-1.088751150e-3,-0.020879416886,0.9975250501334,-0.067131231576,0.9975250501334,-0.067131231576,-1.718710024e-3,-0.020837021768
320.9000000000000,-1.089582766e-3,-0.020887568287,0.9975233607923,-0.067153782789,0.9975233607923,-0.067153782789,-1.719920870e-3,-0.020845133313
321.0000000000000,-1.090417155e-3,-0.020895746341,0.9975216685165,-0.067176360635,0.9975216685165,-0.067176360635,-1.721134395e-3,-0.020853271482
321.1000000000000,-1.091254376e-3,-0.020903951668,0.9975199732483,-0.067198965735,0.9975199732483,-0.067198965735,-1.722350655e-3,-0.020861436898
321.2000000000000,-1.092094492e-3,-0.020912184911,0.9975182749285,-0.067221598731,0.9975182749285,-0.067221598731,-1.723569705e-3,-0.020869630202
321.3000000000000,-1.092937567e-3,-0.020920446732,0.9975165734958,-0.067244260285,0.9975165734958,-0.067244260285,-1.724791604e-3,-0.020877852056
321.4000000000000,-1.093783667e-3,-0.020928737813,0.9975148688871,-0.067266951080,0.9975148688871,-0.067266951080,-1.726016414e-3,-0.020886103143
321.5000000000000,-1.094632858e-3,-0.020937058860,0.9975131610372,-0.067289671820,0.9975131610372,-0.067289671820,-1.727244195e-3,-0.020894384167
321.6000000000000,-1.095485213e-3,-0.020945410600,0.9975114498787,-0.067312423234,0.9975114498787,-0.067312423234,-1.728475013e-3,-0.020902695856
321.7000000000000,-1.096340803e-3,-0.020953793784,0.9975097353422,-0.067335206072,0.9975097353422,-0.067335206072,-1.729708934e-3,-0.020911038962
321.8000000000000,-1.097199704e-3,-0.020962209189,0.9975080173558,-0.067358021110,0.9975080173558,-0.067358021110,-1.730946026e-3,-0.020919414260
321.9000000000000,-1.098061992e-3,-0.020970657617,0.9975062958454,-0.067380869152,0.9975062958454,-0.067380869152,-1.732186362e-3,-0.020927822552
322.0000000000000,-1.098927748e-3,-0.020979139896,0.9975045707343,-0.067403751024,0.9975045707343,-0.067403751024,-1.733430013e-3,-0.020936264667
322.1000000000000,-1.099797055e-3,-0.020987656883,0.9975028419431,-0.067426667584,0.9975028419431,-0.067426667584,-1.734677056e-3,-0.020944741461
322.2000000000000,-1.100669998e-3,-0.020996209464,0.9975011093899,-0.067449619718,0.9975011093899,-0.067449619718,-1.735927569e-3,-0.020953253821
322.3000000000000,-1.101546665e-3,-0.021004798555,0.9974993729899,-0.067472608342,0.9974993729899,-0.067472608342,-1.737181634e-3,-0.020961802661
322.4000000000000,-1.102427149e-3,-0.021013425104,0.9974976326553,-0.067495634403,0.9974976326553,-0.067495634403,-1.738439334e-3,-0.020970388931
322.5000000000000,-1.103311544e-3,-0.021022090091,0.9974958882953,-0.067518698882,0.9974958882953,-0.067518698882,-1.739700756e-3,-0.020979013610
322.6000000000000,-1.104199948e-3,-0.021030794533,0.9974941398159,-0.067541802795,0.9974941398159,-0.067541802795,-1.740965990e-3,-0.020987677715
322.7000000000000,-1.105092462e-3,-0.021039539481,0.9974923871197,-0.067564947194,0.9974923871197,-0.067564947194,-1.742235130e-3,-0.020996382295
322.8000000000000,-1.105989193e-3,-0.021048326024,0.9974906301058,-0.067588133167,0.9974906301058,-0.067588133167,-1.743508271e-3,-0.021005128442
322.9000000000000,-1.106890250e-3,-0.021057155291,0.9974888686696,-0.067611361844,0.9974888686696,-0.067611361844,-1.744785514e-3,-0.021013917283
323.0000000000000,-1.107795744e-3,-0.021066028452,0.9974871027028,-0.067634634393,0.9974871027028,-0.067634634393,-1.746066962e-3,-0.021022749988
323.1000000000000,-1.108705794e-3,-0.021074946719,0.9974853320930,-0.067657952029,0.9974853320930,-0.067657952029,-1.747352723e-3,-0.021031627770
323.2000000000000,-1.109620522e-3,-0.021083911352,0.9974835567236,-0.067681316008,0.9974835567236,-0.067681316008,-1.748642908e-3,-0.021040551886
323.3000000000000,-1.110540053e-3,-0.021092923654,0.9974817764737,-0.067704727637,0.9974817764737,-0.067704727637,-1.749937634e-3,-0.021049523643
323.4000000000000,-1.111464519e-3,-0.021101984982,0.9974799912177,-0.067728188270,0.9974799912177,-0.067728188270,-1.751237020e-3,-0.021058544394
323.5000000000000,-1.112394056e-3,-0.021111096741,0.9974782008252,-0.067751699312,0.9974782008252,-0.067751699312,-1.752541190e-3,-0.021067615545
323.6000000000000,-1.113328804e-3,-0.021120260392,0.9974764051608,-0.067775262226,0.9974764051608,-0.067775262226,-1.753850275e-3,-0.021076738558
323.7000000000000,-1.114268911e-3,-0.021129477452,0.9974746040837,-0.067798878528,0.9974746040837,-0.067798878528,-1.755164409e-3,-0.021085914950
323.8000000000000,-1.115214530e-3,-0.021138749501,0.9974727974477,-0.067822549797,0.9974727974477,-0.067822549797,-1.756483731e-3,-0.021095146298
323.9000000000000,-1.116165820e-3,-0.021148078177,0.9974709851007,-0.067846277672,0.9974709851007,-0.067846277672,-1.757808388e-3,-0.021104434242
324.0000000000000,-1.117122944e-3,-0.021157465187,0.9974691668844,-0.067870063859,0.9974691668844,-0.067870063859,-1.759138531e-3,-0.021113780489
324.1000000000000,-1.118086076e-3,-0.021166912306,0.9974673426340,-0.067893910134,0.9974673426340,-0.067893910134,-1.760474317e-3,-0.021123186813
324.2000000000000,-1.119055395e-3,-0.021176421383,0.9974655121782,-0.067917818344,0.9974655121782,-0.067917818344,-1.761815911e-3,-0.021132655063
324.3000000000000,-1.120031086e-3,-0.021185994342,0.9974636753382,-0.067941790415,0.9974636753382,-0.067941790415,-1.763163482e-3,-0.021142187162
324.4000000000000,-1.121013344e-3,-0.021195633188,0.9974618319281,-0.067965828351,0.9974618319281,-0.067965828351,-1.764517210e-3,-0.021151785116
324.5000000000000,-1.122002372e-3,-0.021205340011,0.9974599817537,-0.067989934242,0.9974599817537,-0.067989934242,-1.765877280e-3,-0.021161451015
324.6000000000000,-1.122998380e-3,-0.021215116991,0.9974581246128,-0.068014110267,0.9974581246128,-0.068014110267,-1.767243885e-3,-0.021171187037
324.7000000000000,-1.124001589e-3,-0.021224966401,0.9974562602943,-0.068038358700,0.9974562602943,-0.068038358700,-1.768617227e-3,-0.021180995456
324.8000000000000,-1.125012228e-3,-0.021234890613,0.9974543885777,-0.068062681914,0.9974543885777,-0.068062681914,-1.769997517e-3,-0.021190878643
324.9000000000000,-1.126030539e-3,-0.021244892106,0.9974525092330,-0.068087082384,0.9974525092330,-0.068087082384,-1.771384975e-3,-0.021200839077
325.0000000000000,-1.127056771e-3,-0.021254973467,0.9974506220198,-0.068111562701,0.9974506220198,-0.068111562701,-1.772779831e-3,-0.021210879345
