R 50.00000
Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.250000000000000,3.1639320954e-5,0.0051102727424,-3.059838481e-5,-4.940996876e-3,-3.059838481e-5,-4.940996876e-3,3.1631529514e-5,0.0051089746015
0.252000000000000,3.1617471817e-5,0.0051513823375,-3.094351066e-5,-4.981031939e-3,-3.094351066e-5,-4.981031939e-3,3.1612048888e-5,0.0051500719703
0.254000000000000,3.1598277385e-5,0.0051925182968,-3.128612364e-5,-5.021082223e-3,-3.128612364e-5,-5.021082223e-3,3.1595167092e-5,0.0051911957422
0.256000000000000,3.1581784166e-5,0.0052336806173,-3.162617966e-5,-5.061147941e-3,-3.162617966e-5,-5.061147941e-3,3.1580931234e-5,0.0052323459146
0.258000000000000,3.1568036289e-5,0.0052748692969,-3.196363707e-5,-5.101229308e-3,-3.196363707e-5,-5.101229308e-3,3.1569386039e-5,0.0052735224857
0.260000000000000,3.1557075532e-5,0.0053160843337,-3.229845660e-5,-5.141326538e-3,-3.229845660e-5,-5.141326538e-3,3.1560573886e-5,0.0053147254539
0.262000000000000,3.1548941361e-5,0.0053573257268,-3.263060133e-5,-5.181439846e-3,-3.263060133e-5,-5.181439846e-3,3.1554534837e-5,0.0053559548185
0.264000000000000,3.1543670966e-5,0.0053985934759,-3.296003667e-5,-5.221569445e-3,-3.296003667e-5,-5.221569445e-3,3.1551306680e-5,0.0053972105794
0.266000000000000,3.1541299293e-5,0.0054398875812,-3.328673030e-5,-5.261715549e-3,-3.328673030e-5,-5.261715549e-3,3.1550924959e-5,0.0054384927374
0.268000000000000,3.1541859087e-5,0.0054812080442,-3.361065214e-5,-5.301878370e-3,-3.361065214e-5,-5.301878370e-3,3.1553423014e-5,0.0054798012938
0.270000000000000,3.1545380923e-5,0.0055225548666,-3.393177431e-5,-5.342058121e-3,-3.393177431e-5,-5.342058121e-3,3.1558832016e-5,0.0055211362509
0.272000000000000,3.1551893247e-5,0.0055639280515,-3.425007113e-5,-5.382255015e-3,-3.425007113e-5,-5.382255015e-3,3.1567181007e-5,0.0055624976120
0.274000000000000,3.1561422413e-5,0.0056053276025,-3.456551900e-5,-5.422469261e-3,-3.456551900e-5,-5.422469261e-3,3.1578496935e-5,0.0056038853808
0.276000000000000,3.1573992721e-5,0.0056467535244,-3.487809645e-5,-5.462701072e-3,-3.487809645e-5,-5.462701072e-3,3.1592804692e-5,0.0056452995624
0.278000000000000,3.1589626456e-5,0.0056882058228,-3.518778403e-5,-5.502950658e-3,-3.518778403e-5,-5.502950658e-3,3.1610127153e-5,0.0056867401626
0.280000000000000,3.1608343923e-5,0.0057296845044,-3.549456433e-5,-5.543218229e-3,-3.549456433e-5,-5.543218229e-3,3.1630485217e-5,0.0057282071883
0.282000000000000,3.1630163490e-5,0.0057711895768,-3.579842190e-5,-5.583503993e-3,-3.579842190e-5,-5.583503993e-3,3.1653897839e-5,0.0057697006473
0.284000000000000,3.1655101624e-5,0.0058127210487,-3.609934321e-5,-5.623808159e-3,-3.609934321e-5,-5.623808159e-3,3.1680382075e-5,0.0058112205485
0.286000000000000,3.1683172934e-5,0.0058542789298,-3.639731665e-5,-5.664130934e-3,-3.639731665e-5,-5.664130934e-3,3.1709953120e-5,0.0058527669019
0.288000000000000,3.1714390203e-5,0.0058958632312,-3.669233244e-5,-5.704472527e-3,-3.669233244e-5,-5.704472527e-3,3.1742624341e-5,0.0058943397186
0.290000000000000,3.1748764434e-5,0.0059374739648,-3.698438263e-5,-5.744833142e-3,-3.698438263e-5,-5.744833142e-3,3.1778407324e-5,0.0059359390108
0.292000000000000,3.1786304883e-5,0.0059791111438,-3.727346104e-5,-5.785212986e-3,-3.727346104e-5,-5.785212986e-3,3.1817311908e-5,0.0059775647918
0.294000000000000,3.1827019104e-5,0.0060207747825,-3.755956322e-5,-5.825612264e-3,-3.755956322e-5,-5.825612264e-3,3.1859346226e-5,0.0060192170760
0.296000000000000,3.1870912985e-5,0.0060624648965,-3.784268642e-5,-5.866031178e-3,-3.784268642e-5,-5.866031178e-3,3.1904516742e-5,0.0060608958794
0.298000000000000,3.1917990786e-5,0.0061041815027,-3.812282955e-5,-5.906469933e-3,-3.812282955e-5,-5.906469933e-3,3.1952828292e-5,0.0061026012186
0.300000000000000,3.1968255178e-5,0.0061459246189,-3.839999313e-5,-5.946928730e-3,-3.839999313e-5,-5.946928730e-3,3.2004284123e-5,0.0061443331120
0.302000000000000,3.2021707287e-5,0.0061876942645,-3.867417925e-5,-5.987407772e-3,-3.867417925e-5,-5.987407772e-3,3.2058885929e-5,0.0061860915788
0.304000000000000,3.2078346723e-5,0.0062294904600,-3.894539156e-5,-6.027907257e-3,-3.894539156e-5,-6.027907257e-3,3.2116633892e-5,0.0062278766399
0.306000000000000,3.2138171629e-5,0.0062713132273,-3.921363519e-5,-6.068427387e-3,-3.921363519e-5,-6.068427387e-3,3.2177526720e-5,0.0062696883171
0.308000000000000,3.2201178711e-5,0.0063131625896,-3.947891673e-5,-6.108968360e-3,-3.947891673e-5,-6.108968360e-3,3.2241561685e-5,0.0063115266337
0.310000000000000,3.2267363281e-5,0.0063550385713,-3.974124419e-5,-6.149530373e-3,-3.974124419e-5,-6.149530373e-3,3.2308734660e-5,0.0063533916143
0.312000000000000,3.2336719292e-5,0.0063969411982,-4.000062699e-5,-6.190113624e-3,-4.000062699e-5,-6.190113624e-3,3.2379040159e-5,0.0063952832849
0.314000000000000,3.2409239379e-5,0.0064388704976,-4.025707585e-5,-6.230718308e-3,-4.025707585e-5,-6.230718308e-3,3.2452471373e-5,0.0064372016726
0.316000000000000,3.2484914893e-5,0.0064808264980,-4.051060283e-5,-6.271344620e-3,-4.051060283e-5,-6.271344620e-3,3.2529020208e-5,0.0064791468062
0.318000000000000,3.2563735939e-5,0.0065228092293,-4.076122125e-5,-6.311992755e-3,-4.076122125e-5,-6.311992755e-3,3.2608677321e-5,0.0065211187155
0.320000000000000,3.2645691414e-5,0.0065648187227,-4.100894565e-5,-6.352662905e-3,-4.100894565e-5,-6.352662905e-3,3.2691432157e-5,0.0065631174321
0.322000000000000,3.2730769042e-5,0.0066068550111,-4.125379179e-5,-6.393355262e-3,-4.125379179e-5,-6.393355262e-3,3.2777272989e-5,0.0066051429886
0.324000000000000,3.2818955413e-5,0.0066489181284,-4.149577655e-5,-6.434070019e-3,-4.149577655e-5,-6.434070019e-3,3.2866186949e-5,0.0066471954191
0.326000000000000,3.2910236013e-5,0.0066910081103,-4.173491796e-5,-6.474807364e-3,-4.173491796e-5,-6.474807364e-3,3.2958160064e-5,0.0066892747593
0.328000000000000,3.3004595268e-5,0.0067331249935,-4.197123513e-5,-6.515567486e-3,-4.197123513e-5,-6.515567486e-3,3.3053177297e-5,0.0067313810462
0.330000000000000,3.3102016569e-5,0.0067752688165,-4.220474822e-5,-6.556350575e-3,-4.220474822e-5,-6.556350575e-3,3.3151222577e-5,0.0067735143180
0.332000000000000,3.3202482318e-5,0.0068174396190,-4.243547839e-5,-6.597156817e-3,-4.243547839e-5,-6.597156817e-3,3.3252278833e-5,0.0068156746146
0.334000000000000,3.3305973950e-5,0.0068596374422,-4.266344780e-5,-6.637986398e-3,-4.266344780e-5,-6.637986398e-3,3.3356328033e-5,0.0068578619772
0.336000000000000,3.3412471979e-5,0.0069018623288,-4.288867955e-5,-6.678839504e-3,-4.288867955e-5,-6.678839504e-3,3.3463351215e-5,0.0069000764485
0.338000000000000,3.3521956022e-5,0.0069441143228,-4.311119764e-5,-6.719716318e-3,-4.311119764e-5,-6.719716318e-3,3.3573328518e-5,0.0069423180726
0.340000000000000,3.3634404838e-5,0.0069863934698,-4.333102695e-5,-6.760617024e-3,-4.333102695e-5,-6.760617024e-3,3.3686239222e-5,0.0069845868949
0.342000000000000,3.3749796358e-5,0.0070286998167,-4.354819322e-5,-6.801541804e-3,-4.354819322e-5,-6.801541804e-3,3.3802061771e-5,0.0070268829626
0.344000000000000,3.3868107715e-5,0.0070710334119,-4.376272299e-5,-6.842490838e-3,-4.376272299e-5,-6.842490838e-3,3.3920773816e-5,0.0070692063239
0.346000000000000,3.3989315284e-5,0.0071133943052,-4.397464357e-5,-6.883464308e-3,-4.397464357e-5,-6.883464308e-3,3.4042352237e-5,0.0071115570286
0.348000000000000,3.4113394703e-5,0.0071557825479,-4.418398303e-5,-6.924462392e-3,-4.418398303e-5,-6.924462392e-3,3.4166773180e-5,0.0071539351282
