 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance_double_port_2000
 Data is De-embedded 
 Data File Written: 09/04/2017 15:46:40
Project Date: 09/04/2017 15:44:09
R 50.00000
Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.050000000000000,4.0774435010e-6,2.5117430327e-4,-1.537828150e-6,-1.022380566e-4,-1.537828149e-6,-1.022380566e-4,2.5344993902e-5,0.0015192000964
0.052000000000000,4.1206320384e-6,2.6122930422e-4,-1.551753330e-6,-1.063290526e-4,-1.551753330e-6,-1.063290526e-4,2.5579110771e-5,0.0015799887046
0.054000000000000,4.1633677501e-6,2.7128353212e-4,-1.565719792e-6,-1.104202031e-4,-1.565719792e-6,-1.104202031e-4,2.5813375439e-5,0.0016407800957
0.056000000000000,4.2056567890e-6,2.8133702919e-4,-1.579725669e-6,-1.145115130e-4,-1.579725669e-6,-1.145115130e-4,2.6047785675e-5,0.0017015743589
0.058000000000000,4.2475060335e-6,2.9138983688e-4,-1.593769113e-6,-1.186029876e-4,-1.593769113e-6,-1.186029876e-4,2.6282339123e-5,0.0017623715841
0.060000000000000,4.2889230596e-6,3.0144199590e-4,-1.607848296e-6,-1.226946323e-4,-1.607848296e-6,-1.226946323e-4,2.6517033319e-5,0.0018231718612
0.062000000000000,4.3299161125e-6,3.1149354618e-4,-1.621961420e-6,-1.267864526e-4,-1.621961420e-6,-1.267864526e-4,2.6751865697e-5,0.0018839752807
0.064000000000000,4.3704940789e-6,3.2154452688e-4,-1.636106711e-6,-1.308784538e-4,-1.636106711e-6,-1.308784538e-4,2.6986833599e-5,0.0019447819332
0.066000000000000,4.4106664573e-6,3.3159497634e-4,-1.650282428e-6,-1.349706416e-4,-1.650282428e-6,-1.349706416e-4,2.7221934292e-5,0.0020055919100
0.068000000000000,4.4504433296e-6,3.4164493211e-4,-1.664486861e-6,-1.390630218e-4,-1.664486861e-6,-1.390630218e-4,2.7457164972e-5,0.0020664053025
0.070000000000000,4.4898353313e-6,3.5169443090e-4,-1.678718338e-6,-1.431556000e-4,-1.678718338e-6,-1.431556000e-4,2.7692522777e-5,0.0021272222024
0.072000000000000,4.5288536226e-6,3.6174350859e-4,-1.692975224e-6,-1.472483821e-4,-1.692975224e-6,-1.472483821e-4,2.7928004799e-5,0.0021880427020
0.074000000000000,4.5675098581e-6,3.7179220022e-4,-1.707255923e-6,-1.513413740e-4,-1.707255923e-6,-1.513413740e-4,2.8163608090e-5,0.0022488668937
