 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance_double_port_2000
 Data is De-embedded 
 Data File Written: 09/04/2017 11:26:11
Project Date: 09/04/2017 11:14:50
R 50.00000
Frequency (GHz),RE[Y11],IM[Y11]
0.050000000000000,3.5391567188e-6,2.1534095343e-4
0.052000000000000,3.5719131456e-6,2.2395491122e-4
0.054000000000000,3.6046701268e-6,2.3256890391e-4
0.056000000000000,3.6374276736e-6,2.4118293291e-4
0.058000000000000,3.6701857974e-6,2.4979699966e-4
0.060000000000000,3.7029445094e-6,2.5841110557e-4
0.062000000000000,3.7357038208e-6,2.6702525205e-4
0.064000000000000,3.7684637431e-6,2.7563944054e-4
0.066000000000000,3.8012242874e-6,2.8425367245e-4
0.068000000000000,3.8339854650e-6,2.9286794921e-4
0.070000000000000,3.8667472873e-6,3.0148227222e-4
0.072000000000000,3.8995097656e-6,3.1009664293e-4
0.074000000000000,3.9322729111e-6,3.1871106274e-4
0.076000000000000,3.9650367351e-6,3.2732553308e-4
0.078000000000000,3.9978012489e-6,3.3594005537e-4
0.080000000000000,4.0305664638e-6,3.4455463102e-4
0.082000000000000,4.0633323911e-6,3.5316926147e-4
0.084000000000000,4.0960990422e-6,3.6178394813e-4
0.086000000000000,4.1288664282e-6,3.7039869243e-4
0.088000000000000,4.1616345605e-6,3.7901349578e-4
0.090000000000000,4.1944034504e-6,3.8762835961e-4
0.092000000000000,4.2271731092e-6,3.9624328534e-4
0.094000000000000,4.2599435481e-6,4.0485827438e-4
0.096000000000000,4.2927147785e-6,4.1347332817e-4
0.098000000000000,4.3254868117e-6,4.2208844813e-4
0.100000000000000,4.3582596590e-6,4.3070363566e-4
0.102000000000000,4.3910333317e-6,4.3931889221e-4
0.104000000000000,4.4238078410e-6,4.4793421918e-4
0.106000000000000,4.4565831983e-6,4.5654961800e-4
0.108000000000000,4.4893594149e-6,4.6516509010e-4
0.110000000000000,4.5221365021e-6,4.7378063689e-4
0.112000000000000,4.5549144712e-6,4.8239625980e-4
0.114000000000000,4.5876933334e-6,4.9101196024e-4
0.116000000000000,4.6204731002e-6,4.9962773965e-4
0.118000000000000,4.6532537828e-6,5.0824359944e-4
0.120000000000000,4.6860353925e-6,5.1685954103e-4
0.122000000000000,4.7188179406e-6,5.2547556586e-4
0.124000000000000,4.7516014385e-6,5.3409167533e-4
0.126000000000000,4.7843858974e-6,5.4270787087e-4
0.128000000000000,4.8171713286e-6,5.5132415391e-4
0.130000000000000,4.8499577436e-6,5.5994052587e-4
0.132000000000000,4.8827451535e-6,5.6855698816e-4
0.134000000000000,4.9155335699e-6,5.7717354222e-4
0.136000000000000,4.9483230035e-6,5.8579018947e-4
0.138000000000000,4.9811134662e-6,5.9440693132e-4
0.140000000000000,5.0139049691e-6,6.0302376920e-4
0.142000000000000,5.0466975236e-6,6.1164070454e-4
0.144000000000000,5.0794911410e-6,6.2025773876e-4
0.146000000000000,5.1122858326e-6,6.2887487327e-4
0.148000000000000,5.1450816097e-6,6.3749210951e-4
0.150000000000000,5.1778784836e-6,6.4610944890e-4
0.152000000000000,5.2106764656e-6,6.5472689285e-4
0.154000000000000,5.2434755672e-6,6.6334444280e-4
0.156000000000000,5.2762757995e-6,6.7196210016e-4
0.158000000000000,5.3090771739e-6,6.8057986636e-4
0.160000000000000,5.3418797018e-6,6.8919774283e-4
0.162000000000000,5.3746833945e-6,6.9781573099e-4
0.164000000000000,5.4074882633e-6,7.0643383225e-4
0.166000000000000,5.4402943195e-6,7.1505204805e-4
0.168000000000000,5.4731015744e-6,7.2367037981e-4
0.170000000000000,5.5059100395e-6,7.3228882895e-4
0.172000000000000,5.5387197259e-6,7.4090739690e-4
0.174000000000000,5.5715306451e-6,7.4952608508e-4
0.176000000000000,5.6043428084e-6,7.5814489491e-4
0.178000000000000,5.6371562271e-6,7.6676382782e-4
0.180000000000000,5.6699709126e-6,7.7538288523e-4
0.182000000000000,5.7027868761e-6,7.8400206857e-4
0.184000000000000,5.7356041291e-6,7.9262137927e-4
0.186000000000000,5.7684226828e-6,8.0124081874e-4
0.188000000000000,5.8012425487e-6,8.0986038841e-4
0.190000000000000,5.8340637380e-6,8.1848008970e-4
0.192000000000000,5.8668862621e-6,8.2709992405e-4
0.194000000000000,5.8997101323e-6,8.3571989287e-4
0.196000000000000,5.9325353600e-6,8.4433999760e-4
0.198000000000000,5.9653619565e-6,8.5296023965e-4
